name,homeurl,domain,country
abbaymedia,http://amharic.abbaymedia.info/,general,eth
addisadmassnews,http://www.addisadmassnews.com/,general,eth
addisnews,https://addisnews.net/,general,eth
cyberethiopia,http://cyberethiopia.com/2013/,general,eth
debteraw,http://www.debteraw.com/,general,eth
ethiopiaforums,http://ethiopiaforums.com/,general,eth
ethiopianege,https://ethiopianege.com/,general,eth
ethiopianreporter,https://www.ethiopianreporter.com/,general,eth
ezega,https://www.ezega.com/News/am/,general,eth
maledatimes,https://www.maledatimes.com/,general,eth
