name,homeurl,domain,country
afaq,http://www.afaq.tv/,general,irq
akhbar_alkhaleej,http://www.akhbar-alkhaleej.com/,general,bhr
al_ayyam,http://www.al-ayyam.ps/,general,pse
al_bayader,http://al-bayader.com/,general,pse
aladalanews,http://aladalanews.net/,general,irq
alayam,https://www.alayam.com/,general,bhr
albiladpress,http://www.albiladpress.com/,general,bhr
alforatnews,https://alforatnews.com/,general,irq
alhourriah,http://www.alhourriah.org/,general,pse
aliraqnews,http://aliraqnews.com/,general,irq
alliraqnews,http://alliraqnews.com/,general,irq
almasalah,https://almasalah.com/ar/,general,irq
alqarn,http://www.alqarn.dj/,general,dji
alquds,http://www.alquds.com/,general,pse
alquds,https://www.alquds.co.uk/,general,pse
alsharqiya,https://www.alsharqiya.com/,general,irq
alsumaria,https://www.alsumaria.tv/,general,irq
alwatanvoice,https://www.alwatanvoice.com/arabic/index.html,general,pse
aqsatv,http://aqsatv.ps/,general,pse
arab48,https://www.arab48.com/,general,pse
arn,http://www.arn.ps/,general,pse
assabahnews,http://www.assabahnews.tn/,general,tun
azzaman,https://www.azzaman.com/,general,irq
babnet,https://www.babnet.net/,general,tun
bahrainmirror,http://www.bahrainmirror.com/,general,bhr
bna,https://www.bna.bh/,general,bhr
burathanews,http://burathanews.com/arabic/,general,irq
deyaralnagab,http://www.deyaralnagab.com/,general,pse
elhasade,http://elhasade.com/web/,general,tun
elhiwarettounsi,https://www.elhiwarettounsi.com/,general,tun
essahafa,http://www.essahafa.tn/,general,tun
hathalyoum,https://hathalyoum.net/,general,irq
imn,https://imn.iq/,general,irq
iraqicp,https://www.iraqicp.com/,general,irq
journalistesfaxien,https://journalistesfaxien.tn/,general,tun
kapitalis,http://www.kapitalis.com/anbaa-tounes/,general,tun
kitabat,https://kitabat.com/,general,irq
lemaghreb,https://ar.lemaghreb.tn/,general,tun
maannews,http://www.maannews.net/,general,pse
mangish,https://mangish.net/,general,irq
mia,https://www.mia.gov.bh/,general,bhr
mosaiquefm,https://www.mosaiquefm.net/ar/,general,tun
mustaqila,https://mustaqila.com/,general,irq
nasiriyah,https://ar.nasiriyah.org/,general,irq
nawaat,http://nawaat.org/portail/ar/,general,tun
nessma,https://www.nessma.tv/,general,tun
newsabah,http://newsabah.com/,general,irq
paltoday,http://paltoday.tv/,general,pse
pbc,http://www.pbc.ps/,general,pse
radiotunisienne,http://www.radiotunisienne.tn/,general,tun
raya,http://www.raya.ps/,general,pse
shafaq,https://shafaq.com/,general,irq
sonara,http://www.sonara.net/,general,pse
sotaliraq,https://www.sotaliraq.com/,general,irq
sumerfm,http://www.sumerfm.com/,general,irq
tap,https://www.tap.info.tn/,general,tun
tunisie_telegraph,https://tunisie-telegraph.com/,general,tun
tunisiefocus,http://www.tunisiefocus.com/,general,tun
tunisien,http://www.tunisien.tn/,general,tun
tunisienumerique,https://ar.tunisienumerique.com/,general,tun
turess,https://www.turess.com/,general,tun
w3newspapers,http://ar.w3newspapers.com/فلسطين/,general,pse
w3newspapers,http://ar.w3newspapers.com/العراق/,general,irq
wattan,https://www.wattan.tv/ar/,general,pse
