name,homeurl,domain,country
aainajibonor,https://aainajibonor.com/,general,ind
arambhani,https://arambhani.com/,general,ind
asomiyapratidin,https://www.asomiyapratidin.in/,general,ind
assamiyakhabor,http://www.assamiyakhabor.com/,general,ind
assamtalks,http://as.assamtalks.com/,general,ind
assamtimespost,https://assamtimespost.com/,general,ind
batoriworld,http://batoriworld.com/,general,ind
bhalkhabar,https://bhalkhabar.com,general,ind
dainikagradoot,http://dainikagradoot.in/,general,ind
dainikjanambhumi,http://dainikjanambhumi.co.in/,general,ind
dainikjugasankha,https://dainikjugasankha.in/,general,ind
dainikprantojyoti,http://dainikprantojyoti.com/,general,ind
dainikpurvoday,http://dainikpurvoday.com/,general,ind
enajori,http://www.enajori.com/,general,ind
firstnewsreport,http://firstnewsreport.com/,general,ind
fotadhol,https://fotadhol.com/,general,ind
ganaadhikar,http://ganaadhikar.com/,general,ind
glpublications,http://amarasom.glpublications.in/,general,ind
guwahatiplus,https://www.guwahatiplus.com/assamese,general,ind
ishannews,https://ishannews.com/,general,ind
janambhumi,https://janambhumi.in/,general,ind
jiyabhoroli,https://jiyabhoroli.wordpress.com/,general,ind
mahabahoo,https://www.mahabahoo.com/,general,ind
nababartaprasanga,http://www.nababartaprasanga.com/,general,ind
neindianews,https://neindianews.com/,general,ind
nenow,https://assam.nenow.in/,general,ind
news18,https://assam.news18.com,general,ind
news24hrs,https://news24hrs.in/,general,ind
newsasn,https://www.newsasn.com/,general,ind
newsassam24,http://www.newsassam24.com/,general,ind
newsnextone,https://www.newsnextone.com/,general,ind
newsonair,http://newsonair.com/Assamese,general,ind
nilacharai,https://nilacharai.com/,general,ind
niyomiyabarta,https://niyomiyabarta.org/,general,ind
notunsomoy,http://www.notunsomoy.com/,general,ind
pragnews,https://pragnews.com/as/,general,ind
prathamkhabar,http://prathamkhabar.com/,general,ind
pratibimbalive,https://www.pratibimbalive.com/,general,ind
realnewsassam,https://realnewsassam.com/,general,ind
redtimesindia,https://redtimesindia.com/as/,general,ind
samayikprasanga,https://www.samayikprasanga.in/epaper.php,general,ind
sentinelassam,https://assamese.sentinelassam.com,general,ind
xahitya,http://www.xahitya.org/,general,ind
xukhdukh,https://www.xukhdukh.com/,general,ind
