name,homeurl,domain,country
525,http://525.az/,general,aze
axar,https://axar.az/,general,aze
azadliq,https://www.azadliq.info/,general,aze
azerbaijan_news,http://www.azerbaijan-news.az/,general,aze
baki_xeber,http://www.baki-xeber.com/,general,aze
big,https://big.az/,general,aze
bizimyol,https://www.bizimyol.info/,general,aze
football_plus,http://www.football-plus.az/,general,aze
hurriyyet,http://www.hurriyyet.org/,general,aze
ikisahil,http://ikisahil.com/,general,aze
kaspi,http://www.kaspi.az/,general,aze
medianews,http://medianews.az/,general,aze
milli,https://www.milli.az/,general,aze
modern,http://modern.az/,general,aze
olaylar,http://olaylar.az/,general,aze
oxu,http://oxu.az/,general,aze
publika,https://publika.az/,general,aze
qafqazinfo,http://qafqazinfo.az/,general,aze
respublica_news,http://www.respublica-news.az/,general,aze
serqqapisi,http://www.serqqapisi.az/,general,aze
sherg,http://www.sherg.az/,general,aze
sia,http://sia.az/,general,aze
ucnoqta,http://ucnoqta.az/,general,aze
xalqcebhesi,http://www.xalqcebhesi.az/,general,aze
xalqqazeti,http://xalqqazeti.com/,general,aze
