name,homeurl,domain,country
168chasa,https://www.168chasa.bg/,general,bgr
24chasa,https://www.24chasa.bg/,general,bgr
actualno,https://www.actualno.com/,general,bgr
agroplovdiv,http://agroplovdiv.bg/,general,bgr
banker,https://www.banker.bg/,general,bgr
bivol,https://bivol.bg/,general,bgr
blitz,https://blitz.bg/,general,bgr
borbabg,http://www.borbabg.com/,general,bgr
budnaera,http://www.budnaera.com/,general,bgr
burgasinfo,https://www.burgasinfo.com/,general,bgr
burgasnews,https://www.burgasnews.com/,general,bgr
capital,https://www.capital.bg/,general,bgr
chernomore,https://www.chernomore.bg/,general,bgr
clubz,https://clubz.bg/,general,bgr
dariknews,https://dariknews.bg/,general,bgr
desant,http://www.desant.net/,general,bgr
dnes,https://www.dnes.bg/,general,bgr
dnesbg,https://www.dnesbg.com/,general,bgr
dnevnik,https://www.dnevnik.bg/,general,bgr
duma,https://duma.bg/,general,bgr
e_burgas,https://e-burgas.com/,general,bgr
ekipnews,https://ekipnews.com/,general,bgr
faktor,https://faktor.bg/,general,bgr
flagman,https://www.flagman.bg/,general,bgr
focus_news,http://focus-news.net/,general,bgr
frognews,https://www.frognews.bg/,general,bgr
glasove,http://glasove.com/,general,bgr
gong,https://gong.bg/,general,bgr
gradski,https://gradski.org/,general,bgr
haskovo,https://haskovo.info/,general,bgr
kompasbg,https://www.kompasbg.com/,general,bgr
marica,https://www.marica.bg/,general,bgr
mediapool,https://www.mediapool.bg/,general,bgr
monitor,https://www.monitor.bg/,general,bgr
mont_press,https://www.mont-press.com/,general,bgr
ndt1,https://ndt1.eu/,general,bgr
nova,https://nova.bg/,general,bgr
novini,https://novini.bg/,general,bgr
offnews,https://offnews.bg/,general,bgr
petel,https://petel.bg/,general,bgr
pik,https://pik.bg/,general,bgr
plovdiv24,https://www.plovdiv24.bg/,general,bgr
pogled,https://pogled.info/,general,bgr
posredniknews,http://www.posredniknews.com/site/,general,bgr
pozvanete,https://pozvanete.bg/,general,bgr
ruse24,https://www.ruse24.bg/,general,bgr
sapernik,http://sapernik.info/,general,bgr
segabg,https://www.segabg.com/,general,bgr
standartnews,https://www.standartnews.com/,general,bgr
struma,https://www.struma.com/,general,bgr
trud,https://trud.bg/,general,bgr
utre,http://www.bulgaria.utre.bg/,general,bgr
varna24,https://www.varna24.bg/,general,bgr
varnautre,http://varnautre.bg/,general,bgr
vesti,https://www.vesti.bg/,general,bgr
webcafe,https://webcafe.bg/,general,bgr
zashumen,http://zashumen.bg/,general,bgr
