name,homeurl,domain,country
aajkaal,https://www.aajkaal.in/,general,ind
aajbikel,https://aajbikel.com/,general,ind
ablive,https://bengali.abplive.com/,general,ind
aitcifficial,http://aitcofficial.org/,general,ind
aajkaal,https://aajkaal.in/,general,ind
akhonsamoy,http://akhonsamoy.com,general,ind
alokitobangladesh,http://www.alokitobangladesh.com,general,ind
altnews,https://www.altnews.in/bengali/,general,ind
aamarsakal,https://aamarsakal.com/,general,ind
anandbazar,https://www.anandabazar.com/,general,ind
asianetnews,https://bangla.asianetnews.com/,general,ind
asomiyapratidin,https://www.asomiyapratidin.in/,general,ind
banglatoday,https://www.banglatoday.in/,general,ind
bbc,https://www.bbc.com/bengali,general,ind
ganashakti,http://bangla.ganashakti.co.in/,general,ind
banglahunt,https://banglahunt.com/,general,ind
banglanews24,https://www.banglanews24.com/,general,ind
banglatribune,https://www.banglatribune.com/,general,ind
bartamanpatrika,https://bartamanpatrika.com/,general,ind
beanibazarnews24,https://beanibazarnews24.com/,general,ind
bd_pratidin,https://www.bd-pratidin.com,general,ind
bdnews,https://bangla.bdnews24.com/,general,ind
benarnews,https://www.benarnews.org/bengali/,general,ind
bengal95,https://www.bengal95.com/,general,ind
bengalinews,https://bengalinews.co/,general,ind
bongnews24x7,https://www.bongnews24x7.com/,general,ind
bonikbarta,https://bonikbarta.net/,general,ind
calcuttanews,https://calcuttanews.tv/,general,ind
channelhindustan,https://channelhindustan.com/,general,ind
dailydesherkatha,,general,ind
dailyinqilab,https://www.dailyinqilab.com/,general,ind
dailyjankantha,https://www.dailyjanakantha.com/,general,ind
dailynayadiganta,http://dailynayadiganta.com/,general,ind
dailysangram,http://www.dailysangram.com/,general,ind
dainikagradoot,https://dainikagradoot.in/,general,ind
dainikamadershomoy,http://www.dainikamadershomoy.com/,general,ind
dainiksambad,http://www.dainiksambad.net/,general,ind
dainikstatesmannews,https://www.dainikstatesmannews.com/,general,ind
deshtv,https://www.desh.tv/,general,ind
deshrupantor,https://www.deshrupantor.com/,general,ind
dhakatribune,https://bangla.dhakatribune.com/,general,ind
ebanglalibrary,https://www.ebanglalibrary.com/,general,ind
ebela,https://ebela.in/,general,ind
eimuhurte,https://www.eimuhurte.com/,general,ind
gadgets360,https://bengali.gadgets360.com/,general,ind
gnebangla,https://gnebangla.in/,general,ind
hindustantimes,https://bangla.hindustantimes.com/,general,ind
indianexpress,https://bengali.indianexpress.com/,general,ind
indiarag,https://indiarag.in/,general,ind
ittefaq,https://www.ittefaq.com.bd,general,ind
jaijaidinbd,http://www.jaijaidinbd.com/,general,ind
jagarantripura,http://jagarantripura.com,general,ind
jagonews24,https://www.jagonews24.com/,general,ind
janomot,https://www.www.janomot.com/,general,ind
jugantor,https://www.jugantor.com,general,ind
jugasankha,https://jugasankha.in/,general,ind
kalerkantho,https://www.kalerkantho.com/,general,ind
khabar365din,http://www.khabar365din.in/bangla,general,ind
khabor,http://khabor.com/,general,ind
khabor24,https://khabor24.in/,general,ind
khaboronline,https://www.khaboronline.com/,general,ind
khaskhabor,https://khaskhobor.com/,general,ind
khobarpatrabd,https://khoborpatrabd.com/,general,ind
kolkata24x7,https://www.kolkata24x7.com/,general,ind
mahanagar24x7,https://bengali.mahanagar24x7.com/,general,ind
mzamin,http://www.mzamin.com/,general,ind
news18,https://bengali.news18.com/,general,ind
nilkantho,https://www.nilkantho.in/,general,ind
ntvbd,http://www.malaysia.ntvbd.com/,general,ind
oneindia,https://bengali.oneindia.com/,general,ind
parstoday,https://parstoday.com/bn,general,ind
prothomalo,https://www.prothomalo.com/,general,ind
puberkalom,https://www.puberkalom.com/,general,ind
samakal,https://samakal.com/,general,ind
sangbadpratidin,http://www.dailydesherkatha.net/,general,ind
sonalinews,https://www.sonalinews.com/,general,ind
somoynews,https://www.somoynews.tv/,general,ind
sunamganjerkhobor,https://sunamganjerkhobor.com/,general,ind
syandanpatrika,https://www.sangbadpratidin.in/,general,ind
techgup,https://techgup.com/,general,ind
thebanganews,https://thebanganews.com/,general,ind
thebengalstory,https://thebengalstory.com/,general,ind
thedailystar,https://www.thedailystar.net/bangla/,general,ind
theindianews,https://theindianews.org/,general,ind
thewall,https://www.thewall.in/,general,ind
unb,https://unb.com.bd/bangla,general,ind
uttarbanfasambad,https://www.uttarbangasambad.com/,general,ind
voabangla,https://www.voabangla.com/,general,ind
zeenews,https://zeenews.india.com/bengali,general,ind
