name,homeurl,domain,country
ana,http://www.ana.ad/,general,and
andorradifusio,https://www.andorradifusio.ad/,general,and
ara,https://www.ara.ad/,general,and
ara,https://www.ara.cat/,general,esp
arabalears,https://www.arabalears.cat/,general,esp
bondia,https://www.bondia.ad/,general,and
catalunyadiari,https://catalunyadiari.com/,general,esp
ccma,https://www.ccma.cat/324/,general,esp
diariandorra,https://www.diariandorra.ad/,general,and
diaridegirona,https://www.diaridegirona.cat/,general,esp
diarideterrassa,http://www.diarideterrassa.es/,general,esp
diarimes,https://www.diarimes.com/,general,esp
elmon,https://elmon.cat/,general,esp
elpuntavui,http://www.elpuntavui.cat/barcelona.html,general,esp
eltriangle,https://www.eltriangle.eu/ca,general,esp
elvallenc,https://www.elvallenc.cat/,general,esp
forum,https://forum.ad/,general,and
lesportiudecatalunya,https://www.lesportiudecatalunya.cat/el9.html,general,esp
naciodigital,https://www.naciodigital.cat/,general,esp
regio7,https://www.regio7.cat/,general,esp
segre,https://www.segre.com/index.html,general,esp
vilaweb,https://www.vilaweb.cat/,general,esp
