name,homeurl,domain,country
ahaonline,https://www.ahaonline.cz/,general,cze
aktualne,https://www.aktualne.cz/,general,cze
blesk,https://www.blesk.cz/,general,cze
blesk,https://isport.blesk.cz/,general,cze
blisty,https://www.blisty.cz/,general,cze
ceskenoviny,https://www.ceskenoviny.cz/news/,general,cze
cnews,https://www.cnews.cz/,general,cze
ctk,https://www.ctk.cz/,general,cze
denik,https://znojemsky.denik.cz/,general,cze
denik,https://zatecky.denik.cz,general,cze
denik,https://kutnohorsky.denik.cz/,general,cze
denik,https://valassky.denik.cz/,general,cze
denik,https://breclavsky.denik.cz/,general,cze
denik,https://jihlavsky.denik.cz/,general,cze
denik,https://nymbursky.denik.cz/,general,cze
denik,https://opavsky.denik.cz/,general,cze
denik,https://trebicsky.denik.cz/,general,cze
denik,https://svitavsky.denik.cz/,general,cze
denik,https://havlickobrodsky.denik.cz/,general,cze
denik,https://kladensky.denik.cz/,general,cze
denik,https://rokycansky.denik.cz/,general,cze
denik,https://zlinsky.denik.cz/,general,cze
denik,https://prerovsky.denik.cz/,general,cze
denik,https://melnicky.denik.cz/,general,cze
denik,https://tachovsky.denik.cz/,general,cze
denik,https://boleslavsky.denik.cz/,general,cze
denik,https://decinsky.denik.cz/,general,cze
denik,https://sumpersky.denik.cz/,general,cze
denik,https://www.denik.cz/,general,cze
denik,https://karlovarsky.denik.cz/,general,cze
denik,https://mostecky.denik.cz/,general,cze
denik,https://pribramsky.denik.cz/,general,cze
denik,https://blanensky.denik.cz/,general,cze
denik,https://benesovsky.denik.cz/,general,cze
denik,https://ceskolipsky.denik.cz/,general,cze
denik,https://sokolovsky.denik.cz/,general,cze
denik,https://orlicky.denik.cz/,general,cze
denik,https://chrudimsky.denik.cz/,general,cze
denik,https://pelhrimovsky.denik.cz/,general,cze
denik,https://bruntalsky.denik.cz/,general,cze
denik,https://fm.denik.cz/,general,cze
denik,https://prazsky.denik.cz/,general,cze
denik,https://karvinsky.denik.cz/,general,cze
denik,https://klatovsky.denik.cz/,general,cze
denik,https://ceskobudejovicky.denik.cz/,general,cze
denik,https://moravskoslezsky.denik.cz/,general,cze
denik,https://nachodsky.denik.cz/,general,cze
denik,https://olomoucky.denik.cz/,general,cze
denik,https://chomutovsky.denik.cz/,general,cze
denik,https://ustecky.denik.cz/,general,cze
denik,https://domazlicky.denik.cz/,general,cze
denik,https://sip.denik.cz/,general,cze
denik,https://slovacky.denik.cz/,general,cze
denik,https://taborsky.denik.cz/,general,cze
denik,https://krkonossky.denik.cz/,general,cze
denik,https://hodoninsky.denik.cz/,general,cze
denik,https://plzensky.denik.cz/,general,cze
denik,https://jablonecky.denik.cz/,general,cze
denik,https://ceskokrumlovsky.denik.cz/,general,cze
denik,https://rakovnicky.denik.cz/,general,cze
denik,https://vyskovsky.denik.cz/,general,cze
denik,https://litomericky.denik.cz/,general,cze
denik,https://jicinsky.denik.cz/,general,cze
denik,https://kolinsky.denik.cz/,general,cze
denik,https://chebsky.denik.cz/,general,cze
denik,https://rychnovsky.denik.cz/,general,cze
denik,https://novojicinsky.denik.cz/,general,cze
denik,https://zdarsky.denik.cz/,general,cze
denik,https://teplicky.denik.cz/,general,cze
denik,https://hradecky.denik.cz/,general,cze
denik,https://pisecky.denik.cz/,general,cze
denik,https://kromerizsky.denik.cz/,general,cze
denik,https://pardubicky.denik.cz/,general,cze
e15,https://www.e15.cz/,general,cze
echo24,https://echo24.cz/,general,cze
halonoviny,http://www.halonoviny.cz/,general,cze
homerlive,http://www.homerlive.cz/,general,cze
ibrno,https://www.ibrno.cz/,general,cze
idnes,https://www.idnes.cz/,general,cze
ihned,https://ihned.cz/,general,cze
impuls,http://regiony.impuls.cz/,general,cze
jihoceskenovinky,http://www.jihoceskenovinky.cz/,general,cze
jihomoravskenovinky,http://www.jihomoravskenovinky.cz/,general,cze
karlovarskenovinky,http://www.karlovarskenovinky.cz/,general,cze
katyd,https://www.katyd.cz/,general,cze
kolinskypres,https://www.kolinskypres.cz/,general,cze
kralovehradeckenovinky,http://www.kralovehradeckenovinky.cz/,general,cze
libereckenovinky,http://www.libereckenovinky.cz/,general,cze
lidovky,https://neviditelnypes.lidovky.cz/,general,cze
lidovky,https://ceskapozice.lidovky.cz/,general,cze
lidovky,https://www.lidovky.cz/,general,cze
melnicko,https://melnicko.cz/,general,cze
metro,https://www.metro.cz/,general,cze
moravskoslezskenovinky,http://www.moravskoslezskenovinky.cz/,general,cze
newstin,http://www.newstin.cz/,general,cze
oiktv,http://www.oiktv.cz/,general,cze
olomouckenovinky,http://www.olomouckenovinky.cz/,general,cze
pardubickenovinky,http://www.pardubickenovinky.cz/,general,cze
parlamentnilisty,https://www.parlamentnilisty.cz/,general,cze
pise,https://www.pise.cz/,general,cze
plzenskenovinky,http://www.plzenskenovinky.cz/,general,cze
prazskenovinky,http://www.prazskenovinky.cz/,general,cze
pressweb,https://www.pressweb.cz/,general,cze
raport,http://raport.cz/noviny/,general,cze
reflex,https://www.reflex.cz/,general,cze
regionalninovinky,http://www.regionalninovinky.cz/,general,cze
rumburk,https://rn.rumburk.cz/,general,cze
stredoceskenovinky,http://www.stredoceskenovinky.cz/,general,cze
thedaily,http://www.thedaily.cz/,general,cze
tiscali,https://www.tiscali.cz/,general,cze
tyden,https://www.tyden.cz/,general,cze
tydenik_km,http://www.tydenik-km.cz/,general,cze
usteckenovinky,http://www.usteckenovinky.cz/,general,cze
vecernikpv,http://www.vecernikpv.cz/,general,cze
znojemsko,http://www.znojemsko.cz/,general,cze
