name,homeurl,domain,country
180grader,https://www.180grader.dk/,general,dnk
aars,https://www.aars.dk/,general,dnk
amtsavisen,https://amtsavisen.dk/,general,dnk
aoh,https://www.aoh.dk/,general,dnk
arbejderen,https://arbejderen.dk/,general,dnk
ballerupbladet,https://ballerupbladet.dk/,general,dnk
berlingske,https://www.berlingske.dk/,general,dnk
borsen,https://borsen.dk/,general,dnk
brandebladet,https://www.brandebladet.dk/,general,dnk
bt,https://www.bt.dk/,general,dnk
dagens,https://www.dagens.dk/,general,dnk
denkorteavis,https://denkorteavis.dk/,general,dnk
fla,https://www.fla.de/,general,dnk
folkebladet,https://folkebladet.dk/,general,dnk
folketidende,https://folketidende.dk/,general,dnk
frdb,https://frdb.dk/,general,dnk
fyens,https://www.fyens.dk/svendborg,general,dnk
fyens,https://www.fyens.dk/,general,dnk
galtenfolkeblad,https://www.galtenfolkeblad.dk/,general,dnk
gladsaxebladet,https://www.gladsaxebladet.dk/,general,dnk
helsingordagblad,https://www.helsingordagblad.dk/,general,dnk
hsfo,https://hsfo.dk/,general,dnk
hsfo,https://hsfo.dk/hedensted/,general,dnk
information,https://www.information.dk/,general,dnk
jv,https://www.jv.dk/,general,dnk
jyllands_posten,https://jyllands-posten.dk/,general,dnk
kbh,http://www.kbh.dk/,general,dnk
kristeligt_dagblad,https://www.kristeligt-dagblad.dk/,general,dnk
lokalavisen,http://favrskov.lokalavisen.dk/,general,dnk
lokalavisen,http://skanderborg.lokalavisen.dk/,general,dnk
lokalavisen,http://norddjurs.lokalavisen.dk/,general,dnk
lokalavisen,http://aarhus.lokalavisen.dk/,general,dnk
lokalavisenassens,https://www.lokalavisenassens.dk/,general,dnk
minby,https://minby.dk/,general,dnk
mja,https://www.mja.dk/,general,dnk
mm,https://www.mm.dk/,general,dnk
netavisen_sjaelland,http://netavisen-sjaelland.dk/,general,dnk
news,https://news.dk/,general,dnk
ni,https://ni.dk/,general,dnk
nordjyske,https://nordjyske.dk/,general,dnk
politiken,https://politiken.dk/,general,dnk
roldskovbladet,https://roldskovbladet.dk/,general,dnk
skive_her,http://www.skive-her.dk/,general,dnk
skivefolkeblad,https://www.skivefolkeblad.dk/,general,dnk
sn,https://sn.dk/,general,dnk
stevnsbladet,http://stevnsbladet.dk/,general,dnk
stiften,https://stiften.dk/,general,dnk
ugeavisen_aabenraa,https://www.ugeavisen-aabenraa.dk/,general,dnk
ugeavisen_esbjerg,https://www.ugeavisen-esbjerg.dk/,general,dnk
ugeavisen_haderslev,https://www.ugeavisen-haderslev.dk/,general,dnk
ugeavisen_ribe,https://www.ugeavisen-ribe.dk/,general,dnk
ugeavisenvejen,https://www.ugeavisenvejen.dk,general,dnk
vafo,https://vafo.dk/,general,dnk
weekendavisen,https://www.weekendavisen.dk/,general,dnk
