name,homeurl,domain,country
20min,https://www.20min.ch/,general,che
aarauer_nachrichten,https://www.aarauer-nachrichten.ch/,general,che
aargauerzeitung,https://www.aargauerzeitung.ch/,general,che
anzeigervomrottal,https://www.anzeigervomrottal.ch/,general,che
appenzell24,https://www.appenzell24.ch/,general,che
badenerzeitung,https://www.badenerzeitung.at/,general,aut
baernerbaer,https://baernerbaer.ch/,general,che
bauernzeitung,https://www.bauernzeitung.ch/,general,che
bazonline,https://www.bazonline.ch/,general,che
beobachter,https://www.beobachter.ch/,general,che
bern_ost,https://www.bern-ost.ch/,general,che
berneroberlaender,https://www.berneroberlaender.ch/,general,che
bernerzeitung,https://www.bernerzeitung.ch/,general,che
bielertagblatt,https://www.bielertagblatt.ch/,general,che
blick,https://www.blick.ch/,general,che
bote,https://www.bote.ch/,general,che
bvz,https://www.bvz.at/,general,aut
bzbasel,https://www.bzbasel.ch/,general,che
cash,https://www.cash.ch/,general,che
coopzeitung,https://www.coopzeitung.ch/,general,che
derbrienzer,https://www.derbrienzer.ch/,general,che
derbund,https://www.derbund.ch/,general,che
derennstaler,https://www.derennstaler.at/,general,aut
diepresse,https://www.diepresse.com/,general,aut
dietagespresse,https://dietagespresse.com/,general,aut
economy,http://economy.at/,general,aut
engadinerpost,http://www.engadinerpost.ch/,general,che
ennsseiten,http://www.ennsseiten.at/,general,aut
entlebucher_anzeiger,https://www.entlebucher-anzeiger.ch/,general,che
freiburger_nachrichten,https://www.freiburger-nachrichten.ch/,general,che
fridolin,https://www.fridolin.ch/,general,che
frutiglaender,https://www.frutiglaender.ch/,general,che
furche,https://www.furche.at/,general,aut
fuw,https://www.fuw.ch/,general,che
grazer,https://www.grazer.at/,general,aut
grenchnertagblatt,https://www.grenchnertagblatt.ch/,general,che
handelszeitung,https://www.handelszeitung.ch/,general,che
hoefner,https://www.hoefner.ch/,general,che
jungfrauzeitung,https://www.jungfrauzeitung.ch/,general,che
kloteneranzeiger,https://www.kloteneranzeiger.ch/,general,che
kurier,https://kurier.at/,general,aut
landbote,https://www.landbote.ch/,general,che
liezener_bezirksnachrichten,https://www.liezener-bezirksnachrichten.at/,general,aut
lokalinfo,http://www.lokalinfo.ch/,general,che
luzernerzeitung,https://www.luzernerzeitung.ch/,general,che
marchanzeiger,https://www.marchanzeiger.ch/,general,che
meileneranzeiger,https://www.meileneranzeiger.ch/,general,che
news,https://www.news.at/,general,aut
nfz,https://www.nfz.ch/,general,che
noz,https://www.noz.ch/,general,che
noz_oberaargau,https://www.noz-oberaargau.ch/,general,che
nzz,https://www.nzz.ch/,general,che
nzz,https://nzzas.nzz.ch/,general,che
oltnertagblatt,https://www.oltnertagblatt.ch/,general,che
onb,http://anno.onb.ac.at/,general,aut
orf,https://orf.at/,general,aut
profil,https://www.profil.at/,general,aut
regiomagazin,http://brugg-zurzach.regiomagazin.ch/site/index.cfm,general,che
rheintaler,https://rheintaler.ch/,general,che
rro,http://www.rro.ch/cms/index.php,general,che
salzburg24,https://www.salzburg24.at/,general,aut
sarganserlaender,https://www.sarganserlaender.ch/rubriken/aktuell/,general,che
schweizer_illustrierte,https://www.schweizer-illustrierte.ch/,general,che
schweizerbauer,https://www.schweizerbauer.ch/,general,che
schweizerzeit,https://schweizerzeit.ch/,general,che
shaz,https://www.shaz.ch/,general,che
shn,https://www.shn.ch/,general,che
simmentalzeitung,http://www.simmentalzeitung.ch/,general,che
sn,https://www.sn.at/,general,aut
st_galler_nachrichten,https://www.st-galler-nachrichten.ch/,general,che
suedostschweiz,https://www.suedostschweiz.ch/,general,che
svh,https://www.svh.at/salzburger-fenster-magazin/,general,aut
tagblatt,https://www.tagblatt.ch/,general,che
tagblattzuerich,https://www.tagblattzuerich.ch/home.html,general,che
tagesanzeiger,https://www.tagesanzeiger.ch/sonntagszeitung/,general,che
tageswoche,https://tageswoche.ch/,general,che
tessinerzeitung,http://www.tessinerzeitung.ch/,general,che
thunertagblatt,https://www.thunertagblatt.ch/,general,che
tt,https://www.tt.com/,general,aut
unter_emmentaler,https://unter-emmentaler.ch/,general,che
unterkaerntner,https://unterkaerntner.at/,general,aut
vol,https://www.vol.at/,general,aut
volksblatt,https://volksblatt.at/,general,aut
vorwaerts,https://www.vorwaerts.ch/,general,che
wannundwo,https://www.wannundwo.at/,general,aut
watson,https://www.watson.ch/,general,che
weltwoche,https://www.weltwoche.ch/,general,che
wienerbezirksblatt,https://wienerbezirksblatt.at/,general,aut
wiler_nachrichten,https://www.wiler-nachrichten.ch/,general,che
winterthurer_zeitung,https://www.winterthurer-zeitung.ch/,general,che
wochen_zeitung,https://www.wochen-zeitung.ch/,general,che
woz,https://www.woz.ch/,general,che
zeit_fragen,https://www.zeit-fragen.ch/,general,che
zofingertagblatt,https://zofingertagblatt.ch/,general,che
zsz,https://www.zsz.ch/,general,che
zueriost,https://zueriost.ch/,general,che
zugerwoche,https://www.zugerwoche.ch/,general,che
zuonline,https://www.zuonline.ch/,general,che
