name,homeurl,domain,country
24h,https://24h.com.cy/,general,cyp
24sports,http://www.24sports.com.cy/gr/news/,general,cyp
actioninsports,https://www.actioninsports.com/,general,cyp
agon,https://www.agon.gr/,general,grc
agonas,https://agonas.gr/,general,grc
agx,https://www.agx.gr/,general,grc
aixmi_news,https://www.aixmi-news.gr/,general,grc
alithia,https://www.alithia.gr/,general,grc
anexartitos,https://www.anexartitos.gr/,general,grc
ant1,https://www.ant1.com.cy/,general,cyp
aplotaria,https://www.aplotaria.gr/,general,grc
athensvoice,https://www.athensvoice.gr/,general,grc
athinapoli,https://www.athinapoli.gr/,general,grc
athinorama,https://www.athinorama.gr/,general,grc
avgi,http://www.avgi.gr/,general,grc
championsday,https://www.championsday.gr/,general,grc
chiosnews,http://chiosnews.com/,general,grc
cretalive,https://www.cretalive.gr/,general,grc
cyprusnews,https://cyprusnews.eu/,general,cyp
cytoday,http://cytoday.eu/,general,cyp
daypress,https://www.daypress.gr/,general,grc
dikaiologitika,https://www.dikaiologitika.gr/,general,grc
dimokratiki,https://www.dimokratiki.gr/,general,grc
ditiki,http://ditiki.gr/,general,grc
e_thessalia,https://e-thessalia.gr/,general,grc
eleftheria,https://www.eleftheria.gr/,general,grc
eleftheriaonline,https://eleftheriaonline.gr/,general,grc
eleftherostypos,https://eleftherostypos.gr/,general,grc
elkosmos,https://www.elkosmos.gr/,general,grc
elora,https://www.elora.gr/portal/,general,grc
enikos,https://www.enikos.gr/,general,grc
ert,https://www.ert.gr/,general,grc
espressonews,https://www.espressonews.gr/,general,grc
evianews,https://evianews.com/,general,grc
filodimos,https://www.filodimos.gr/,general,grc
flashnews,https://flashnews.gr/,general,grc
gavros,https://www.gavros.gr/,general,grc
greeknewsonline,https://www.greeknewsonline.com/,general,grc
iefimerida,https://www.iefimerida.gr/,general,grc
imeranews,http://www.imeranews.gr/,general,grc
ipop,https://ipop.gr/,general,grc
karfitsa,https://www.karfitsa.gr/,general,grc
kathimerini,https://www.kathimerini.gr/,general,grc
kathimerini,https://www.kathimerini.com.cy/gr/,general,cyp
katohika,https://katohika.gr/,general,grc
kerdos,http://www.kerdos.gr/,general,grc
kilkistoday,https://www.kilkistoday.gr/,general,grc
kosmoslarissa,http://www.kosmoslarissa.gr/,general,grc
koutipandoras,https://www.koutipandoras.gr/,general,grc
laosnews,https://www.laosnews.gr/,general,grc
lifo,https://www.lifo.gr/,general,grc
makeleio,https://www.makeleio.gr/,general,grc
makthes,https://www.makthes.gr/,general,grc
metrosport,https://www.metrosport.gr/,general,grc
neakriti,https://www.neakriti.gr/,general,grc
neoiagones,http://www.neoiagones.gr/,general,grc
newpost,http://newpost.gr/,general,grc
news247,https://www.news247.gr/,general,grc
newsbeast,https://www.newsbeast.gr/,general,grc
newsbomb,https://www.newsbomb.gr/,general,grc
newsit,https://www.newsit.gr/,general,grc
novasports,https://www.novasports.gr/,general,grc
omegalive,https://omegalive.com.cy/,general,cyp
omonoianews,https://omonoianews.com/,general,cyp
orthodoxia,https://orthodoxia.gr/,general,grc
pafospress,https://pafospress.com/,general,cyp
paideia_news,https://paideia-news.com/,general,cyp
parapolitika,https://www.parapolitika.gr/,general,grc
patris,https://www.patris.gr/,general,grc
patrisnews,http://www.patrisnews.com/,general,grc
pentapostagma,https://www.pentapostagma.gr/,general,grc
philenews,https://www.philenews.com/,general,cyp
politis,https://politis.com.cy/,general,cyp
prin,http://prin.gr/,general,grc
prlogos,http://www.prlogos.gr/,general,grc
proinanea,http://www.proinanea.gr/,general,grc
proinoslogos,https://www.proinoslogos.gr/,general,grc
pronews,https://www.pronews.gr/,general,grc
protagon,https://www.protagon.gr/,general,grc
protothema,https://www.protothema.gr/,general,grc
rizospastis,https://www.rizospastis.gr/,general,grc
rodiaki,https://www.rodiaki.gr/,general,grc
rp,https://www.rp.gr/,general,grc
sigmalive,https://www.sigmalive.com/,general,cyp
sportscy,https://www.sportscy.net/,general,cyp
stoxos,https://www.stoxos.gr/,general,grc
styga,http://www.styga.gr/,general,grc
symboulos,https://www.symboulos.gr/,general,grc
tanea,https://www.tanea.gr/,general,grc
taxydromos,https://www.taxydromos.gr/,general,grc
thebest,https://www.thebest.gr/,general,grc
thetoc,https://www.thetoc.gr/,general,grc
tovima,https://www.tovima.gr/,general,grc
trakyaninsesi,http://www.trakyaninsesi.com/,general,grc
typos,https://typos.com.cy/,general,cyp
xronos,https://www.xronos.gr/,general,grc
zougla,https://www.zougla.gr,general,grc
