name,homeurl,domain,country
247ureports,https://247ureports.com/,general,nga
256businessnews,https://www.256businessnews.com/,general,uga
3news,https://3news.com/,general,gha
6d,http://www.6d.fi/,general,fin
702,http://www.702.co.za/,general,zaf
99fm,https://99fm.com.na/,general,nam
abacolife,http://www.abacolife.com/,general,bhs
abs_cbn,https://news.abs-cbn.com/,general,phl
abstvradio,http://abstvradio.com/,general,atg
advance,https://www.advance.mu/,general,mus
advertiser,https://www.advertiser.ie/galway,general,irl
advertiser,https://www.advertiser.ie/athlone,general,irl
afr,https://www.afr.com/,general,aus
africanreporter,https://africanreporter.co.za/,general,zaf
afternoonvoice,https://www.afternoonvoice.com/,general,ind
albawaba,https://www.albawaba.com/,general,sdn
albertonrecord,https://albertonrecord.co.za/,general,zaf
alexnews,https://alexnews.co.za/,general,zaf
algoafm,https://www.algoafm.co.za/,general,zaf
alicespringsnews,https://www.alicespringsnews.com.au/,general,aus
aljazeera,https://www.aljazeera.com/where/pakistan,general,pak
allafrica,https://allafrica.com/eritrea/,general,eri
allafrica,https://allafrica.com/burundi/,general,bdi
allafrica,https://allafrica.com/seychelles/,general,syc
allafrica,https://allafrica.com/botswana/,general,bwa
allafrica,https://allafrica.com/lesotho/,general,lso
allgambianews,https://www.allgambianews.com/,general,gmb
allghananews,https://allghananews.com/,general,gha
allnigeriasoccer,https://www.allnigeriasoccer.com/,general,nga
alsudanalyoum,https://alsudanalyoum.com/,general,sdn
amala,https://amala.ng/,general,nga
amandala,https://amandala.com.bz/,general,blz
ambergristoday,https://www.ambergristoday.com/,general,blz
andamanchronicle,http://www.andamanchronicle.net/,general,ind
andamansheekha,http://www.andamansheekha.com/,general,ind
anglocelt,https://www.anglocelt.ie/,general,irl
anphoblacht,https://www.anphoblacht.com/,general,irl
antigua_barbuda,https://antigua-barbuda.com/,general,atg
antiguanewsroom,https://antiguanewsroom.com/,general,atg
app,https://www.app.com.pk/,general,pak
ashburtoncourier,http://www.ashburtoncourier.co.nz/,general,nzl
asianage,https://www.asianage.com/,general,ind
asianjournal,https://asianjournal.com,general,phl
asiaone,https://www.asiaone.com/,general,sgp
asmarino,https://www.asmarino.com/,general,eri
assamtribune,http://www.assamtribune.com/,general,ind
assamtribune,https://assamtribune.com/,general,ind
assenna,https://assenna.com/,general,eri
avirtualdominica,https://www.avirtualdominica.com/,general,dma
avondhupress,https://avondhupress.ie/,general,irl
awate,http://awate.com/,general,eri
ayvnewspaper,http://www.ayvnewspaper.com/,general,sle
baguiomidlandcourier,http://www.baguiomidlandcourier.com.ph/,general,phl
bahamasb2b,http://www.bahamasb2b.com/news/,general,bhs
bahamasnational,http://www.bahamasnational.com/,general,bhs
bahamasnewsmabey,https://www.bahamasnewsmabey.com/,general,bhs
bahamaspress,http://bahamaspress.com/,general,bhs
bahamasspectator,http://www.bahamasspectator.com/,general,bhs
bahamasuncensored,http://www.bahamasuncensored.com/,general,bhs
bajanreporter,https://www.bajanreporter.com/,general,brb
ballitonews,https://www.ballitonews.co.za/,general,zaf
ballymenatimes,https://www.ballymenatimes.com/,general,irl
bamendaonline,http://bamendaonline.net/,general,cmr
barbadosadvocate,https://www.barbadosadvocate.com/,general,brb
barbadosgazette,https://barbadosgazette.com/,general,brb
barbadospropertynews,https://barbadospropertynews.com/,general,brb
barbadostoday,http://barbadostoday.bb/,general,brb
barbadosunderground,https://barbadosunderground.net/,general,brb
bbc,https://www.bbc.com/news/world-africa-13349078,general,eri
bbc,https://www.bbc.com/news/world-asia-pacific-15436981,general,png
bbc,https://www.bbc.com/news/world-asia-pacific-14919067,general,fji
bbc,http://news.bbc.co.uk/2/hi/americas/country_profiles/4087743.stm,general,flk
bbc,https://www.bbc.com/news/world-asia-15595431,general,mhl
bbc,https://www.bbc.com/news/world-africa-14093238,general,rwa
bbc,http://news.bbc.co.uk/2/hi/americas/country_profiles/1209605.stm,general,grd
bbc,http://news.bbc.co.uk/2/hi/americas/country_profiles/1191111.stm,general,atg
bbc,https://www.bbc.com/news/world-asia-pacific-15433616,general,nru
bbc,https://www.bbc.com/news/world-africa-13681341,general,ken
bbc,https://www.bbc.com/news/world-africa-13085064,general,bdi
bbc,https://www.bbc.com/news/world-africa-14093816,general,syc
bbc,https://www.bbc.com/news/world-africa-13040376,general,bwa
bbc,https://www.bbc.com/news/world-asia-16426193,general,vut
bbc,https://www.bbc.com/news/world-middle-east-15446659,general,plw
bbc,http://news.bbc.co.uk/2/hi/americas/country_profiles/3666502.stm,general,msr
bbc,https://www.bbc.co.uk/news/world-asia-pacific-16340072,general,tuv
bbc,https://www.bbc.com/news/topics/cp7r8vglne2t/hong-kong,general,hkg
bbc,https://www.bbc.com/news/world-asia-15896396,general,slb
bbc,http://news.bbc.co.uk/2/hi/asia-pacific/country_profiles/1168527.stm,general,kir
bbc,https://www.bbc.com/news/world-asia-15655855,general,wsm
bbc,https://www.bbc.co.uk/news/world-africa-13728324,general,lso
