name,homeurl,domain,country
14ymedio,https://www.14ymedio.com/,general,cub
180,https://www.180.com.uy/,general,ury
2001,http://www.2001.com.ve/,general,ven
20minutos,https://www.20minutos.es/madrid/,general,esp
20minutos,https://www.20minutos.es/aragon/,general,esp
20once,http://www.20once.com.uy/,general,ury
24horas,https://www.24horas.cl/,general,chl
30minutostachira,http://www.30minutostachira.com/,general,ven
5dias,http://www.5dias.com.py/,general,pry
5septiembre,http://www.5septiembre.cu/,general,cub
PrensaLibre,https://www.PrensaLibre.com/,general,gtm
abc,https://www.abc.es/,general,esp
abc,https://sevilla.abc.es/,general,esp
abc,http://www.abc.com.py/,general,pry
acento,https://acento.com.do/,general,dom
actualidad,http://www.actualidad.com.uy/,general,ury
actualidadpanamericana,https://actualidadpanamericana.com/,general,col
adelante,http://www.adelante.cu/,general,cub
adiariocr,http://adiariocr.com/,general,cri
adndigital,http://www.adndigital.com.py/,general,pry
agenciaelvigia,https://www.agenciaelvigia.com.ar/,general,arg
agendapasco,https://agendapasco.com/,general,per
agesor,http://www.agesor.com.uy/,general,ury
ahora,http://www.ahora.cu/es/,general,cub
ahoramardelplata,https://ahoramardelplata.com.ar/,general,arg
ahoranoticias,https://www.ahoranoticias.com.uy/,general,ury
almomento,https://www.almomento.net/,general,dom
ambito,https://www.ambito.com/,general,arg
amprensa,https://amprensa.com/,general,cri
analitica,https://www.analitica.com/,general,ven
andaluciainformacion,https://andaluciainformacion.es/jaen/,general,esp
andina,https://andina.pe/agencia/,general,per
aragondigital,https://www.aragondigital.es/,general,esp
arp,http://www.arp.org.py/,general,pry
arrecifesnoticias,https://arrecifesnoticias.com/,general,arg
articulo66,https://www.articulo66.com/,general,nic
artigasnoticias,http://artigasnoticias.com.uy/,general,ury
as,https://as.com,general,esp
asiesmargarita,http://asiesmargarita.com/,general,ven
asodeguesegundaetapa,http://www.asodeguesegundaetapa.org/,general,gnq
astorga,http://www.astorga.com/faro/,general,esp
atlantico,https://www.atlantico.net/,general,esp
australosorno,http://www.australosorno.cl/,general,chl
australvaldivia,http://www.australvaldivia.cl/,general,chl
avancedeportivo,http://www.avancedeportivo.es/,general,esp
ayacuchoaldia,http://ayacuchoaldia.com.ar/,general,arg
bacanalnica,https://www.bacanalnica.com/,general,nic
baenegocios,https://www.baenegocios.com/,general,arg
baraderoteinforma,https://www.baraderoteinforma.com.ar/,general,arg
barinas,https://www.barinas.net.ve/,general,ven
bayanodigital,https://bayanodigital.com/,general,pan
bcnmes,https://bcnmes.com/,general,esp
bez,https://www.bez.es/,general,esp
biobiochile,https://www.biobiochile.cl/,general,chl
blogspot,http://geconfidencial.blogspot.com/,general,gnq
boe,https://www.boe.es/,general,esp
bohemia,http://bohemia.cu/,general,cub
bolivia,https://www.bolivia.com/,general,bol
boliviaentusmanos,https://www.boliviaentusmanos.com/,general,bol
boliviatv,http://www.boliviatv.bo/,general,bol
brecha,https://brecha.com.uy/,general,ury
bsnoticias,http://www.bsnoticias.cr/,general,cri
cachicha,http://www.cachicha.com/,general,dom
cactus24,https://cactus24.com.ve/,general,ven
cadena3,https://www.cadena3.com/,general,arg
cajamarcaopina,https://cajamarcaopina.com/,general,per
cambio21,https://cambio21.cl/,general,chl
canal12,http://www.canal12.com.sv/,general,slv
canal2tv,http://canal2tv.com/,general,nic
canarias7,https://www.canarias7.es/,general,esp
capiatadigital,https://www.capiatadigital.com/,general,pry
caraboboesnoticia,http://caraboboesnoticia.com/,general,ven
caracol,https://caracol.com.co/,general,col
caraotadigital,http://www.caraotadigital.net/,general,ven
caretas,https://www.caretas.pe/,general,per
carmeloportal,https://carmeloportal.com/,general,ury
carteleraarandina,http://www.carteleraarandina.com/,general,esp
cdecuba,http://cdecuba.org/,general,cub
cdehot,https://www.cdehot.com.py/,general,pry
centropolismedellin,https://www.centropolismedellin.com/,general,col
chanarcillo,http://www.chanarcillo.cl/,general,chl
chaski,https://www.chaski.pe/,general,per
choco7dias,http://www.choco7dias.com/,general,col
cibercuba,https://www.cibercuba.com/,general,cub
ciperchile,https://ciperchile.cl/,general,chl
ciudadvalencia,http://ciudadvalencia.com.ve/,general,ven
clarin,https://www.clarin.com/,general,arg
cmiguate,https://cmiguate.org/,general,gtm
cnnchile,https://www.cnnchile.com/,general,chl
colombia,https://www.colombia.com/,general,col
colonianoticias,https://www.colonianoticias.com.uy/,general,ury
coloniaya,http://www.coloniaya.com/,general,ury
confidencial,https://confidencial.com.ni/,general,nic
connuestroperu,https://www.connuestroperu.com/,general,per
contactonews,https://contactonews.co/,general,pry
contextotucuman,https://www.contextotucuman.com/,general,arg
cooperativa,https://www.cooperativa.cl/,general,chl
correodelcaroni,http://www.correodelcaroni.com/,general,ven
correodelorinoco,http://www.correodelorinoco.gob.ve/,general,ven
correodelsur,https://correodelsur.com/,general,bol
correopuntadeleste,http://correopuntadeleste.com/,general,ury
costacomunicaciones,https://costacomunicaciones.es/,general,esp
costaverdedr,http://costaverdedr.com/,general,dom
crhoy,https://www.crhoy.com/,general,cri
criterio,https://criterio.hn/,general,hnd
critica,https://www.critica.com.pa/,general,pan
crnnoticias,https://crnnoticias.com/,general,gtm
cronica,https://www.cronica.com.ar/,general,arg
cronica,https://www.cronica.com.ec/,general,ecu
cronica,http://www.cronica.com.py/,general,pry
cronicachillan,http://www.cronicachillan.cl/,general,chl
cronicadelquindio,https://www.cronicadelquindio.com/,general,col
cronicas,http://www.cronicas.com.uy/,general,ury
cronicaviva,http://www.cronicaviva.com.pe/,general,per
cronio,http://cronio.sv/,general,slv
cronista,https://www.cronista.com/,general,arg
cuba,http://www.cuba.cu/,general,cub
cubahora,http://www.cubahora.cu/,general,cub
cubanet,https://www.cubanet.org/,general,cub
cubaplusmagazine,http://www.cubaplusmagazine.com/,general,cub
cubasi,http://cubasi.cu/,general,cub
dca,https://dca.gob.gt/,general,gtm
deguate,http://www.deguate.com/,general,gtm
deia,https://www.deia.eus/,general,esp
delfino,https://delfino.cr/,general,cri
delpais,https://delpais.com.pe/web/,general,per
descifrado,http://www.descifrado.com/,general,ven
desdechinandega,https://www.desdechinandega.com/,general,nic
df,https://www.df.cl/,general,chl
diaadia,https://www.diaadia.com.pa/,general,pan
diagonales,https://diagonales.com/,general,arg
diaridetarragona,https://www.diaridetarragona.com/,general,esp
diario1,http://diario1.com/,general,slv
diario_lacalle,http://www.diario-lacalle.com.ar/,general,arg
diarioaccion,http://www.diarioaccion.com.ar/,general,arg
diarioandaluz,https://diarioandaluz.com/,general,bol
diarioarmenia,http://www.diarioarmenia.org.ar/,general,arg
diarioatacama,http://www.diarioatacama.cl/,general,chl
diarioavance,https://diarioavance.com/,general,ven
diariocambio,https://diariocambio.com.uy/,general,ury
diariocaribazo,http://www.diariocaribazo.net/,general,ven
diariocolatino,https://www.diariocolatino.com/,general,slv
diarioconcepcion,https://www.diarioconcepcion.cl/,general,chl
diariocontraste,http://www.diariocontraste.com/,general,ven
diariocordoba,https://www.diariocordoba.com/,general,esp
diariocorreo,https://www.diariocorreo.com.ec/,general,ecu
diariocorreo,https://diariocorreo.pe/,general,per
diariocritico,https://www.diariocritico.com/,general,esp
diariocronicas,https://www.diariocronicas.com.uy/,general,ury
diariodealmeria,https://www.diariodealmeria.es/,general,esp
diariodearousa,https://www.diariodearousa.com/,general,esp
diariodeavila,https://www.diariodeavila.es/,general,esp
diariodeburgos,https://www.diariodeburgos.es/,general,esp
diariodecadiz,https://www.diariodecadiz.es/,general,esp
diariodechimbote,http://www.diariodechimbote.com/,general,per
diariodecuba,http://www.diariodecuba.com/,general,cub
diariodecuyo,https://www.diariodecuyo.com.ar/,general,arg
diariodeferrol,https://www.diariodeferrol.com/,general,esp
diariodeibiza,https://www.diariodeibiza.es/,general,esp
diariodejerez,https://www.diariodejerez.es/,general,esp
diariodelaltoaragon,https://www.diariodelaltoaragon.es/,general,esp
diariodelcauca,https://diariodelcauca.com.co/,general,col
diariodelcusco,https://diariodelcusco.pe/,general,per
diariodeleon,https://www.diariodeleon.es/,general,esp
diariodelhuila,https://diariodelhuila.com/,general,col
diariodelnorte,https://www.diariodelnorte.net/,general,col
diariodelsur,https://diariodelsur.com.co/,general,col
diariodemallorca,https://www.diariodemallorca.es/,general,esp
diariodemocracia,https://www.diariodemocracia.com/,general,arg
diariodenavarra,https://www.diariodenavarra.es/,general,esp
diariodepontevedra,https://www.diariodepontevedra.es/,general,esp
diariodesevilla,https://www.diariodesevilla.es/,general,esp
diariodeteruel,https://www.diariodeteruel.es/,general,esp
diariodigital,https://diariodigital.com.do/,general,dom
diariodigitalelindependiente,https://www.diariodigitalelindependiente.com/,general,cri
diariodominicano,http://www.diariodominicano.com/,general,dom
diarioel9dejulio,http://www.diarioel9dejulio.com.ar/,general,arg
diarioelcaroreno,http://diarioelcaroreno.com.ve/web/,general,ven
diarioelcentro,http://www.diarioelcentro.cl/,general,chl
diarioeldia,http://www.diarioeldia.cl/,general,chl
diarioelexpreso,http://www.diarioelexpreso.com.ve/,general,ven
diarioelheraldo,http://www.diarioelheraldo.cl/,general,chl
diarioelpueblo,http://www.diarioelpueblo.com.uy/,general,ury
diarioelsoldecusco,http://www.diarioelsoldecusco.com/,general,per
diarioeltiempo,https://www.diarioeltiempo.com.ar/,general,arg
diarioeltiempo,http://www.diarioeltiempo.com.ve/,general,ven
diarioextra,http://www.diarioextra.com/,general,cri
diarioinformacion,https://www.diarioinformacion.com/,general,esp
diariojaen,https://www.diariojaen.es/,general,esp
diariojudicial,https://www.diariojudicial.com/,general,arg
diariolabrador,http://www.diariolabrador.cl/,general,chl
diariolahuella,https://diariolahuella.com/,general,slv
diariolaprensa,https://www.diariolaprensa.cl/,general,chl
diariolaregion,https://diariolaregion.com/,general,per
diariolaregion,http://www.diariolaregion.cl/,general,chl
diariolaregion,https://diariolaregion.net/,general,ven
diariolatino,http://diariolatino.net/,general,slv
diariolatribuna,http://www.diariolatribuna.cl/,general,chl
diariolavoz,https://diariolavoz.net/,general,ven
diariolibre,https://www.diariolibre.com/,general,dom
diariolibresv,https://diariolibresv.com/,general,slv
diariolongino,http://www.diariolongino.cl/,general,chl
diariolosandes,https://diariolosandes.com.ec/,general,ecu
diariomas,https://www.diariomas.hn/,general,hnd
diariomayabeque,http://diariomayabeque.cu/,general,cub
diarionorte,https://www.diarionorte.com.uy/,general,ury
diarionuevosur,https://diarionuevosur.com/,general,bol
diariopalentino,https://www.diariopalentino.es/,general,esp
diariopanorama,https://www.diariopanorama.com/,general,arg
diariopopular,https://www.diariopopular.com.ar/,general,arg
diarioregistrado,https://www.diarioregistrado.com/,general,arg
diariorepublica,http://www.diariorepublica.com/,general,ven
diariosigloxxi,http://www.diariosigloxxi.com/,general,esp
diariosur,https://www.diariosur.es/,general,esp
diariouno,https://www.diariouno.com.ar/,general,arg
diariouno,https://diariouno.pe/,general,per
diariovasco,https://www.diariovasco.com/,general,esp
diarioveloz,http://www.diarioveloz.com/,general,arg
diariovoces,https://www.diariovoces.com.pe/,general,per
dib,http://www.dib.com.ar/,general,arg
digital58,https://digital58.com.ve/,general,ven
distritointerior,http://www.distritointerior.com.ar/,general,arg
duraznodigital,https://www.duraznodigital.uy/,general,ury
eabolivia,https://www.eabolivia.com/,general,bol
ecuadorenvivo,http://www.ecuadorenvivo.com/,general,ecu
ecuadortransparente,https://www.ecuadortransparente.com/,general,ecu
ejeadigital,http://www.ejeadigital.com/,general,esp
eju,http://eju.tv/,general,bol
ekaenlinea,https://www.ekaenlinea.com/,general,cri
el1digital,http://www.el1digital.com.ar/,general,arg
el_carabobeno,https://www.el-carabobeno.com/,general,ven
elacontecer,http://www.elacontecer.com.uy/,general,ury
eladelantado,https://www.eladelantado.com/,general,esp
elancasti,https://www.elancasti.com.ar/,general,arg
elandino,http://www.elandino.cl/,general,chl
elaragueno,https://elaragueno.com.ve/,general,ven
elblog,http://elblog.com/inicio/,general,slv
elbocon,https://elbocon.pe/,general,per
