name,homeurl,domain,country
aripaev,https://www.aripaev.ee/,general,est
delfi,https://ekspress.delfi.ee/,general,est
delfi,http://epl.delfi.ee/,general,est
delfi,http://maaleht.delfi.ee/,general,est
eestikirik,http://www.eestikirik.ee/,general,est
harjuelu,http://www.harjuelu.ee/,general,est
hiiuleht,http://www.hiiuleht.ee/,general,est
kesknadal,http://kesknadal.ee/,general,est
kuldnebors,https://www.kuldnebors.ee/,general,est
kuulutaja,http://www.kuulutaja.ee/,general,est
le,https://online.le.ee/,general,est
lounaleht,http://www.lounaleht.ee/,general,est
nelli,https://www.nelli.ee/,general,est
ohtuleht,https://www.ohtuleht.ee/,general,est
postimees,https://www.postimees.ee/,general,est
postimees,https://jarvateataja.postimees.ee/,general,est
postimees,https://sakala.postimees.ee/,general,est
postimees,https://virumaateataja.postimees.ee/,general,est
saartehaal,https://www.saartehaal.ee/,general,est
sonumitooja,http://sonumitooja.ee/,general,est
telegram,http://www.telegram.ee/,general,est
umaleht,http://umaleht.ee/,general,est
vooremaa,https://www.vooremaa.ee/,general,est
