name,homeurl,domain,country
8am,https://8am.af/,general,afg
afghanpaper,http://www.afghanpaper.com/,general,afg
aftabeyazd,http://aftabeyazd.ir/,general,irn
alef,https://www.alef.ir/,general,irn
aminnews,http://www.aminnews.ir/,general,irn
ansardaily,http://www.ansardaily.com/,general,afg
armanemili,http://armanemili.com/,general,afg
asriran,https://www.asriran.com/,general,irn
bartarinha,https://www.bartarinha.ir/,general,irn
bbc,https://www.bbc.com/persian,general,irn
beytoote,https://www.beytoote.com/,general,irn
bokhdinews,https://bokhdinews.af/,general,afg
dailyafghanistan,http://www.dailyafghanistan.com/,general,afg
dana,https://www.dana.ir/,general,irn
dawatmedia24,https://dawatmedia24.com/,general,afg
donya_e_eqtesad,https://donya-e-eqtesad.com/,general,irn
ebtekarnews,http://ebtekarnews.com/,general,irn
entekhab,https://www.entekhab.ir/,general,irn
esfahanemrooz,http://esfahanemrooz.ir/,general,irn
eslahonline,https://www.eslahonline.net/,general,afg
etemadnewspaper,https://www.etemadnewspaper.ir/,general,irn
etilaatroz,https://www.etilaatroz.com/,general,afg
fardanews,https://www.fardanews.com/,general,irn
farhikhtegandaily,http://farhikhtegandaily.com/,general,irn
ghanoondaily,http://www.ghanoondaily.ir/fa,general,irn
hamshahrionline,https://www.hamshahrionline.ir/,general,irn
hamvatansalam,http://www.hamvatansalam.com/,general,irn
hemayatonline,http://www.hemayatonline.ir/,general,irn
icana,https://www.icana.ir/Fa/,general,irn
irna,https://www.irna.ir/,general,irn
jamejamonline,https://jamejamonline.ir/,general,irn
javanonline,https://www.javanonline.ir/,general,irn
jawedan,https://jawedan.com/,general,afg
kabulpress,https://www.kabulpress.org/,general,afg
khabarjonoub,http://www.khabarjonoub.ir/,general,irn
khabaronline,https://www.khabaronline.ir/,general,irn
khabarvarzeshi,https://www.khabarvarzeshi.com/,general,irn
khorasannews,http://www.khorasannews.com/,general,irn
mandegardaily,https://mandegardaily.com/,general,afg
mashreghnews,https://www.mashreghnews.ir/,general,irn
mehrnews,https://www.mehrnews.com/,general,irn
mellee,https://mellee.ir/,general,irn
naslefarda,http://www.naslefarda.net/,general,irn
newsrahemardom,http://www.newsrahemardom.ir/,general,irn
noordaily,http://noordaily.ir/,general,irn
qudsonline,http://www.qudsonline.ir/,general,irn
salamtoronto,https://salamtoronto.ca/,general,irn
sayahonline,https://www.sayahonline.com/,general,afg
seemorgh,https://seemorgh.com/,general,irn
shahrekhabar,https://www.shahrekhabar.com/,general,irn
sharghdaily,https://sharghdaily.com/,general,irn
siasatrooz,http://www.siasatrooz.ir/,general,irn
sputniknews,https://af.sputniknews.com/,general,afg
taand,https://www.taand.com/,general,afg
tabnak,https://www.tabnak.ir/,general,irn
tafahomnews,http://www.tafahomnews.com/,general,irn
vatanemrooz,http://www.vatanemrooz.ir/,general,irn
vista,https://vista.ir/,general,irn
voanews,https://ir.voanews.com/,general,irn
yjc,https://www.yjc.ir/,general,irn
