name,homeurl,domain,country
aamulehti,https://www.aamulehti.fi/,general,fin
aamuposti,https://www.aamuposti.fi/,general,fin
akaanseutu,https://akaanseutu.fi/,general,fin
alasatakunta,https://alasatakunta.fi/,general,fin
ampparit,https://www.ampparit.com/,general,fin
avl,https://www.avl.fi/,general,fin
demari,https://www.demari.fi/,general,fin
demokraatti,https://demokraatti.fi/,general,fin
elimaensanomat,http://www.elimaensanomat.fi/index.html,general,fin
epari,https://www.epari.fi/,general,fin
esaimaa,https://esaimaa.fi/,general,fin
ess,https://www.ess.fi/,general,fin
forssanlehti,https://www.forssanlehti.fi/,general,fin
freemagazine,http://www.freemagazine.fi/,general,fin
haapavesi_lehti,https://www.haapavesi-lehti.fi/,general,fin
hameensanomat,https://www.hameensanomat.fi/,general,fin
heinavedenlehti,https://www.heinavedenlehti.fi/,general,fin
helsinginuutiset,https://www.helsinginuutiset.fi/,general,fin
hs,https://www.hs.fi/,general,fin
iijokiseutu,https://www.iijokiseutu.fi/,general,fin
ilkka,https://www.ilkka.fi/,general,fin
ilmajoki_lehti,http://www.ilmajoki-lehti.fi/,general,fin
iltalehti,https://www.iltalehti.fi/,general,fin
is,https://www.is.fi/taloussanomat/,general,fin
is,https://www.is.fi/,general,fin
ita_savo,https://ita-savo.fi/,general,fin
itahame,https://www.itahame.fi/,general,fin
jamsanseutu,https://www.jamsanseutu.fi/,general,fin
jarviseudunsanomat,https://www.jarviseudunsanomat.fi/,general,fin
jarviseutu_lehti,https://www.jarviseutu-lehti.fi/,general,fin
joroistenlehti,https://www.joroistenlehti.fi/,general,fin
joutsenolehti,https://www.joutsenolehti.fi/,general,fin
jp_kunnallissanomat,http://www.jp-kunnallissanomat.fi/,general,fin
jurvansanomat,https://www.jurvansanomat.fi/,general,fin
juvanlehti,https://www.juvanlehti.fi/,general,fin
kaakonkulma,https://www.kaakonkulma.fi/,general,fin
kainuunsanomat,https://www.kainuunsanomat.fi/,general,fin
kalajokilaakso,https://www.kalajokilaakso.fi/,general,fin
kaleva,https://www.kaleva.fi/,general,fin
kangasalansanomat,https://kangasalansanomat.fi/,general,fin
kangasniemenlehti,https://www.kangasniemenlehti.fi/,general,fin
kankaanpaanseutu,https://www.kankaanpaanseutu.fi/etusivu,general,fin
kansantahto,https://www.kansantahto.fi/,general,fin
kansanuutiset,https://www.kansanuutiset.fi/,general,fin
karjala_lehti,https://www.karjala-lehti.fi/,general,fin
karjalainen,https://www.karjalainen.fi/,general,fin
kauppalehti,https://www.kauppalehti.fi/,general,fin
keski_hame,https://keski-hame.fi/,general,fin
keski_uusimaa,https://www.keski-uusimaa.fi/,general,fin
keskilaakso,https://www.keskilaakso.fi/,general,fin
keskipohjanmaa,https://www.keskipohjanmaa.fi/,general,fin
kiuruvesilehti,http://www.kiuruvesilehti.fi/,general,fin
kmvlehti,https://www.kmvlehti.fi/etusivu,general,fin
koillis_savo,https://www.koillis-savo.fi/,general,fin
koillissanomat,https://www.koillissanomat.fi/,general,fin
komiat,https://www.komiat.fi/,general,fin
koti_kajaani,https://www.koti-kajaani.fi/etusivu/,general,fin
kotimaa24,https://www.kotimaa24.fi/,general,fin
kotiseudunsanomat,https://kotiseudunsanomat.fi/,general,fin
kotiseutu_uutiset,http://kotiseutu-uutiset.com/,general,fin
kouvolansanomat,https://kouvolansanomat.fi/,general,fin
ksml,https://www.ksml.fi/,general,fin
ksml,https://www.ksml.fi/viitasaarenseutu/,general,fin
ksml,https://www.ksml.fi/hankasalmensanomat/,general,fin
kuhmoistensanomat,https://kuhmoistensanomat.fi/,general,fin
kuntsari,https://www.kuntsari.fi/,general,fin
kymensanomat,https://kymensanomat.fi/,general,fin
laitilansanomat,https://www.laitilansanomat.fi/uutiset/,general,fin
lansi_savo,https://lansi-savo.fi/,general,fin
lansi_uusimaa,https://www.lansi-uusimaa.fi/,general,fin
lansisaimaa,https://www.lansisaimaa.fi/,general,fin
lapinkansa,https://www.lapinkansa.fi/,general,fin
lappeenrannanuutiset,https://www.lappeenrannanuutiset.fi/,general,fin
lapuansanomat,https://www.lapuansanomat.fi/,general,fin
lauttakyla,https://www.lauttakyla.fi/,general,fin
lestijoki,https://www.lestijoki.fi/,general,fin
lieksanlehti,https://www.lieksanlehti.fi/,general,fin
loimaanlehti,https://www.loimaanlehti.fi/,general,fin
loviisansanomat,http://www.loviisansanomat.net/,general,fin
ls24,https://ls24.fi/raumalainen,general,fin
ls24,https://ls24.fi/,general,fin
luumaenlehti,https://www.luumaenlehti.fi/,general,fin
lvs,https://lvs.fi/,general,fin
maaseuduntulevaisuus,https://www.maaseuduntulevaisuus.fi/,general,fin
mantsalanuutiset,https://www.mantsalanuutiset.fi/,general,fin
mattijaliisa,https://www.mattijaliisa.fi/,general,fin
merikarvialehti,https://www.merikarvialehti.fi/etusivu,general,fin
miilu,https://www.miilu.fi/,general,fin
nivala_lehti,https://www.nivala-lehti.fi/,general,fin
nokianuutiset,https://www.nokianuutiset.fi/,general,fin
orimattilansanomat,http://www.orimattilansanomat.fi/,general,fin
orivedensanomat,https://www.orivedensanomat.fi/,general,fin
padasjoensanomat,http://www.padasjoensanomat.fi/,general,fin
paikallisuutiset,http://www.paikallisuutiset.fi/,general,fin
paivamies,https://www.paivamies.fi/,general,fin
parikkalan_rautjarvensanomat,https://www.parikkalan-rautjarvensanomat.fi/,general,fin
perhonjokilaakso,https://www.perhonjokilaakso.fi/,general,fin
pernionseudunlehti,http://www.pernionseudunlehti.fi/,general,fin
petajavesilehti,https://petajavesilehti.fi/,general,fin
pielavesi_keitele,https://www.pielavesi-keitele.fi/,general,fin
pielisjokiseutu,https://www.pielisjokiseutu.fi/,general,fin
pietarsaarensanomat,https://www.pietarsaarensanomat.fi/,general,fin
pirkkalainen,https://www.pirkkalainen.com/,general,fin
pitajalainen,https://www.pitajalainen.fi/,general,fin
pitajanuutiset,https://www.pitajanuutiset.fi/,general,fin
pogostansanomat,https://www.pogostansanomat.fi/,general,fin
pohjalainen,https://www.pohjalainen.fi/,general,fin
prsanomat,https://www.prsanomat.fi/,general,fin
punkalaitumensanomat,https://www.punkalaitumensanomat.fi/,general,fin
puruvesi,https://www.puruvesi.net/,general,fin
puumalalehti,http://www.puumalalehti.fi/,general,fin
pyhajarvensanomat,http://www.pyhajarvensanomat.fi/sivut/,general,fin
pyhajokiseutu,https://www.pyhajokiseutu.fi/,general,fin
raahenseutu,https://www.raahenseutu.fi/,general,fin
rannikkoseutu,https://www.rannikkoseutu.fi/,general,fin
rantalakeus,https://www.rantalakeus.fi/,general,fin
rantapohja,https://www.rantapohja.fi/,general,fin
ruovesi_lehti,https://www.ruovesi-lehti.fi/,general,fin
satakunnankansa,https://www.satakunnankansa.fi/,general,fin
satakunnanviikko,http://www.satakunnanviikko.fi/,general,fin
savonsanomat,https://www.savonsanomat.fi/,general,fin
savonsanomat,https://www.savonsanomat.fi/iisalmensanomat/,general,fin
seinajoensanomat,https://www.seinajoensanomat.fi/,general,fin
seiska,https://www.seiska.fi/,general,fin
sievilainenlehti,http://sievilainenlehti.fi/,general,fin
siikajokilaakso,https://www.siikajokilaakso.fi/,general,fin
sipoonsanomat,https://www.sipoonsanomat.fi/,general,fin
sisa_savolehti,https://www.sisa-savolehti.fi/,general,fin
soisalonseutu,https://www.soisalonseutu.fi/,general,fin
somerolehti,https://www.somerolehti.fi/,general,fin
sss,https://www.sss.fi/,general,fin
stara,https://www.stara.fi/,general,fin
suomenkuvalehti,https://suomenkuvalehti.fi/,general,fin
suomenmaa,https://www.suomenmaa.fi/,general,fin
