name,homeurl,domain,country
1jour1actu,https://www.1jour1actu.com/,general,fra
20min,https://www.20min.ch/ro/,general,che
20minutes,https://www.20minutes.fr/,general,fra
228actu,http://www.228actu.com/,general,tgo
237actu,https://237actu.com/,general,cmr
237cameroun,https://237cameroun.online/,general,cmr
237online,https://www.237online.com/,general,cmr
24haubenin,https://www.24haubenin.info/,general,ben
24heures,https://www.24heures.ch/,general,che
27avril,https://www.27avril.com/,general,tgo
5plus,https://www.5plus.mu/,general,mus
abamako,http://www.abamako.com/,general,mli
abangui,http://abangui.com/,general,caf
acotonou,http://www.acotonou.com/,general,ben
actu,https://actu.fr/l-informateur-d-eu/,general,fra
actu,https://actu.fr/voix-du-jura/,general,fra
actu_comores,https://www.actu-comores.com/,general,com
actubenin,http://actubenin.com/,general,ben
actucameroun,https://actucameroun.com/,general,cmr
actuguinee,https://actuguinee.org/,general,gin
actuniger,https://www.actuniger.com/,general,ner
actusen,https://actusen.sn/,general,sen
adakar,http://www.adakar.com/,general,sen
adi,http://www.adi.dj/,general,dji
afp,https://www.afp.com/,general,fra
afreepress,https://afreepress.info/,general,tgo
afribone,https://afribone.com/,general,mli
africaguinee,https://www.africaguinee.com/,general,gin
africanmanager,https://africanmanager.com/,general,tun
afrinews,http://afrinews.org/,general,gin
agencecamerounpresse,https://agencecamerounpresse.com/,general,cmr
agpgabon,http://www.agpgabon.ga/,general,gab
aib,https://www.aib.media/,general,bfa
airinfoagadez,https://airinfoagadez.com/,general,ner
alchourouk,http://www.alchourouk.com/,general,tun
alger_republicain,http://www.alger-republicain.com/,general,dza
algerie1,https://www.algerie1.com/,general,dza
algerie360,https://www.algerie360.com/,general,dza
algerie_dz,http://www.algerie-dz.com/,general,dza
algerie_eco,https://www.algerie-eco.com/,general,dza
algeriepartplus,https://algeriepartplus.com/,general,dza
algeriepatriotique,https://www.algeriepatriotique.com/,general,dza
alibreville,http://www.alibreville.com/,general,gab
alome,http://www.alome.com/,general,tgo
alpes_et_midi,https://www.alpes-et-midi.fr/,general,fra
alternativeniger,http://www.alternativeniger.net/,general,ner
alterpresse,http://www.alterpresse.org/,general,hti
alwatwan,http://www.alwatwan.net/,general,com
alwihdainfo,https://www.alwihdainfo.com/,general,tcd
amap,https://amap.ml/,general,mli
aminata,https://aminata.com/,general,gin
aniamey,http://www.news.aniamey.com/,general,ner
aouaga,http://www.aouaga.com/,general,bfa
aps,http://www.aps.sn/,general,sen
arcinfo,https://www.arcinfo.ch/,general,che
arib,http://www.arib.info/,general,bdi
aujourd8,https://www.aujourd8.net/,general,bfa
aujourdhui,http://aujourdhui.ma/,general,mar
aujourdhui_en_guinee,http://www.aujourdhui-en-guinee.com/,general,gin
avesnois,http://www.avesnois.com/,general,fra
bamada,http://bamada.net/,general,mli
benininfo,https://www.benininfo.com/,general,ben
beninplus,https://www.beninplus.com/,general,ben
beninsite,http://beninsite.net/,general,ben
benintimes,https://www.benintimes.info/,general,ben
bfmtv,https://rmc.bfmtv.com/,general,mco
bienpublic,https://www.bienpublic.com/,general,fra
bladi,https://www.bladi.net/,general,mar
bonaberi,https://www.bonaberi.com/,general,cmr
bonjourdakar,https://www.bonjourdakar.com/,general,sen
boursorama,https://www.boursorama.com/,general,fra
burkina24,https://www.burkina24.com/,general,bfa
burkinainfo,https://www.burkinainfo.com/,general,bfa
burundi_agnews,http://burundi-agnews.org/,general,bdi
burundi_forum,https://www.burundi-forum.org/,general,bdi
burundi_information,https://www.burundi-information.net/index.html,general,bdi
