name,homeurl,domain,country
4guj,http://4guj.com/,general,ind
4masti,http://4masti.com/,general,ind
aajkaaldaily,https://www.aajkaaldaily.com/,general,ind
aapdujunagadh,https://aapdujunagadh.com,general,ind
aaspassindia,http://www.aaspassindia.com/index.aspx,general,ind
abhiyaanmagazine,https://abhiyaanmagazine.com/,general,ind
abplive,https://gujarati.abplive.com/,general,ind
abtakmedia,http://abtakmedia.com/,general,ind
ahemdabadexpress,https://ahmedabadexpress.co.in/,general,ind
akhandnews,https://akhandnews.in/,general,ind
akilanews,https://www.akilanews.com/,general,ind
aksharnaad,https://www.aksharnaad.com,general,ind
amreliexpress,https://amreliexpress.com/,general,ind
approby,https://gu.approby.com/,general,ind
ashadeepnews,http://ashadeepnews.com,general,ind
atalsamachar,https://atalsamachar.com/,general,ind
atomiyme,https://gu.atomiyme.com/,general,ind
atthistime,http://atthistime.in/,general,ind
babapuji,https://babapuji.com/,general,ind
bbc,https://www.bbc.com/gujarati,general,ind
boldsky,https://gujarati.boldsky.com/,general,ind
bilkulonline,http://www.bilkulonline.com/,general,ind
blogspot,http://indiaspirituality.blogspot.com/,general,ind
bolegujarat,https://www.bolegujarat.in/,general,ind
bombaysamachar,http://www.bombaysamachar.com/,general,ind
brictly,https://gu.brictly.com/,general,ind
chalized,https://gu.chalized.com/,general,ind
chanchal,http://chanchal.co/,general,ind
charotarsandesh,https://www.charotarsandesh.com/,general,ind
chitralekha,https://chitralekha.com/,general,ind
cocktailzindagi,https://guj.cocktailzindagi.com/,general,ind
criclove,https://www.cricklove.com/,general,ind
cybersafar,https://cybersafar.com/,general,ind
dainikgujarat,https://www.dainikgujarat.com/,general,ind
ddnewsgujarati,http://ddnewsgujarati.com/,general,ind
delachieve,https://gu.delachieve.com,general,ind
dhabkar,http://www.dhabkar.in/,general,ind
digitalallnews,https://www.digitalallnews.com/,general,ind
divyabhaskar,https://www.divyabhaskar.co.in/,general,ind
eaglenews,https://eaglenews.in/,general,ind
eferrrit,https://gu.eferrit.com/,general,ind
egujarati,http://egujarati.com/,general,ind
factcrescendo,https://gujarati.factcrescendo.com/,general,ind
faktgujarati,http://www.faktgujarati.com/,general,ind
fearlessvoice,https://fearlessvoice.in/,general,ind
feelingsmultimedia,https://www.feelingsmultimedia.com/,general,ind
flownews,https://flow-news.com/,general,ind
funngyan,http://funngyan.com,general,ind
garvitakat,https://garvitakat.com/,general,ind
gizbot,https://gujarati.gizbot.com/,general,ind
gnsnews,https://gujarati.gnsnews.co.in/,general,ind
goras,https://goras.org/,general,ind
gjnews,https://gjnews.in/,general,ind
gstv,https://www.gstv.in/,general,ind
gujarat,https://www.gujarat.co.uk/,general,ind
gujarat24,https://www.gujarat24.in/,general,ind
gujaratabroad,http://www.gujaratabroad.ca/,general,ind
gujaratdarpan,http://gujaratdarpan.com/,general,ind
gujaratexclusive,https://gujaratexclusive.in/,general,ind
gujaratguardian,http://www.gujaratguardian.in/,general,ind
gujaratijamavat,https://gujaratijamavat.com/,general,ind
gujaratilekh,https://gujaratilekh.com/,general,ind
gujaratimidday,https://www.gujaratimidday.com/,general,ind
gujaratindia,https://gujaratindia.gov.in/,general,ind
gujaratinside,https://www.gujaratinside.com/,general,ind
gujaratiparivaro,http://mojemastram.gujaratiparivaro.com,general,ind
gujaratirecipes,http://www.gujaratirecipes.in/,general,ind
gujaratmirror,https://gujaratmirror.in/,general,ind
gujaratmitra,http://www.gujaratmitra.in/,general,ind
gujaratmitra2,https://gujaratmitra.co.in/,general,ind
gujaratsamachar,https://www.gujaratsamachar.com/,general,ind
gujarat_samachar,https://www.gujarat-samachar.com/,general,ind
gujarattimesusa,http://gujarattimesusa.com/,general,ind
gujarattoday,http://www.gujarattoday.in/,general,ind
gujjubaba,https://gujjubaba.com/,general,ind
gujjuben,https://gujjuben.com/,general,ind
gujjudhamal,https://gujjudhamal.com/,general,ind
gujjukathiyavadi,https://gujjukathiyavadi.com/,general,ind
gujjurocks,https://gujjurocks.in/,general,ind
gujjutech,http://gujjutech.in,general,ind
gujmom,http://www.gujmom.com/,general,ind
hugujarati,https://hugujarati.in/,general,ind
iamgujarat,https://www.iamgujarat.com/,general,ind
ihex,https://www.ihex.co.in,general,ind
india,https://zeenews.india.com/gujarati,general,ind
indiatimes,http://gujarati.economictimes.indiatimes.com/,general,ind
insterne,https://gu.insterne.com/,general,ind
jaihinddaily,http://jaihinddaily.in/,general,ind
jaihindnewspaper,http://www.jaihindnewspaper.com/,general,ind
jalsakaro,http://jalsakaro.in/,general,ind
janmabhoominewspapers,https://www.janmabhoominewspapers.com/,general,ind
janmanindia,https://janmanindia.com/,general,ind
jentilal,https://www.jentilal.com/,general,ind
kaptaan,https://kaptaan.co.in/,general,ind
khabarchhe,https://khabarchhe.com/,general,ind
khabargujarat,https://khabargujarat.com/,general,ind
khedut,https://news.khedut.club/,general,ind
kutchkhabar,http://www.kutchkhabar.com,general,ind
