name,homeurl,domain,country
calcalist,https://www.calcalist.co.il/,general,isr
debka,https://www.debka.co.il/,general,isr
epoch,https://epoch.org.il/,general,isr
globes,https://www.globes.co.il/,general,isr
google,https://news.google.com/?hl=he&gl=IL&ceid=IL:he,general,isr
haaretz,https://www.haaretz.co.il/,general,isr
inn,https://www.inn.co.il/Besheva/,general,isr
isramedia,https://www.isramedia.net/,general,isr
maariv,https://www.maariv.co.il/,general,isr
megdalor,https://www.megdalor.com/,general,isr
msn,https://www.msn.com/he-il,general,isr
rotter,https://rotter.net/,general,isr
themarker,https://www.themarker.com/,general,isr
walla,https://www.walla.co.il/,general,isr
yedhaifa,https://www.yedhaifa.co.il/,general,isr
ynet,https://www.ynet.co.il/,general,isr
