name,homeurl,domain,country
aajkaanandpapers,http://www.aajkaanandpapers.com/,general,ind
aapkikhabar,https://aapkikhabar.com/,general,ind
abplive,https://www.abplive.com/,general,ind
agniban,http://www.agniban.com/,general,ind
agrasamachar,http://www.agrasamachar.com/,general,ind
alivenews,http://www.alivenews.co.in/,general,ind
amarujala,https://www.amarujala.com/,general,ind
apnlive,https://hindi.apnlive.com/,general,ind
asianetnews,https://hindi.asianetnews.com/,general,ind
aviralsamachar,https://aviralsamachar.com/,general,ind
bbc,https://www.bbc.com/hindi,general,ind
bhadas4media,https://www.bhadas4media.com/,general,ind
bharatkhabar,https://www.bharatkhabar.com/,general,ind
bhaskar,https://www.bhaskar.com/,general,ind
bhaskarhindi,https://www.bhaskarhindi.com/,general,ind
bhopalsamachar,https://www.bhopalsamachar.com,general,ind
business-standard,https://hindi.business-standard.com/,general,ind
catchnews,http://hindi.catchnews.com/,general,ind
chauthiduniya,https://www.chauthiduniya.com/,general,ind
dabangdunia,http://dabangdunia.co/,general,ind
dailychhattisgarh,https://dailychhattisgarh.com/,general,ind
dailyhindinews,https://www.dailyhindinews.com/,general,ind
dailynewsactivist,http://www.dailynewsactivist.com/,general,ind
dainikchaitanyalok,http://dainikchaitanyalok.com/,general,ind
dainikpurvoday,http://www.dainikpurvoday.com/,general,ind
dainiksandhyaprakash,http://dainiksandhyaprakash.com/,general,ind
dainiksaveratimes,https://www.dainiksaveratimes.com/,general,ind
dainiktribuneonline,https://www.dainiktribuneonline.com/,general,ind
dandakaranyasamachar,http://www.dandakaranyasamachar.com/,general,ind
dastaknews,http://www.dastaknews.com/,general,ind
deshbandhu,http://www.deshbandhu.co.in/,general,ind
deshdoot,https://www.deshdoot.com/,general,ind
digitaledition,https://deshonnati.digitaledition.in/,general,ind
divyahimachal,https://www.divyahimachal.com/,general,ind
dudhwalive,https://www.dudhwalive.com/,general,ind
dunvalleymail,http://dunvalleymail.com/,general,ind
dw,https://www.dw.com/hi/%E0%A4%96%E0%A4%AC%E0%A4%B0%E0%A5%87%E0%A4%82/s-11931,general,ind
emalwa,http://emalwa.com/,general,ind
emsindia,https://emsindia.com/,general,ind
emstv,https://emstv.in/,general,ind
enavbharat,https://www.enavabharat.com/,general,ind
epaperlokmat,http://epaperlokmat.in/lokmatsamachar/,general,ind
epatrakar,http://epatrakar.com/,general,ind
garjachhattisgarhnews,https://garjachhattisgarhnews.com/,general,ind
ghamasan,https://ghamasan.com/,general,ind
glpublications,http://pp.glpublications.in/,general,ind
google,https://news.google.com/?hl=hi&gl=IN&ceid=IN:hi,general,ind
hamaramahanagar,https://www.hamaramahanagar.in/,general,ind
