name,homeurl,domain,country
034portal,https://www.034portal.hr/,general,hrv
057info,http://www.057info.hr/,general,hrv
100posto,https://100posto.hr/,general,hrv
1klik,https://1klik.hr/,general,hrv
24sata,https://www.24sata.hr/,general,hrv
24sata,http://24sata.info/,general,bih
akta,http://www.akta.ba/,general,bih
avaz,https://avaz.ba/,general,bih
bh_index,https://www.bh-index.info/,general,bih
bljesak,https://www.bljesak.info/,general,bih
bosnjaci,http://bosnjaci.net/,general,bih
dalmacijanews,http://www.dalmacijanews.hr/,general,hrv
dalmatinskiportal,http://dalmatinskiportal.hr/,general,hrv
direktno,https://direktno.hr/,general,hrv
dnevni_list,https://www.dnevni-list.ba/,general,bih
dnevnik,https://dnevnik.hr/,general,hrv
dnevnik,https://www.dnevnik.ba/,general,bih
dnevno,https://www.dnevno.hr/,general,hrv
doznajemo,https://www.doznajemo.com/,general,bih
dubrovnikportal,http://www.dubrovnikportal.com/,general,hrv
ekapija,https://ba.ekapija.com/,general,bih
faktor,https://faktor.ba/,general,bih
fena,http://fena.ba/,general,bih
fokus,https://www.fokus.ba/,general,bih
glas_koncila,https://www.glas-koncila.hr/,general,hrv
glas_slavonije,http://www.glas-slavonije.hr/,general,hrv
haber,https://www.haber.ba/,general,bih
hercegovina,https://www.hercegovina.info/,general,bih
hrt,https://www.hrt.hr/,general,hrv
index,https://www.index.hr/,general,hrv
jutarnji,https://sportske.jutarnji.hr/,general,hrv
jutarnji,https://www.jutarnji.hr/,general,hrv
krajina,https://www.krajina.ba/,general,bih
krizevci,https://www.krizevci.info/,general,hrv
krupljani,https://krupljani.ba/,general,bih
lika_online,https://www.lika-online.com/,general,hrv
livno_online,https://www.livno-online.com/,general,bih
lokalnahrvatska,http://lokalnahrvatska.hr/,general,hrv
magazin,https://magazin.ba/,general,bih
metro_portal,http://metro-portal.hr/,general,hrv
mojusk,http://mojusk.ba/,general,bih
mondo,http://mondo.ba/,general,bih
monitor,https://www.monitor.hr/,general,hrv
narod,https://narod.hr/,general,hrv
narodni_list,http://www.narodni-list.hr/,general,hrv
nasarijec,http://www.nasarijec.ba/,general,bih
nezavisne,https://www.nezavisne.com/,general,bih
nn,https://www.nn.hr/,general,hrv
novilist,http://www.novilist.hr/Vijesti,general,hrv
onasa,http://www.onasa.com.ba/,general,bih
osijek031,http://www.osijek031.com/,general,hrv
oslobodjenje,https://www.oslobodjenje.ba/,general,bih
podravski,https://podravski.hr/,general,hrv
poskok,https://poskok.info/,general,bih
poslovni,http://www.poslovni.hr/,general,hrv
radioljubuski,http://www.radioljubuski.ba/,general,bih
regionalni,https://regionalni.com/,general,hrv
rijekadanas,https://www.rijekadanas.com/,general,hrv
rtl,https://sportnet.rtl.hr/,general,hrv
rtl,https://www.rtl.hr/,general,hrv
samoborskiglasnik,http://www.samoborskiglasnik.net/,general,hrv
scena,https://www.scena.hr/,general,hrv
slobodna_bosna,https://www.slobodna-bosna.ba/,general,bih
slobodnadalmacija,https://www.slobodnadalmacija.hr/,general,hrv
source,http://source.ba/,general,bih
telegram,https://www.telegram.hr/,general,hrv
tportal,https://www.tportal.hr/,general,hrv
varazdinske_vijesti,https://www.varazdinske-vijesti.hr/,general,hrv
vecernji,https://www.vecernji.hr/,general,hrv
vecernji,https://www.vecernji.ba/,general,bih
vijesti,https://vijesti.ba/,general,bih
vijesti_x,https://www.vijesti-x.com/,general,bih
zadarskilist,https://www.zadarskilist.hr/,general,hrv
zagreb,https://www.zagreb.info/,general,hrv
zenicablog,https://www.zenicablog.com/,general,bih
zurnal,https://zurnal.info/,general,bih
