name,homeurl,domain,country
168ora,https://168ora.hu/,general,hun
24,https://24.hu/fn/,general,hun
444,https://444.hu/,general,hun
888,https://888.hu/,general,hun
alfahir,https://alfahir.hu/,general,hun
americanhungarianjournal,http://americanhungarianjournal.com/,general,hun
atv,http://www.atv.hu/,general,hun
blikk,https://www.blikk.hu/,general,hun
boon,https://boon.hu/,general,hun
borsonline,http://www.borsonline.hu/,general,hun
cafeblog,https://cafeblog.hu/,general,hun
delmagyar,https://www.delmagyar.hu/,general,hun
dunaujvaros,https://dunaujvaros.com/,general,hun
duol,https://www.duol.hu/,general,hun
eletestudomany,http://www.eletestudomany.hu/,general,hun
es,https://www.es.hu/,general,hun
feol,https://www.feol.hu/,general,hun
haon,https://haon.hu/,general,hun
hetek,http://www.hetek.hu/,general,hun
hirado,https://www.hirado.hu/,general,hun
hirkereso,https://www.hirkereso.hu/,general,hun
hvg,https://hvg.hu/,general,hun
index,https://index.hu/,general,hun
infomiskolc,https://www.infomiskolc.hu/,general,hun
kisalfold,https://www.kisalfold.hu/,general,hun
magyarforum,http://magyarforum.hu/,general,hun
magyarhirlap,https://www.magyarhirlap.hu/,general,hun
magyaridok,https://www.magyaridok.hu/,general,hun
magyarnemzet,https://magyarnemzet.hu/,general,hun
magyartokepiac,http://www.magyartokepiac.hu/kozzetetelek,general,hun
mainap,http://www.mainap.hu/,general,hun
mandiner,https://mandiner.hu/,general,hun
napi,https://www.napi.hu/,general,hun
nemzetisport,http://www.nemzetisport.hu/,general,hun
nethirlap,http://www.nethirlap.hu/,general,hun
nograd24,http://www.nograd24.hu/,general,hun
nol,http://nol.hu/,general,hun
origo,https://www.origo.hu/index.html,general,hun
pecsinapilap,http://www.pecsinapilap.hu/,general,hun
pecsiujsag,https://www.pecsiujsag.hu/,general,hun
pedagogusok,https://pedagogusok.hu/,general,hun
pestisracok,https://pestisracok.hu/,general,hun
portfolio,https://www.portfolio.hu/,general,hun
propeller,http://propeller.hu/,general,hun
szabadfold,https://szabadfold.hu/,general,hun
szeretlekmagyarorszag,https://www.szeretlekmagyarorszag.hu/,general,hun
szon,https://szon.hu/,general,hun
ujszo,https://ujszo.com/,general,hun
valasz,http://valasz.hu/,general,hun
vaol,https://www.vaol.hu/,general,hun
velvet,https://velvet.hu/,general,hun
vg,https://www.vg.hu/,general,hun
zaol,https://www.zaol.hu/,general,hun
