name,homeurl,domain,country
168,https://en.168.am/,general,arm
alikonline,https://alikonline.ir/,general,arm
aravot,https://www.aravot.am/,general,arm
armeniasputnik,https://armeniasputnik.am/,general,arm
armlur,https://armlur.am/,general,arm
asekose,http://asekose.am/,general,arm
avangard,http://www.avangard.am/,general,arm
azator,http://azator.gr/,general,arm
azatutyun,https://www.azatutyun.am/,general,arm
azg,https://www.azg.am/,general,arm
aztagdaily,http://www.aztagdaily.com/,general,arm
b24,https://b24.am/,general,arm
champord,https://champord.am/,general,arm
hairenikweekly,https://hairenikweekly.com/,general,arm
hraparak,https://hraparak.am/,general,arm
info24,https://www.info24.am/,general,arm
iravaban,https://iravaban.net/,general,arm
iravunk,https://www.iravunk.com/,general,arm
lragir,https://www.lragir.am/,general,arm
lurer,https://lurer.com/,general,arm
operativ,https://operativ.am/,general,arm
orer,https://orer.am/,general,arm
panorama,https://www.panorama.am/am/,general,arm
shabat,https://shabat.am/,general,arm
shamshyan,https://shamshyan.com/hy/,general,arm
slaq,http://www.slaq.am/,general,arm
syuniacyerkir,https://syuniacyerkir.am/,general,arm
yelaket,https://yelaket.am/,general,arm
yerkir,http://www.yerkir.am/,general,arm
yn,https://yn.am/,general,arm
