name,homeurl,domain,country
analisadaily,http://analisadaily.com/,general,idn
astaga,http://www.astaga.com/,general,idn
balipost,https://www.balipost.com/,general,idn
bengkuluekspress,https://bengkuluekspress.com/,general,idn
beritajakarta,https://www.beritajakarta.id/,general,idn
beritasatu,https://www.beritasatu.com/,general,idn
bernas,https://www.bernas.id/,general,idn
bisnis,https://www.bisnis.com/,general,idn
buset_online,https://buset-online.com/,general,idn
detik,https://www.detik.com/,general,idn
fajar,https://fajar.co.id/,general,idn
haluan,https://kepri.haluan.co/,general,idn
harianhaluan,https://www.harianhaluan.com/,general,idn
harianjogja,https://www.harianjogja.com/,general,idn
hariansinggalang,https://hariansinggalang.co.id/,general,idn
hidayatullah,https://www.hidayatullah.com/,general,idn
inilah,https://www.inilah.com/,general,idn
jawapos,https://www.jawapos.com/,general,idn
jawapos,https://riaupos.jawapos.com/,general,idn
jpnn,https://www.jpnn.com/,general,idn
jurnas,http://www.jurnas.com/,general,idn
kabarindonesia,http://www.kabarindonesia.com/,general,idn
kendaripos,https://kendaripos.co.id/,general,idn
kompas,https://www.kompas.com/,general,idn
kompasiana,https://www.kompasiana.com/,general,idn
koran_jakarta,https://koran-jakarta.com/,general,idn
krjogja,https://www.krjogja.com/,general,idn
liputan6,https://www.liputan6.com/,general,idn
mediaindonesia,https://mediaindonesia.com/,general,idn
merdeka,https://www.merdeka.com/,general,idn
metrotvnews,https://www.metrotvnews.com/,general,idn
online24jam,https://online24jam.com/,general,idn
palpos,https://palpos.id/,general,idn
pikiran_rakyat,https://www.pikiran-rakyat.com/,general,idn
prokal,https://www.prokal.co/,general,idn
radarbanten,https://www.radarbanten.co.id/,general,idn
radarbogor,https://www.radarbogor.id/,general,idn
radarsemarang,https://radarsemarang.com/,general,idn
republika,https://www.republika.co.id/,general,idn
sindonews,https://www.sindonews.com/,general,idn
solopos,https://www.solopos.com/,general,idn
suara,https://www.suara.com/,general,idn
suaramerdeka,https://www.suaramerdeka.com/,general,idn
tempo,https://www.tempo.co/,general,idn
tempo,https://koran.tempo.co/,general,idn
tribunnews,https://surabaya.tribunnews.com/,general,idn
tribunnews,https://wartakota.tribunnews.com/,general,idn
tribunnews,https://www.tribunnews.com/,general,idn
viva,https://www.viva.co.id/,general,idn
waspada,https://waspada.co.id/,general,idn
yahoo,https://id.yahoo.com/,general,idn
