name,homeurl,domain,country
austurfrett,https://www.austurfrett.is/,general,isl
bb,http://www.bb.is/,general,isl
dv,https://www.dv.is/,general,isl
dv,https://pressan.dv.is/,general,isl
eyjafrettir,https://eyjafrettir.is/,general,isl
eyjar,http://eyjar.net/,general,isl
feykir,https://www.feykir.is/,general,isl
huni,https://www.huni.is/,general,isl
kopavogsbladid,https://www.kopavogsbladid.is/,general,isl
mbl,https://www.mbl.is/frettir/,general,isl
skessuhorn,http://skessuhorn.is/,general,isl
sunnlenska,https://www.sunnlenska.is/,general,isl
touristguide,https://www.touristguide.is/,general,isl
vb,http://www.vb.is/,general,isl
vf,http://www.vf.is/,general,isl
vikudagur,https://www.vikudagur.is/,general,isl
visir,http://www.visir.is/,general,isl
