name,homeurl,domain,country
adnkronos,https://www.adnkronos.com/,general,ita
affaritaliani,https://www.affaritaliani.it/,general,ita
albengacorsara,https://www.albengacorsara.it/,general,ita
alessandria7,http://www.alessandria7.it/,general,ita
ansa,https://www.ansa.it/,general,ita
aostaoggi,https://www.aostaoggi.it/,general,ita
avantionline,http://www.avantionline.it/,general,ita
avvenire,https://www.avvenire.it/,general,ita
beppegrillo,https://www.beppegrillo.it/,general,ita
bresciaoggi,https://www.bresciaoggi.it/,general,ita
cdt,https://www.cdt.ch/,general,che
corr,https://www.corr.it/,general,ita
corriere,https://www.corriere.it/,general,ita
corriereadriatico,https://www.corriereadriatico.it/,general,ita
corrieredellosport,https://www.corrieredellosport.it/,general,ita
corrieredicomo,https://www.corrieredicomo.it/,general,ita
corriereirpinia,https://www.corriereirpinia.it/,general,ita
corriereromagna,https://www.corriereromagna.it/,general,ita
dagospia,https://www.dagospia.com/,general,ita
diariodelweb,https://www.diariodelweb.it/,general,ita
ecodibergamo,https://www.ecodibergamo.it/,general,ita
fanpage,https://www.fanpage.it/,general,ita
firenzetoday,http://www.firenzetoday.it/,general,ita
gamberorosso,https://www.gamberorosso.it/,general,ita
gazzetta,https://www.gazzetta.it/,general,ita
gazzettadelsud,https://gazzettadelsud.it/,general,ita
gazzettadiparma,https://www.gazzettadiparma.it/,general,ita
gds,https://gds.it/,general,ita
gelocal,https://ilpiccolo.gelocal.it/trieste,general,ita
gelocal,https://iltirreno.gelocal.it/,general,ita
gelocal,https://messaggeroveneto.gelocal.it/udine,general,ita
gelocal,https://tribunatreviso.gelocal.it/treviso,general,ita
gelocal,https://gazzettadireggio.gelocal.it/reggio,general,ita
gelocal,https://laprovinciapavese.gelocal.it/pavia,general,ita
gelocal,https://gazzettadimantova.gelocal.it/mantova,general,ita
gelocal,https://gazzettadimodena.gelocal.it/modena,general,ita
gelocal,https://lanuovaferrara.gelocal.it/ferrara,general,ita
gelocal,https://nuovavenezia.gelocal.it/venezia,general,ita
gelocal,https://mattinopadova.gelocal.it/padova,general,ita
gelocal,https://lasentinella.gelocal.it/ivrea,general,ita
gelocal,https://corrierealpi.gelocal.it/belluno,general,ita
giornaledibrescia,https://www.giornaledibrescia.it/,general,ita
huffingtonpost,https://www.huffingtonpost.it/,general,ita
ilcentro,https://www.ilcentro.it/,general,ita
ilcittadino,https://www.ilcittadino.it/,general,ita
ildenaro,https://www.ildenaro.it/,general,ita
ildispariquotidiano,https://www.ildispariquotidiano.it/it/,general,ita
ilfattoquotidiano,https://www.ilfattoquotidiano.it/,general,ita
ilfoglio,https://www.ilfoglio.it/,general,ita
ilfriuli,https://www.ilfriuli.it/,general,ita
ilgazzettino,https://www.ilgazzettino.it/,general,ita
ilgiornale,https://www.ilgiornale.it/,general,ita
ilgiornaledivicenza,https://www.ilgiornaledivicenza.it/,general,ita
ilgiorno,https://www.ilgiorno.it/,general,ita
ilgrigioneitaliano,https://www.ilgrigioneitaliano.ch/,general,che
ilmanifesto,https://ilmanifesto.it/,general,ita
ilmattino,https://www.ilmattino.it/,general,ita
ilmessaggero,https://www.ilmessaggero.it/,general,ita
ilpost,https://www.ilpost.it/,general,ita
ilrestodelcarlino,https://www.ilrestodelcarlino.it/,general,ita
ilroma,https://www.ilroma.net/,general,ita
ilsecoloxix,https://www.ilsecoloxix.it/,general,ita
ilsole24ore,https://www.ilsole24ore.com/,general,ita
ilsussidiario,https://www.ilsussidiario.net/,general,ita
iltempo,https://www.iltempo.it/,general,ita
indipendenteonline,http://www.indipendenteonline.it/,general,ita
internazionale,https://www.internazionale.it/,general,ita
italiaoggi,https://www.italiaoggi.it/,general,ita
italynews,http://www.italynews.it/,general,ita
lacittadisalerno,https://www.lacittadisalerno.it/,general,ita
ladige,https://www.ladige.it/,general,ita
lagazzettadelmezzogiorno,https://www.lagazzettadelmezzogiorno.it/,general,ita
lanazione,https://www.lanazione.it/,general,ita
lanuovasardegna,https://www.lanuovasardegna.it/,general,ita
laprovinciacr,https://www.laprovinciacr.it/,general,ita
laprovinciadicomo,https://www.laprovinciadicomo.it/,general,ita
laprovinciadisondrio,https://www.laprovinciadisondrio.it/,general,ita
laregione,https://www.laregione.ch/,general,che
larena,https://www.larena.it/,general,ita
lasicilia,https://www.lasicilia.it/,general,ita
lastampa,https://www.lastampa.it/,general,ita
laverita,https://www.laverita.info/,general,ita
legginotizie,http://www.legginotizie.com/,general,ita
leggo,https://www.leggo.it/,general,ita
leonardo,https://www.leonardo.it/,general,ita
liberoquotidiano,https://www.liberoquotidiano.it/,general,ita
liberta,https://www.liberta.it/,general,ita
metronews,http://www.metronews.it/,general,ita
milannews,https://www.milannews.it/,general,ita
milanofinanza,https://www.milanofinanza.it/,general,ita
napoli,http://www.napoli.com/,general,ita
napolitoday,http://www.napolitoday.it/,general,ita
netweek,http://lavallee.netweek.it/,general,ita
notizie,https://www.notizie.it/,general,ita
notiziegeopolitiche,https://www.notiziegeopolitiche.net/,general,ita
nove,https://www.nove.firenze.it/,general,ita
opinione,http://www.opinione.it/,general,ita
padovaoggi,http://www.padovaoggi.it/,general,ita
panorama,https://www.panorama.it/,general,ita
primadituttomantova,https://primadituttomantova.it/,general,ita
punto_informatico,https://www.punto-informatico.it/,general,ita
qds,https://qds.it/,general,ita
quotidiano,https://www.quotidiano.net/,general,ita
quotidianodipuglia,https://www.quotidianodipuglia.it/,general,ita
rainews,http://www.rainews.it/,general,ita
reporterspress,https://reporterspress.it/,general,ita
repubblica,https://www.repubblica.it/,general,ita
romagnaoggi,http://www.romagnaoggi.it/,general,ita
romanotizie24,https://romanotizie24.it/,general,ita
romatoday,http://www.romatoday.it/,general,ita
sicilianews24,https://sicilianews24.it/,general,ita
tempi,https://www.tempi.it/,general,ita
ticinonews,https://www.ticinonews.ch/,general,che
tio,https://www.tio.ch/,general,che
tiscali,https://www.tiscali.it/,general,ita
today,http://www.today.it/,general,ita
trevisotoday,http://www.trevisotoday.it/,general,ita
tuttosport,https://www.tuttosport.com/,general,ita
unionesarda,https://www.unionesarda.it/,general,ita
unita,http://www.unita.it/,general,ita
varesenews,https://www.varesenews.it/,general,ita
veronaoggi,http://www.veronaoggi.it/,general,ita
vicenzatoday,http://www.vicenzatoday.it/,general,ita
vita,http://www.vita.it/it/,general,ita
wallstreetitalia,https://www.wallstreetitalia.com/,general,ita
www,https://www.altoadige.it/,general,ita
