name,homeurl,domain,country
47news,https://www.47news.jp/,general,jpn
afpbb,https://www.afpbb.com/,general,jpn
agora_web,http://agora-web.jp/,general,jpn
aokei,http://www.aokei.co.jp/c/,general,jpn
at_s,https://www.at-s.com/,general,jpn
bonichi,http://www.bonichi.com/,general,jpn
chibanippo,http://www.chibanippo.co.jp/,general,jpn
chosyu_journal,https://www.chosyu-journal.jp/,general,jpn
chugainippoh,https://www.chugainippoh.co.jp/,general,jpn
chugoku_np,https://www.chugoku-np.co.jp/,general,jpn
chukei_news,https://www.chukei-news.co.jp/,general,jpn
chunichi,https://www.chunichi.co.jp/,general,jpn
cnn,https://www.cnn.co.jp/,general,jpn
dailysunny,https://www.dailysunny.com/,general,jpn
ehime_np,https://www.ehime-np.co.jp/,general,jpn
ejapion,https://www.ejapion.com/,general,jpn
fpcj,https://fpcj.jp/,general,jpn
fukuishimbun,https://www.fukuishimbun.co.jp/,general,jpn
gunkei,http://www.gunkei.com/,general,jpn
hakoshin,https://digital.hakoshin.jp/,general,jpn
hamusoku,http://hamusoku.com/,general,jpn
higashiaichi,http://www.higashiaichi.co.jp/,general,jpn
hitoyoshi_sharepla,https://hitoyoshi-sharepla.com/,general,jpn
hochi,https://www.hochi.co.jp/,general,jpn
hokkaido_np,https://www.hokkaido-np.co.jp/,general,jpn
hokuroku,http://www.hokuroku.co.jp/,general,jpn
iwate_np,https://www.iwate-np.co.jp/,general,jpn
iza,http://www.iza.ne.jp/,general,jpn
j_cast,https://www.j-cast.com/,general,jpn
japanmetal,https://www.japanmetal.com/,general,jpn
jiji,https://www.jiji.com/,general,jpn
jomo_news,https://www.jomo-news.co.jp/,general,jpn
kankokeizai,https://www.kankokeizai.com/,general,jpn
kobe_np,https://www.kobe-np.co.jp/,general,jpn
kochinews,https://www.kochinews.co.jp/,general,jpn
kumanichi,https://kumanichi.com/,general,jpn
kyobun,https://www.kyobun.co.jp/,general,jpn
mainichi,http://mainichi.jp/english/,general,jpn
minpo,https://www.minpo.jp/,general,jpn
nagano_np,http://www.nagano-np.co.jp/,general,jpn
nayoro_np,http://www.nayoro-np.com/,general,jpn
nca,https://www.nca.or.jp/shinbun/,general,jpn
news_postseven,https://www.news-postseven.com/,general,jpn
nikkan,https://www.nikkan.co.jp/,general,jpn
nikkan_gendai,https://www.nikkan-gendai.com/,general,jpn
nikkansan,https://nikkansan.net/,general,jpn
nikkansports,https://www.nikkansports.com/,general,jpn
nikkei,https://www.nikkei.com/,general,jpn
nishinippon,https://www.nishinippon.co.jp/,general,jpn
okinawatimes,https://www.okinawatimes.co.jp/,general,jpn
recordchina,https://www.recordchina.co.jp/,general,jpn
ryoko_net,http://www.ryoko-net.co.jp/,general,jpn
ryoutan,https://www.ryoutan.co.jp/,general,jpn
ryukyushimpo,https://ryukyushimpo.jp/,general,jpn
saga_s,https://www.saga-s.co.jp/,general,jpn
sakigake,https://www.sakigake.jp/,general,jpn
sankei,https://www.sankei.com/,general,jpn
sanrikushimpo,http://sanrikushimpo.co.jp/,general,jpn
seikyoonline,https://www.seikyoonline.com/,general,jpn
shikoku_np,http://www.shikoku-np.co.jp/,general,jpn
shimanenichinichi,https://www.shimanenichinichi.co.jp/,general,jpn
shimotsuke,https://www.shimotsuke.co.jp/,general,jpn
shinmai,https://www.shinmai.co.jp/,general,jpn
sponichi,https://www.sponichi.co.jp/,general,jpn
suisan,http://suisan.jp/,general,jpn
sunday_yamaguchi,http://www.sunday-yamaguchi.co.jp/,general,jpn
tanba,https://tanba.jp/,general,jpn
tankonews,http://www.tankonews.jp/,general,jpn
todaishimbun,https://www.todaishimbun.org/,general,jpn
tokyo_np,https://www.tokyo-np.co.jp/,general,jpn
tokyo_sports,https://www.tokyo-sports.co.jp/,general,jpn
tomamin,https://www.tomamin.co.jp/,general,jpn
tonichi,https://www.tonichi.net/,general,jpn
toonippo,https://www.toonippo.co.jp/,general,jpn
weeklybcn,https://www.weeklybcn.com/,general,jpn
yomiuri,https://www.yomiuri.co.jp/,general,jpn
zakzak,https://www.zakzak.co.jp/,general,jpn
