name,homeurl,domain,country
ambebi,https://reitingi.ambebi.ge/,general,geo
ambebi,https://www.ambebi.ge/,general,geo
asavali,http://www.asavali.ge/,general,geo
babajana,http://babajana.org/,general,geo
droni,https://www.droni.ge/,general,geo
for,https://for.ge/,general,geo
georgianjournal,https://www.georgianjournal.ge,general,geo
geotimes,http://www.geotimes.ge/,general,geo
gurianews,http://gurianews.com/,general,geo
info9,http://www.info9.ge/,general,geo
intermedia,http://intermedia.ge/,general,geo
interpressnews,https://www.interpressnews.ge/ka/,general,geo
kvirispalitra,https://www.kvirispalitra.ge/,general,geo
liberali,http://liberali.ge/,general,geo
mediamall,http://mediamall.ge/,general,geo
medianews,http://medianews.ge/,general,geo
netgazeti,http://netgazeti.ge/,general,geo
newposts,http://www.newposts.ge/,general,geo
newpress,http://www.newpress.ge/,general,geo
presa,http://presa.ge/,general,geo
sputnik_georgia,https://sputnik-georgia.com/,general,geo
tabula,http://www.tabula.ge/,general,geo
timer,https://www.timer.ge/,general,geo
