name,homeurl,domain,country
bayontv,http://bayontv.com.kh/,general,khm
cambodiadaily,https://www.cambodiadaily.com/,general,khm
camnews,http://camnews.com.kh/,general,khm
dap_news,https://dap-news.com/,general,khm
dtn7,https://www.dtn7.com/,general,khm
kampucheathmey,https://www.kampucheathmey.com/,general,khm
kbn,https://kbn.news/,general,khm
kohsantepheapdaily,https://kohsantepheapdaily.com.kh/,general,khm
moneaksekar,http://www.moneaksekar.com/,general,khm
monoroom,https://monoroom.info/,general,khm
nokorwatnews,http://nokorwatnews.com/,general,khm
rasmeinews,https://www.rasmeinews.com/,general,khm
rfi,https://www.rfi.fr/km/,general,khm
rnk,https://rnk.gov.kh/,general,khm
sabay,https://news.sabay.com.kh/,general,khm
thmeythmey,https://thmeythmey.com/,general,khm
vodkhmer,https://vodkhmer.news/,general,khm
watphnom_news,http://www.watphnom-news.com/,general,khm
