name,homeurl,domain,country
adyot,https://adyot.news/,general,ind
allindiannews,http://www.allindiannews.com/,general,ind
antharmukhi,https://www.antharmukhi.com/,general,ind
anveshi,http://anveshi.net,general,ind
approby,https://kn.approby.com/,general,ind
aralikatte,http://www.aralikatte.com/,general,ind
asianetnews,https://kannada.asianetnews.com/,general,ind
atomiyme,https://kn.atomiyme.com/,general,ind
avadhimag,http://avadhimag.com/,general,ind
balkaninews,https://balkaninews.com/,general,ind
bantwalnews,https://bantwalnews.com,general,ind
bcsuddi,http://www.bcsuddi.com/,general,ind
beenecheela,http://beenecheela.in,general,ind
belagavisuddi,https://belagavisuddi.com/,general,ind
bengaluruadda,http://bengaluruadda.com/,general,ind
bigtvnews,https://bigtvnews.com/,general,ind
blogspot,http://nishurs.blogspot.com/,general,ind
boldsky,https://kannada.boldsky.com/,general,ind
birmiss,https://kn.birmiss.com/,general,ind
btvnewslive,https://btvnewslive.com/,general,ind
byndoor,https://www.byndoor.com/,general,ind
canaranews,http://canaranews.com/kannada,general,ind
careerindia,https://kannada.careerindia.com/,general,ind
chitraloka,https://www.chitraloka.com,general,ind
cinisuddi,https://www.cinisuddi.com/,general,ind
citizenlive,https://citizenlive.news/,general,ind
citytoday,https://kannada.citytoday.news/,general,ind
daijiworld,https://www.daijiworld.com/kannada/,general,ind
delachieve,https://kn.delachieve.com/,general,ind
digit,https://www.digit.in/kn,general,ind
digitalkannada,https://digitalkannada.com/,general,ind
drivespark,https://kannada.drivespark.com/,general,ind
dvgsuddi,https://dvgsuddi.com,general,ind
ecitytv,https://ecitytv.com/,general,ind
eesanje,https://www.eesanje.com/,general,ind
eferrit,https://kn.eferrit.com/,general,ind
ejnana,http://www.ejnana.com,general,ind
emedialine,https://emedialine.com/,general,ind
ensuddi,https://www.ensuddi.com/,general,ind
epatrike,https://www.epatrike.com/,general,ind
euttarakannada,http://euttarakannada.in/,general,ind
everaoh,https://kn.everaoh.com/,general,ind
eyewated,https://kn.eyewated.com,general,ind
filmibeat,https://kannada.filmibeat.com,general,ind
filmyscoop,https://www.filmyscoop.co/,general,ind
firstsuddi,https://firstsuddi.com/,general,ind
gizbot,https://kannada.gizbot.com/,general,ind
goodreturns,https://kannada.goodreturns.in/,general,ind
hallikatte,http://www.hallikatte.com/,general,ind
hareraama,https://hareraama.in,general,ind
hosadigantha,http://hosadigantha.com/,general,ind
indiatimes,https://vijaykarnataka.indiatimes.com/,general,ind
inkdabbi,https://www.inkdabbi.com/,general,ind
insterne,https://kn.insterne.com/,general,ind
issani,http://www.issani.co.in,general,ind
jananudi,http://jananudi.com/,general,ind
janashakthi,https://janashakthi.wordpress.com/,general,ind
janathavani,http://janathavani.com/,general,ind
julinse,https://kn.julinse.com/,general,ind
justkannada,https://www.justkannada.in/,general,ind
kahalenews,http://www.kahalenews.com/,general,ind
kanaja,http://kanaja.in,general,ind
kannadadunia,http://kannadadunia.com/,general,ind
kannadakanaja_history,http://kannadakanaja-history.blogspot.com/,general,ind
kannadaking,https://www.kannadaking.com/,general,ind
kannadamma,https://kannadamma.net/,general,ind
kannadanews,https://kannadanews.today,general,ind
kannadaprabha,https://www.kannadaprabha.com/,general,ind
kannadaratna,https://kannadaratna.com/,general,ind
kannadasahithyaparishattu,http://kannadasahithyaparishattu.in,general,ind
kannadavani,http://www.kannadavani.news/,general,ind
kannadigaworld,https://www.kannadigaworld.com/,general,ind
kanyakumarinews,http://kanyakumarinews.com,general,ind
karavaldaily,http://kannada.karavaldaily.com,general,ind
karavalikirana,https://karavalikirana.com/,general,ind
karavalinetwork,https://karavalinetwork.com/,general,ind
karnatakabusinesshour,http://karnatakabusinesshour.com/,general,ind
karnatakavoice,https://karnatakavoice.com/,general,ind
krishijagran,https://kannada.krishijagran.com/,general,ind
kundapraa,https://kundapraa.com/,general,ind
livesuddi,http://livesuddi.com/,general,ind
logicalkannada,http://logicalkannadiga.com/,general,ind
lokadarshan,https://www.lokadarshan.news/,general,ind
mahaxpress,https://mahaxpress.com/,general,ind
manglorean,https://www.mangalorean.com/mangalorean-news/kannada-news/,general,ind
masthmagaa,https://masthmagaa.com,general,ind
metrosaga,https://metrosaga.com/kannada,general,ind
motivatedkannadiga,https://motivatedkannadiga.com/,general,ind
mykhel,https://kannada.mykhel.com/,general,ind
mysoredaily,http://mysoredaily.com/,general,ind
mysurumithra,https://mysurumithra.com/,general,ind
naadasuddi,http://naadasuddi.com/,general,ind
naanugauri,https://naanugauri.com/,general,ind
nammadavangere,https://nammadavangere.com/,general,ind
nativeplanet,https://kannada.nativeplanet.com,general,ind
news18,https://kannada.news18.com/,general,ind
newsfirstlive,https://newsfirstlive.com/,general,ind
newskannada,http://www.newskannada.com,general,ind
newskannada2,http://www.newskannada.in,general,ind
nikharanews,https://www.nikharanews.com/,general,ind
nithyasuddi,http://nithyasuddi.com/,general,ind
oneindia,https://kannada.oneindia.com/,general,ind
panjumagazine,http://www.panjumagazine.com/,general,ind
pavanaja,http://pavanaja.com,general,ind
payaniga,http://payaniga.com/kannada,general,ind
postcardkannada,https://postcardkannada.in,general,ind
powertvnews,https://www.powertvnews.in/,general,ind
prajaatvkannada,http://prajaatvkannada.com/,general,ind
prajakiran,http://prajakiran.com/,general,ind
prajapragathi,https://prajapragathi.com/,general,ind
prajavani,https://www.prajavani.net/,general,ind
pratidhvani,https://www.pratidhvani.com/,general,ind
publictv,https://publictv.in/,general,ind
rashtiryakhabars,http://rastriyakhabars.com/,general,ind
ravisblognet,http://desiwood.ravisblognet.com,general,ind
sahilonline,http://www.sahilonline.net/ka,general,ind
sampada,https://sampada.net,general,ind
sandeshamagazine,http://www.sandeshamagazine.in/,general,ind
sanjevani,http://sanjevani.com/sanjevani/,general,ind
sanju,http://sanju.me,general,ind
sanmarga,https://sanmarga.com/,general,ind
suddi9,https://www.suddi9.com/,general,ind
suddibindu,http://suddibindu.com/,general,ind
suddidina,http://www.suddidina.com/,general,ind
suddiloka,http://suddiloka.com/,general,ind
suddimane,https://suddimane.com/,general,ind
suddinews,https://puttur.suddinews.com/,general,ind
sudheendraprasad,https://sudheendraprasad.wordpress.com/,general,ind
techkannada,https://www.techkannada.in/,general,ind
themangaloremirror,https://themangaloremirror.in/,general,ind
trollanthammas,http://trollanthammas.com/,general,ind
truenewskannada,,general,ind
truthindia,https://kannada.truthindia.news/,general,ind
tv5kannada,http://tv5kannada.com/,general,ind
tv9kannada,https://tv9kannada.com,general,ind
udayavani,https://www.udayavani.com/,general,ind
udupibits,http://udupibits.in/,general,ind
udupixpress,https://udupixpress.com/,general,ind
unikannada,http://unikannada.com/,general,ind
unitinal,https://kn.unitinal.com/,general,ind
vaarte,https://vaarte.com/,general,ind
vartamitra,http://kannada.vartamitra.com/,general,ind
varthabharati,http://www.varthabharati.in/,general,ind
vijayasakshi,https://vijayasakshi.com/,general,ind
vijayavani,https://www.vijayavani.net/,general,ind
vijaykarnataka,https://vijaykarnataka.com/,general,ind
vishvakannada,http://vishvakannada.com,general,ind
vishwavani,http://vishwavani.news/,general,ind
vismayasangathigalu,https://vismayasangathigalu.com/,general,ind
vknews,https://vknews.in/,general,ind
vydyaloka,https://vydyaloka.in/,general,ind
webdunia,https://kannada.webdunia.com,general,ind
wordpress,http://anantharamesh.wordpress.com,general,ind
zeenews,https://zeenews.india.com/kannada,general,ind
