name,homeurl,domain,country
ajunews,https://www.ajunews.com/,general,kor
busan,http://www.busan.com/,general,kor
cctimes,http://www.cctimes.kr/,general,kor
cctoday,http://www.cctoday.co.kr/,general,kor
chosonsinbo,http://chosonsinbo.com/,general,prk
chosun,https://www.chosun.com/,general,kor
dailian,http://www.dailian.co.kr/,general,kor
dailynk,https://www.dailynk.com/,general,prk
dynews,http://www.dynews.co.kr/,general,kor
egloos,http://egloos.com/,general,kor
ekn,https://www.ekn.kr/,general,kor
etnews,https://www.etnews.com/,general,kor
etoday,https://www.etoday.co.kr/news/,general,kor
fnnews,https://www.fnnews.com/bigissue,general,kor
gnnews,http://www.gnnews.co.kr/,general,kor
gyotongn,http://www.gyotongn.com/,general,kor
hani,http://www.hani.co.kr/,general,kor
hankookilbo,https://www.hankookilbo.com/,general,kor
hankyung,https://www.hankyung.com/,general,kor
heraldcorp,http://nbiz.heraldcorp.com/,general,kor
hkbs,http://www.hkbs.co.kr/,general,kor
idaegu,http://www.idaegu.co.kr/,general,kor
idomin,http://www.idomin.com/,general,kor
jejumaeil,http://www.jejumaeil.net/,general,kor
jejunews,http://www.jejunews.com/,general,kor
jemin,http://www.jemin.com/,general,kor
jjan,http://www.jjan.kr/,general,kor
jjn,http://www.jjn.co.kr/,general,kor
joongboo,http://www.joongboo.com/,general,kor
joongdo,http://www.joongdo.co.kr/web/,general,kor
kado,http://www.kado.net/,general,kor
kdpress,http://www.kdpress.co.kr/,general,kor
khan,http://www.khan.co.kr/,general,kor
kihoilbo,http://www.kihoilbo.co.kr/,general,kor
koenergy,http://www.koenergy.co.kr/,general,kor
kwnews,http://www.kwnews.co.kr/,general,kor
kyeonggi,http://www.kyeonggi.com/,general,kor
kyeongin,http://www.kyeongin.com/main/,general,kor
kyongbuk,https://www.kyongbuk.co.kr/,general,kor
mediatoday,http://www.mediatoday.co.kr/,general,kor
mt,https://www.mt.co.kr/,general,kor
mydaily,http://www.mydaily.co.kr/,general,kor
naeil,http://www.naeil.com/,general,kor
naenara,http://naenara.com.kp/,general,prk
newscj,http://www.newscj.com/,general,kor
newsis,https://newsis.com/,general,kor
nocutnews,https://www.nocutnews.co.kr/,general,kor
nyjtoday,http://www.nyjtoday.com/,general,kor
pdjournal,http://www.pdjournal.com/,general,kor
pressian,https://www.pressian.com/,general,kor
redian,http://www.redian.org/,general,kor
segye,http://www.segye.com/,general,kor
segyetimes,http://www.segyetimes.co.kr/,general,kor
seoulilbo,http://www.seoulilbo.com/,general,kor
shinailbo,http://www.shinailbo.co.kr/,general,kor
sportsworldi,http://www.sportsworldi.com/,general,kor
uljinnews,http://www.uljinnews.co.kr/,general,kor
uriminzokkiri,http://www.uriminzokkiri.com/,general,prk
viewsnnews,http://www.viewsnnews.com/,general,kor
womennews,http://www.womennews.co.kr/,general,kor
yna,https://www.yna.co.kr/,general,kor
ytn,https://www.ytn.co.kr/,general,kor
