name,homeurl,domain,country
15min,https://www.15min.lt/,general,ltu
Gyvenimas,http://www.Gyvenimas.eu/,general,ltu
Santaka,http://www.Santaka.info/,general,ltu
aidas,http://www.aidas.lt/,general,ltu
alfa,https://naujienos.alfa.lt/leidinys/sekunde/,general,ltu
alfa,https://naujienos.alfa.lt/leidinys/paneveziobalsas/,general,ltu
alkas,http://alkas.lt/,general,ltu
alytausnaujienos,https://www.alytausnaujienos.lt/,general,ltu
anyksta,http://www.anyksta.lt/,general,ltu
bernardinai,http://www.bernardinai.lt/,general,ltu
bns,http://www.bns.lt/,general,ltu
budas,http://www.budas.lt/,general,ltu
diena,http://kauno.diena.lt/,general,ltu
diena,https://www.diena.lt/,general,ltu
diena,https://klaipeda.diena.lt/,general,ltu
druskonis,http://www.druskonis.lt/beta/index.php,general,ltu
ekspertai,http://ekspertai.eu/,general,ltu
elta,https://www.elta.lt/,general,ltu
galve,https://www.galve.lt/,general,ltu
gargzdai,http://www.gargzdai.lt/,general,ltu
grokiskis,https://www.grokiskis.lt/,general,ltu
gzeme,http://www.gzeme.lt/,general,ltu
kalvotoji,http://www.kalvotoji.lt/,general,ltu
kedainietis,http://www.kedainietis.lt/,general,ltu
kmintys,http://www.kmintys.lt/,general,ltu
kronika,http://www.kronika.lt/,general,ltu
kurjeris,http://www.kurjeris.lt/,general,ltu
lrytas,https://www.lrytas.lt/,general,ltu
nyksciai,http://nyksciai.lt/,general,ltu
politika,http://politika.lt/,general,ltu
prim,http://www.prim.lt/prim/,general,ltu
respublika,http://www.respublika.lt/,general,ltu
santarve,http://www.santarve.lt/,general,ltu
skrastas,https://www.skrastas.lt/,general,ltu
suvalkietis,http://www.suvalkietis.lt/,general,ltu
svencioniukrastas,http://www.svencioniukrastas.lt/,general,ltu
tauragiskis,http://www.tauragiskis.lt/,general,ltu
traku_zeme,http://www.traku-zeme.lt/,general,ltu
tzinios,http://tzinios.lt/,general,ltu
udiena,http://udiena.lt/,general,ltu
ukzinios,https://www.ukzinios.lt/,general,ltu
ve,https://www.ve.lt/,general,ltu
veidas,http://www.veidas.lt/,general,ltu
voruta,http://www.voruta.lt/,general,ltu
vz,https://www.vz.lt/,general,ltu
