name,homeurl,domain,country
apollo,https://www.apollo.lv/,general,lva
aprinkis,http://www.aprinkis.lv/,general,lva
auseklis,http://www.auseklis.lv/,general,lva
bdaugava,http://www.bdaugava.lv/,general,lva
d_fakti,http://www.d-fakti.lv/,general,lva
db,http://www.db.lv/,general,lva
delfi,https://www.delfi.lv/,general,lva
diena,https://www.diena.lv/,general,lva
edruva,http://edruva.lv/,general,lva
eliesma,http://www.eliesma.lv/,general,lva
ezerzeme,http://www.ezerzeme.lv/lv,general,lva
ir,https://ir.lv/,general,lva
jauns,https://jauns.lv/,general,lva
kurzemes_vards,https://www.kurzemes-vards.lv/,general,lva
kurzemnieks,https://www.kurzemnieks.lv/,general,lva
la,http://www.la.lv/,general,lva
laiks,http://www.laiks.us/,general,lva
latgaleslaiks,http://latgaleslaiks.lv/,general,lva
leta,http://leta.lv/,general,lva
liepajniekiem,https://www.liepajniekiem.lv/,general,lva
lpia,http://www.lpia.lv/,general,lva
ludzaszeme,http://www.ludzaszeme.lv/,general,lva
lv,https://www.lv.lv/,general,lva
news,http://news.lv/,general,lva
nra,https://nra.lv/,general,lva
ntz,http://www.ntz.lv/,general,lva
pietiek,https://pietiek.com/,general,lva
providus,http://providus.lv/,general,lva
puaro,http://puaro.lv/,general,lva
rv,http://www.rv.lv/,general,lva
sz,http://www.sz.lv/,general,lva
talsuvestis,http://www.talsuvestis.lv/,general,lva
tvnet,https://www.tvnet.lv/,general,lva
vaduguns,http://www.vaduguns.lv/,general,lva
ventasbalss,https://www.ventasbalss.lv/,general,lva
ventspils,https://www.ventspils.lv/,general,lva
vestnesis,https://vestnesis.lv/,general,lva
