name,homeurl,domain,country
a1on,https://a1on.mk/,general,mkd
antenna5,http://www.antenna5.com.mk/,general,mkd
centar,https://centar.mk/,general,mkd
daily,https://daily.mk/,general,mkd
grid,https://grid.mk/,general,mkd
idividi,http://www.idividi.com.mk/,general,mkd
infomax,https://infomax.mk/wp/,general,mkd
kajgana,https://kajgana.com/,general,mkd
kanal5,https://kanal5.com.mk/,general,mkd
kanal77,https://kanal77.mk/,general,mkd
kurir,https://kurir.mk/,general,mkd
lider,https://lider.mk/,general,mkd
makedonija24,http://makedonija24.mk/,general,mkd
makedonskosonce,http://makedonskosonce.com/,general,mkd
makfax,https://makfax.com.mk/,general,mkd
mkd,https://www.mkd.mk/,general,mkd
mkd_news,http://mkd-news.com/,general,mkd
netpress,https://netpress.com.mk/,general,mkd
novamakedonija,https://www.novamakedonija.com.mk/,general,mkd
off,https://off.net.mk/,general,mkd
puls24,https://puls24.mk/,general,mkd
republika,https://republika.mk/,general,mkd
sdk,https://sdk.mk/index.php/mk/,general,mkd
sitel,https://sitel.com.mk/,general,mkd
skopje24,https://skopje24.mk/,general,mkd
slobodenpecat,https://www.slobodenpecat.mk/category/sport/,general,mkd
sportmedia,https://sportmedia.mk/,general,mkd
tocka,https://tocka.com.mk/,general,mkd
vesti,https://vesti.mk/,general,mkd
vesti24,https://vesti24.mk/,general,mkd
