name,homeurl,domain,country
4pmnews,http://www.4pmnews.com/,general,ind
anweshanam,http://anweshanam.com/,general,ind
apnades,https://apnades.in/,general,ind
asianetnews,https://www.asianetnews.com/,general,ind
aswamedham,http://aswamedham.com/,general,ind
attingalvartha,https://attingalvartha.com/,general,ind
azchavattom,http://www.azchavattom.com/,general,ind
azhimukham,https://www.azhimukham.com/,general,ind
bengaluruvartha,https://www.bengaluruvartha.in/,general,ind
bignewslive,https://www.bignewslive.com/,general,ind
blogspot_eenam,http://eeenam.blogspot.com/,general,ind
britishmalayali,https://www.britishmalayali.co.uk/,general,ind
catholicasabha,http://catholicasabha.org/,general,ind
chandrikadaily,http://www.chandrikadaily.com/,general,ind
chavakkadonline,http://chavakkadonline.com/,general,ind
chentrappinni,http://chentrappinni.com/,general,ind
cinidiary,http://cinidiary.com/,general,ind
citinewslive,https://citinewslive.com/,general,ind
cmronweb,http://www.cmronweb.com/index.htm,general,ind
cpimkerala,https://www.cpimkerala.org/index.php,general,ind
dailyindianherald,https://dailyindianherald.com/,general,ind
deepika,https://www.deepika.com/,general,ind
deshabhimani,https://www.deshabhimani.com/,general,ind
dhanamonline,https://dhanamonline.com/,general,ind
disciplesnews,https://www.disciplesnews.com/,general,ind
doolnews,https://www.doolnews.com/,general,ind
eastcoastdaily,https://www.eastcoastdaily.com/,general,ind
emalayalee,http://www.emalayalee.com/,general,ind
epathram,http://epathram.com/,general,ind
evartha,http://www.evartha.in/,general,ind
eveningkerala,http://eveningkerala.com/,general,ind
ezhuthupura,http://ezhuthupura.com/,general,ind
ezhuthu,https://ezhuthu.org/,general,ind
goodreturns,https://malayalam.goodreturns.in/,general,ind
gulfmalayaly,https://www.gulfmalayaly.com/,general,ind
guruvayuronline,http://www.guruvayuronline.com/,general,ind
hedgeohari,http://hedgeohari.com/,general,ind
highrangevartha,http://highrangevartha.com/,general,ind
ibclive,https://www.ibclive.in/,general,ind
indianexpress,https://malayalam.indianexpress.com/,general,ind
indiaz,http://indiaz.com/category/keralacinema/malayalam-cinema-news,general,ind
irinjalakuda,http://irinjalakuda.com/,general,ind
irinjalakudalive,http://www.irinjalakudalive.com/,general,ind
islammalayalam,https://islammalayalam.net/,general,ind
jaihindtv,https://jaihindtv.in/,general,ind
janamtv,https://janamtv.com/,general,ind
janayugomonline,https://janayugomonline.com/,general,ind
janmabhumidaily,https://www.janmabhumidaily.com/,general,ind
jihkerala,http://jihkerala.org/,general,ind
kalakaumudi,http://www.kalakaumudi.com/malayalam/,general,ind
kannadafresh,http://www.kannadafreshnews.com/,general,ind
kasaragod,http://www.kasaragod.com/,general,ind
kasargodvartha,http://www.kasargodvartha.com/,general,ind
kaumudiplus,http://www.kaumudiplus.com/,general,ind
keralabhooshanam,http://www.keralabhooshanam.com/,general,ind
keralaexpress,http://www.keralaexpress.com/,general,ind
keralakaumudi,https://keralakaumudi.com/,general,ind
keralaonlinenews,http://keralaonlinenews.com/,general,ind
keralaonlive,http://www.keralaonlive.com/,general,ind
