name,homeurl,domain,country
caak,https://www.caak.mn/,general,mng
chuhal,http://chuhal.mn/,general,mng
dnn,http://dnn.mn/,general,mng
dorgio,https://www.dorgio.mn/,general,mng
mminfo,http://www.mminfo.mn/,general,mng
mnb,http://www.mnb.mn/,general,mng
montsame,https://www.montsame.mn/,general,mng
news,https://news.mn/,general,mng
shuud,http://www.shuud.mn/,general,mng
sonin,http://www.sonin.mn/,general,mng
tv25,http://www.tv25.mn/,general,mng
unen,http://www.unen.mn/,general,mng
zms,http://www.zms.mn/,general,mng
