name,homeurl,domain,country
aamhimarathi,http://aamhimarathi.in,general,ind
aarogyaupchar,http://marathi.aarogyaupchar.com,general,ind
abplive,https://marathi.abplive.com/,general,ind
agrowon,https://www.agrowon.com/,general,ind
aisiakshare,https://aisiakshare.com/,general,ind
akolenews,https://www.akolenews.com/,general,ind
aksharmaifal,http://aksharmaifal.com/,general,ind
amnews,https://amnews.live/,general,ind
athawadavishesh,https://www.athawadavishesh.com/,general,ind
atomiyme,https://mr.atomiyme.com/,general,ind
avartanpowai,http://avartanpowai.info/,general,ind
batmya,http://www.batmya.com/,general,ind
batmidar,https://www.batmidar.in/,general,ind
beedreporter,https://beedreporter.net/,general,ind
belgavkar,https://www.belgavkar.com/,general,ind
bhaskar,https://divyamarathi.bhaskar.com/,general,ind
bhavmarathi,https://bhavmarathi.com,general,ind
birmiss,https://mr.birmiss.com/,general,ind
blogspot,http://cooldeepak.blogspot.com,general,ind
bloknayak,https://bloknayak.com/,general,ind
bobhata,https://www.bobhata.com/,general,ind
bolkyaresha,http://bolkyaresha.com,general,ind
chaprak,http://www.chaprak.com/,general,ind
chitralekha,https://chitralekha.com/marathi/,general,ind
dailykesari,http://www.dailykesari.com/,general,ind
dainikaikya,http://www.dainikaikya.com/,general,ind
dainikekmat,http://epaper.dainikekmat.com/,general,ind
dainikgomantak,http://epaper.dainikgomantak.com/,general,ind
dainikmurder,http://www.dainikmurder.net/,general,ind
dainikprabhat,https://www.dainikprabhat.com/,general,ind
deepjeevani,http://deepjeevani.com,general,ind
deshdoot,https://www.deshdoot.com/,general,ind
deshonnati,https://www.deshonnati.com/,general,ind
elokasha,http://elokasha.com/,general,ind
enavakal,http://enavakal.com/,general,ind
epunyanagari,http://www.epunyanagari.com/,general,ind
errorsandkaushal,https://www.errorsandkaushal.com/,general,ind
esakal,https://www.esakal.com/,general,ind
esanchar,http://www.esanchar.co.in/,general,ind
faltupana,http://www.faltupana.in,general,ind
foodjunction,http://www.foodjunction.co.in/,general,ind
haushilekhak,http://www.haushilekhak.com/,general,ind
headlinemarathi,https://www.headlinemarathi.com/,general,ind
hellomaharashtra,https://hellomaharashtra.in/,general,ind
hindujagruti,https://www.hindujagruti.org/marathi/,general,ind
hindustantimes,https://marathi.hindustantimes.com/,general,ind
indiatimes,https://maharashtratimes.indiatimes.com/,general,ind
inmarathi,https://www.inmarathi.com/,general,ind
inshortsmarathi,https://inshortsmarathi.com/,general,ind
isamyak,http://www.isamyak.com/,general,ind
jaimaharashtranews,https://www.jaimaharashtranews.com,general,ind
jagrutmaharashtra,https://www.jagrutmaharashtra.com/,general,ind
janankush,http://www.janankush.com/,general,ind
janasthan,https://janasthan.com/,general,ind
kacchikairi,https://www.kacchikairi.com,general,ind
karmalamadhanews24,https://karmalamadhanews24.com/,general,ind
karyarambhlive,https://karyarambhlive.com/,general,ind
kartavyasadhna,http://kartavyasadhana.in/,general,ind
kattaonline,http://www.kattaonline.com,general,ind
krushinama,https://krushinama.com/,general,ind
krushirang,https://www.krushirang.com/,general,ind
krushival,https://www.krushival.in,general,ind
kshitijuvach,http://www.kshitijuvach.com,general,ind
lakshamaharashtra,https://www.lakshamaharashtra.com/,general,ind
latestly,https://marathi.latestly.com/,general,ind
livetrend,https://livetrends.news/,general,ind
lokmat,https://www.lokmat.com/,general,ind
lokmat_news18,https://lokmat.news18.com/,general,ind
lokprashna,http://www.lokprashna.com/,general,ind
lokshahinews,https://www.lokshahinews.com/,general,ind
loksatta,https://www.loksatta.com/,general,ind
maayboli,https://www.maayboli.com/,general,ind
madhurasrecipe,http://www.madhurasrecipe.com,general,ind
mahamtb,https://www.mahamtb.com/,general,ind
mahanews,https://mahanews.co.in,general,ind
