name,homeurl,domain,country
7day,https://7day.news/,general,mmr
bbc,https://www.bbc.com/burmese,general,mmr
dvb,http://burmese.dvb.no/,general,mmr
hornbillnews,http://www.hornbillnews.com/,general,mmr
mizzimaburmese,http://www.mizzimaburmese.com/,general,mmr
mmtimes,https://myanmar.mmtimes.com/,general,mmr
moemaka,https://www.moemaka.com/,general,mmr
myanmargazette,http://myanmargazette.net/,general,mmr
popularmyanmar,https://www.popularmyanmar.com/,general,mmr
thevoicemyanmar,http://thevoicemyanmar.com/,general,mmr
voanews,https://burmese.voanews.com/,general,mmr
