name,homeurl,domain,country
aarthiknews,https://aarthiknews.com/,general,ind
abhiyandaily,https://www.abhiyandaily.com/,general,ind
annapurnapost,http://annapurnapost.com/,general,ind
arghakhanchi,https://www.arghakhanchi.com/,general,ind
arkopatrika,https://arkopatrika.com/,general,ind
arthasarokar,https://www.arthasarokar.com/,general,ind
avenueskhabar,https://avenueskhabar.com.np/,general,ind
baahrakhari,https://baahrakhari.com/,general,ind
bbc,https://www.bbc.com/nepali,general,ind
bigulnews,https://bigulnews.tv/,general,ind
bizshala,https://www.bizshala.com/,general,ind
chitawan,http://www.chitawan.com/,general,ind
eadarsha,https://www.eadarsha.com/,general,ind
ejanakpurtoday,https://ejanakpurtoday.com/,general,ind
gorkhapatra,https://gorkhapatraonline.com/,general,ind
hamrakura,https://hamrakura.com/,general,ind
hamrokhelkud,https://www.hamrokhelkud.com/,general,ind
hamropatro,https://www.hamropatro.com/news/,general,ind
harekpal,https://harekpal.com/,general,ind
himalini,https://www.himalini.com/,general,ind
himalkhabar,https://www.himalkhabar.com/,general,ind
janaastha,https://www.janaaastha.com/,general,ind
kantipur,https://ekantipur.com/,general,ind
kantipurtv,https://kantipurtv.com/news,general,ind
karobardaily,https://www.karobardaily.com/,general,ind
khabarhub,https://www.khabarhub.com/,general,ind
khasokhas,https://www.khasokhas.com/,general,ind
koshionline,https://www.koshionline.com/,general,ind
lokaantar,https://lokaantar.com/,general,ind
nagariknetwork,https://www.nagariknetwork.com/,general,ind
nagariknews,https://nagariknews.nagariknetwork.com/,general,ind
nayapage,https://www.nayapage.com/,general,npl
nayapatrikadaily,https://www.nayapatrikadaily.com/,general,ind
nayapatrikadaily,http://www.nayapatrikadaily.com/,general,npl
nepaliheadlines,https://nepaliheadlines.com/np/,general,ind
nepalihimal,http://nepalihimal.com/,general,ind
nepalipaisa,https://nepalipaisa.com/,general,ind
nepalipaisa,http://www.nepalipaisa.com/,general,npl
nepalipatra,https://www.nepalipatra.com/,general,ind
nepalipost,http://nepalipost.com/beta/,general,ind
nepalipost,http://nepalipost.com/,general,npl
nepalkhabar,https://nepalkhabar.com/,general,ind
nepalnews,https://nepalnews.com/,general,ind
nepalsamaya,https://www.nepalsamaya.com/,general,ind
news24nepal,https://www.news24nepal.tv/,general,ind
newsofnepal,https://www.newsofnepal.com/,general,ind
onlinemajdoor,https://onlinemajdoor.com,general,npl
onlinetvnepal,https://www.onlinetvnepal.com/,general,ind
onsnews,https://www.onsnews.com/,general,ind
osnepal,https://osnepal.com/,general,ind
osnepal,https://www.osnepal.com/,general,npl
pariwartankhabar,https://www.pariwartankhabar.com/,general,ind
politicsnepal,https://www.politicsnepal.com/,general,ind
politicsofnepal,http://www.politicsofnepal.com/,general,npl
pradeshonline,https://www.pradeshonline.com/,general,ind
radionepal,http://radionepal.gov.np/,general,npl
rajdhanidaily,https://rajdhanidaily.com/,general,ind
ratopati,http://ratopati.com/,general,ind
samudrapari,http://samudrapari.com/,general,ind
setopati,https://www.setopati.com/,general,ind
souryaonline,https://www.souryaonline.com/,general,ind
techpana,https://www.techpana.com/,general,ind
thahkhabar,http://thahakhabar.com/,general,ind
topnepalnews,http://topnepalnews.com/,general,ind
ujyaaloonline,https://ujyaaloonline.com/,general,ind
yuvahunkar,http://www.yuwahunkar.com/,general,ind
