name,homeurl,domain,country
112groningen,http://www.112groningen.nl/,general,nld
almeredezeweek,http://www.almeredezeweek.nl/,general,nld
amigoe,https://amigoe.com/,general,abw
apintie,https://www.apintie.sr/,general,sur
arnhemsekoerier,https://www.arnhemsekoerier.nl/,general,nld
atv,http://www.atv.sr/,general,sur
balkstercourant,https://balkstercourant.nl/,general,nld
barneveldsekrant,https://barneveldsekrant.nl/,general,nld
belga,http://www.belga.be/,general,bel
blikopnieuws,https://www.blikopnieuws.nl/,general,nld
bnnvara,https://joop.bnnvara.nl/,general,nld
bnr,https://www.bnr.nl/,general,nld
brabantscentrum,https://www.brabantscentrum.nl/,general,nld
cobouw,https://www.cobouw.nl/,general,nld
culturu,https://www.culturu.com/,general,sur
dagelijksestandaard,https://www.dagelijksestandaard.nl/,general,nld
defeanster,https://defeanster.nl/,general,nld
deterschellinger,https://www.deterschellinger.nl/,general,nld
drimble,https://drimble.nl/,general,nld
dvhn,https://www.dvhn.nl/,general,nld
dwtonline,http://www.dwtonline.com/,general,sur
edestad,https://www.edestad.nl/,general,nld
eufin,https://www.eufin.nl/,general,nld
express,https://nl.express.live/,general,bel
flakkeenieuws,https://flakkeenieuws.nl/,general,nld
frieschdagblad,https://frieschdagblad.nl/,general,nld
gezinsbode,https://gezinsbode.nl/,general,nld
gfcnieuws,https://gfcnieuws.com/,general,sur
gic,https://www.gic.nl/,general,nld
gooieneemlander,https://www.gooieneemlander.nl/,general,nld
gva,https://www.gva.be/,general,bel
haarlemsdagblad,https://www.haarlemsdagblad.nl/,general,nld
hbvl,https://www.hbvl.be/,general,bel
heerenveensecourant,https://heerenveensecourant.nl/,general,nld
hetkontakt,https://www.hetkontakt.nl/,general,nld
heturkerland,https://www.heturkerland.nl/,general,nld
hoofdpunten,http://www.hoofdpunten.be/,general,bel
ijmuidercourant,https://www.ijmuidercourant.nl/,general,nld
knack,https://weekend.knack.be/,general,bel
knack,https://www.knack.be/nieuws/,general,bel
kranten,https://www.kranten.com/,general,nld
kw,https://kw.be/,general,bel
lc,https://www.lc.nl/,general,nld
leidschdagblad,https://www.leidschdagblad.nl/,general,nld
limburger,https://www.limburger.nl/,general,nld
liwwadders,https://www.liwwadders.nl/,general,nld
meerbode,https://www.meerbode.nl/,general,nld
mensenlinq,https://mensenlinq.nl/,general,nld
meppelercourant,https://meppelercourant.nl/,general,nld
metronieuws,https://www.metronieuws.nl/,general,nld
nd,https://www.nd.nl/,general,nld
newsmonkey,https://newsmonkey.be/,general,bel
nieuw_volendam,https://www.nieuw-volendam.nl/,general,nld
nieuws,https://overbetuwe.nieuws.nl/,general,nld
nieuws,https://nieuws.nl/,general,nld
nieuwsblad,https://www.nieuwsblad.be/,general,bel
noordhollandsdagblad,https://www.noordhollandsdagblad.nl/,general,nld
nos,https://nos.nl/,general,nld
nrc,https://www.nrc.nl/,general,nld
oisterwijknieuws,http://www.oisterwijknieuws.nl/,general,nld
omroepbrabant,https://www.omroepbrabant.nl/,general,nld
omroepgelderland,https://www.omroepgelderland.nl/,general,nld
oneworld,https://www.oneworld.nl/,general,nld
pallieterke,https://pallieterke.net/,general,bel
parbode,https://parbode.com/,general,sur
powned,https://www.powned.tv/,general,nld
rd,https://www.rd.nl/,general,nld
schuttevaer,https://www.schuttevaer.nl/,general,nld
sevendays,https://www.sevendays.nl/,general,nld
sneekernieuwsblad,https://sneekernieuwsblad.nl/,general,nld
speld,https://speld.nl/,general,nld
srherald,https://www.srherald.com/,general,sur
srnieuws,https://www.srnieuws.com/,general,sur
staatskrant,https://www.staatskrant.com/,general,nld
standaard,https://www.standaard.be/,general,bel
starnieuws,http://www.starnieuws.com/,general,sur
streekgids,https://www.streekgids.nl/,general,nld
surinametimes,http://www.surinametimes.com/,general,sur
surinameview,https://www.surinameview.com/,general,sur
telegraaf,https://www.telegraaf.nl/,general,nld
texelsecourant,https://www.texelsecourant.nl/,general,nld
tijd,https://www.tijd.be/,general,bel
tvl,https://www.tvl.be/,general,bel
vrt,https://www.vrt.be/vrtnws/nl/,general,bel
waaskrant,https://www.waaskrant.be/,general,bel
waldnet,https://www.waldnet.nl/,general,nld
waterkant,https://www.waterkant.net/,general,sur
zakengidstiel,https://www.zakengidstiel.nl/,general,nld
