name,homeurl,domain,country
dagogtid,https://www.dagogtid.no/,general,nor
firdaposten,https://www.firdaposten.no/,general,nor
fitjarposten,https://fitjarposten.no/,general,nor
fjordingen,https://www.fjordingen.no/,general,nor
fjuken,https://www.fjuken.no/,general,nor
grenda,https://grenda.no/,general,nor
hallingdolen,https://www.hallingdolen.no/,general,nor
hf,https://www.hf.no/,general,nor
marsteinen,https://marsteinen.no/,general,nor
morenytt,https://www.morenytt.no/,general,nor
samningen,http://www.samningen.no/,general,nor
sognavis,https://www.sognavis.no/,general,nor
sunnmoringen,https://www.sunnmoringen.no/,general,nor
vestavind_sveio,https://vestavind-sveio.no/,general,nor
vestlandsnytt,https://www.vestlandsnytt.no/,general,nor
