name,homeurl,domain,country
aasanetidende,https://www.aasanetidende.no/,general,nor
aasavis,https://www.aasavis.no/,general,nor
adressa,https://www.adressa.no/,general,nor
aftenbladet,https://www.aftenbladet.no/,general,nor
aftenposten,https://www.aftenposten.no/,general,nor
agderposten,https://www.agderposten.no/,general,nor
altaposten,https://www.altaposten.no/,general,nor
amta,https://www.amta.no/,general,nor
an,https://www.an.no/,general,nor
andalsnes_avis,https://www.andalsnes-avis.no/,general,nor
arendalstidende,https://arendalstidende.no/,general,nor
av_avis,https://www.av-avis.no/,general,nor
avisa_valdres,https://www.avisa-valdres.no/,general,nor
avisahemnes,https://avisahemnes.no/,general,nor
avisenagder,https://www.avisenagder.no/,general,nor
ba,https://www.ba.no/,general,nor
banett,https://www.banett.no/,general,nor
bavisa,https://bavisa.no/,general,nor
blv,https://www.blv.no/,general,nor
bodonu,https://bodonu.no/,general,nor
bomlo_nytt,https://www.bomlo-nytt.no/,general,nor
bondebladet,https://www.bondebladet.no/,general,nor
bt,https://www.bt.no/,general,nor
budstikka,https://www.budstikka.no/,general,nor
bygdanytt,https://www.bygdanytt.no/,general,nor
bygdeposten,https://www.bygdeposten.no/,general,nor
dagen,https://www.dagen.no/,general,nor
dagsavisen,https://www.dagsavisen.no/rogalandsavis,general,nor
dagsavisen,https://www.dagsavisen.no/,general,nor
dalane_tidende,https://www.dalane-tidende.no/,general,nor
dn,https://www.dn.no/,general,nor
dolen,https://www.dolen.no/,general,nor
driva,https://www.driva.no/,general,nor
dt,https://www.dt.no/,general,nor
eikernytt,http://www.eikernytt.no/,general,nor
enebakkavis,https://www.enebakkavis.no/,general,nor
eub,https://www.eub.no/,general,nor
f_b,https://www.f-b.no/,general,nor
fanaposten,https://www.fanaposten.no/,general,nor
finansavisen,https://finansavisen.no/,general,nor
finnmarksposten,https://www.finnmarksposten.no/,general,nor
firdatidend,https://www.firdatidend.no/,general,nor
fiskeribladet,https://fiskeribladet.no/,general,nor
fitjarposten,https://fitjarposten.no/,general,nor
fjordabladet,https://www.fjordabladet.no/,general,nor
fjt,https://www.fjt.no/,general,nor
folkebladet,https://www.folkebladet.no/,general,nor
folldalsportalen,https://folldalsportalen.no/,general,nor
framtidinord,https://www.framtidinord.no/,general,nor
fremover,https://www.fremover.no/,general,nor
friheten,https://www.friheten.no/,general,nor
frolendingen,https://frolendingen.no/,general,nor
frostingen,http://frostingen.no/,general,nor
fvn,https://www.fvn.no/,general,nor
gbnett,https://www.gbnett.no/,general,nor
gd,https://www.gd.no/,general,nor
gjengangeren,https://www.gjengangeren.no/,general,nor
gjoviksblad,https://www.gjoviksblad.no/,general,nor
glomdalen,https://www.glomdalen.no/,general,nor
grannar,https://grannar.no/,general,nor
groruddalen,https://groruddalen.no/,general,nor
h_a,https://www.h-a.no/,general,nor
h_avis,https://www.h-avis.no/,general,nor
ha_halden,https://www.ha-halden.no/,general,nor
hadeland,https://www.hadeland.no/,general,nor
hamar_dagblad,https://www.hamar-dagblad.no/,general,nor
hegnar,https://www.hegnar.no/,general,nor
helg,https://www.helg.no/,general,nor
ht,https://www.ht.no/,general,nor
idag,https://idag.no/,general,nor
ifinnmark,https://www.ifinnmark.no/,general,nor
inderoyningen,https://www.inderoyningen.no/,general,nor
indre,https://www.indre.no/,general,nor
itavisen,https://itavisen.no/,general,nor
itromso,https://www.itromso.no/,general,nor
jarlsbergavis,https://www.jarlsbergavis.no/,general,nor
jbl,https://www.jbl.no/,general,nor
klassekampen,https://www.klassekampen.no/,general,nor
kulingen,https://kulingen.no/,general,nor
kvinnheringen,https://www.kvinnheringen.no/,general,nor
laagendalsposten,https://www.laagendalsposten.no/,general,nor
lister24,https://www.lister24.no/,general,nor
lofotposten,https://www.lofotposten.no/,general,nor
lokal_avisa,https://www.lokal-avisa.no/,general,nor
lp,https://www.lp.no/,general,nor
lyngdalsavis,https://www.lyngdalsavis.no/,general,nor
moss_avis,https://www.moss-avis.no/,general,nor
namdalsavisa,https://www.namdalsavisa.no/,general,nor
nernett,http://www.nernett.no/,general,nor
norddalen,https://www.norddalen.no/,general,nor
nordlys,https://www.nordlys.no/,general,nor
