name,homeurl,domain,country
aahwaan,http://www.aahwaan.com/,general,ind
ameodia,http://www.ameodia.com/,general,ind
anupambharatonline,http://www.anupambharatonline.com/,general,ind
blogspot,http://pran-oriya-recipies.blogspot.com/,general,ind
breakingodisha,https://www.breakingodisha.com/od/,general,ind
dharitri,http://www.dharitri.com/,general,ind
enewsodia,https://enewsodia.com/,general,ind
eodishasamachar,http://eodishasamachar.com/,general,ind
etvbharat,https://www.etvbharat.com/oriya/odisha,general,ind
fonnews,https://fonnews.co.in/,general,ind
halchalnews,http://halchalnews.com/,general,ind
kanaknews,http://kanaknews.com/,general,ind
kathaodishara,https://kathaodishara.info/,general,ind
khabarodisha,https://khabarodisha.com,general,ind
localwire,https://localwire.me,general,ind
mbctv,http://www.mbctv.co.in/,general,ind
nandigoshatv,https://www.nandighoshatv.com/,general,ind
news18,https://odia.news18.com/,general,ind
odiabarta,http://odiabarta.in/,general,ind
odiapua,https://odiapua.com/,general,ind
odiasahitya,http://www.odiasahitya.com,general,ind
odiascraps,https://www.odiascraps.info/,general,ind
odisha,http://www.odisha.com/,general,ind
odishabhaskar,http://odishabhaskar.com/,general,ind
odishainfocus,https://www.odishainfocus.com/,general,ind
odishakranti,https://www.odishakranti.com/,general,ind
odishalive,https://odisha.live/,general,ind
odishanewsinsight,https://odishanewsinsight.com/odia/,general,ind
odishanewsservice,https://odishanewsservice.com/,general,ind
odishareporter,https://odishareporter.in/,general,ind
odishasambad,https://odishasambad.in/,general,ind
odishatime,https://odishatime.com/,general,ind
odishatv,https://khabar.odishatv.in/,general,ind
odishawatch,http://odishawatch.in/,general,ind
prameyanews7,http://www.prameyanews7.com/,general,ind
pratilipi,https://odia.pratilipi.com,general,ind
samadhwani,https://samadhwani.com/,general,ind
samajalive,https://www.samajalive.in/,general,ind
sambad,http://sambad.in/,general,ind
sarbasadharana,http://sarbasadharana.com/,general,ind
shubhapallaba,https://shubhapallaba.in,general,ind
tathya,http://odia.tathya.in,general,ind
theargus,https://theargus.in/,general,ind
zeenews,https://zeenews.india.com/hindi/zeeodisha,general,ind
