name,homeurl,domain,country
3casm,https://3casm.com/,general,ind
5aabtv,http://www.5aabtv.ca/,general,ind
5abi,http://5abi.com/,general,ind
5dariyanews,http://www.5dariyanews.com/,general,ind
abplive,https://punjabi.abplive.com/,general,ind
airworldservice,http://airworldservice.org/punjabi/,general,ind
ajdiawaaz,http://ajdiawaaz.in/,general,ind
ajitjalandhar,http://beta.ajitjalandhar.com/,general,ind
amardeepsidhu,http://amardeepsidhu.com/poetry,general,ind
amritsartimes,https://www.amritsartimes.com/,general,ind
aslipunjabi,https://aslipunjabi.com/,general,ind
atomiyme,https://pa.atomiyme.com/,general,ind
azadsoch,https://azadsoch.in/,general,ind
babushahi,http://www.babushahi.com/punjabi/,general,ind
bbcpunjabi,https://www.bbc.com/punjabi,general,ind
bbcpunjab,http://www.bbcpunjab.com/,general,ind
birmiss,https://pa.birmiss.com,general,ind
blogspot,http://punjab-screen.blogspot.com/,general,ind
bollywoodtadka,https://punjabi.bollywoodtadka.in/,general,ind
bordernewsexpress,http://bordernewsexpress.com/,general,ind
cee7news,https://cee7news.com/,general,ind
charhdikala,https://charhdikala.com/,general,ind
dailyhamdard,http://www.dailyhamdard.com/,general,ind
dailyjanjagriti,http://dailyjanjagriti.com/,general,ind
dailypehredar,http://www.dailypehredar.com/,general,ind
dailypost,https://www.punjabi.dailypost.in/,general,ind
dailypunjabtimes,http://www.dailypunjabtimes.com/,general,ind
dailysuraj,https://dailysuraj.com/,general,ind
delachieve,https://pa.delachieve.com/,general,ind
deshdoaba,http://www.deshdoaba.com/,general,ind
deshsewak,https://deshsewak.org/,general,ind
despunjab,http://despunjab.ca/,general,ind
eferrit,https://pa.eferrit.com/,general,ind
etvbharat,https://www.etvbharat.com/punjabi/punjab,general,ind
europesamachar,http://europesamachar.com/,general,ind
everaoh,https://pa.everaoh.com/,general,ind
fatehmediaa,http://fatehmediaa.com/,general,ind
fazilkasamachar,https://www.fazilkasamachar.in/,general,ind
fivewood,https://fivewood.in/,general,ind
foodyduniya,https://www.foodyduniya.com/,general,ind
fullonpunjabi,http://fullonpunjabi.com,general,ind
funjab24,https://funjab24.com/,general,ind
glimeindianews,http://glimeindianews.in/,general,ind
globalpunjabtv,https://globalpunjabtv.com/,general,ind
gokafla,http://gokafla.com/,general,ind
gyanpunji,http://pb.gyanpunji.com/,general,ind
hindustantimes,https://punjabi.hindustantimes.com/,general,ind
indocanadiantimes,https://www.indocanadiantimes.com/,general,ind
indotimes,https://www.indotimes.com.au/,general,ind
infopunjabi,https://infopunjabi.com/,general,ind
insterne,https://pa.insterne.com/,general,ind
jagbani,https://jagbani.kesari.tv/,general,ind
jagran,https://punjabi.jagran.com/,general,ind
kartarpurmail,http://www.kartarpurmail.com/,general,ind
kaurweb,https://www.kaurweb.com,general,ind
khabarpanchnama,http://khabarpanchnama.com/,general,ind
khalsanews,http://www.khalsanews.org/,general,ind
kuksamachar,http://www.kuksamachar.co.nz/,general,ind
livingindianews,https://www.livingindianews.co.in/,general,ind
lokleader,http://lokleader.com/,general,ind
maanpunjabde,https://maanpunjabde.com/,general,ind
mahapunjab,https://mahapunjab.net/,general,ind
mediadespunjab,http://www.mediadespunjab.com/,general,ind
medialehar,https://medialehar.com/,general,ind
mediapunjab,http://www.mediapunjab.com/,general,ind
nabazepunjab,https://www.nabaz-e-punjab.com/,general,ind
nawanzamana,http://nawanzamana.in/,general,ind
news18,https://punjab.news18.com,general,ind
news35media,https://news35media.com/,general,ind
newsd5,https://punjabi.newsd5.in/,general,ind
newsnumber,https://newsnumber.com/,general,ind
newsdwell,https://newsdwell.com/,general,ind
newstracklive,http://punjabi.newstracklive.com/,general,ind
nickysingh,http://nickysingh.com.au,general,ind
nirpakhawaaz,http://www.nirpakhawaaz.in/,general,ind
nykdaily,https://pa.nykdaily.com/,general,ind
nzpunjabinews,https://nzpunjabinews.com/,general,ind
onlinekhbran,https://onlinekhbran.com/,general,ind
panjabisanjh,http://panjabisanjh.com/,general,ind
panjabtimes,http://www.panjabitimes.com,general,ind
parvasinewspaper,https://parvasinewspaper.com/,general,ind
pbitv,https://pbitv.in,general,ind
pblive,http://pblive.in/,general,ind
pbnewspro,https://www.pbnewspro.com/,general,ind
preetnama,https://www.preetnama.com/,general,ind
presskitaquat,http://presskitaquat.com/,general,ind
ptcnews,https://www.ptcnews.tv,general,ind
ptcpunjabi,https://www.ptcpunjabi.co.in,general,ind
ptvnewsonline,https://ptvnewsonline.com/,general,ind
punjab,https://www.punjab.news/,general,ind
punjabbaani,https://www.punjabbaani.com/,general,ind
punjabguardian,http://punjabguardian.com/,general,ind
punjabhotline,https://punjabhotline.com/,general,ind
punjabiakhbar,https://punjabiakhbar.com/,general,ind
punjabidailynews,https://punjabidailynews.com/,general,ind
punjabihindustantimes,https://punjabi.hindustantimes.com,general,ind
punjabiinworld,https://punjabiinworld.com,general,ind
punjabijagran,https://www.punjabijagran.com,general,ind
punjabi_kavita,http://www.punjabikahani.punjabi-kavita.com,general,ind
punjabimaaboli,https://punjabimaaboli.com/,general,ind
punjabinational,http://punjabinational.ca/,general,ind
punjabinewsonline,http://punjabinewsonline.com/,general,ind
punjabinfoline,https://www.punjabinfoline.com/news/pa,general,ind
punjabinholland,http://www.punjabiinholland.com/,general,ind
punjabipost,http://punjabipost.ca/,general,ind
punjabireel,http://www.punjabireel.com,general,ind
punjabiscreen,https://www.punjabiscreen.com/,general,ind
punjabistories,https://punjabistories.com/,general,ind
punjabitrendzz,https://punjabitrendzz.com/,general,ind
punjabitribune,http://punjabitribune.ca/,general,ind
punjabitribuneonline,https://www.punjabitribuneonline.com/,general,ind
punjabkesari,https://jagbani.punjabkesari.in/,general,ind
punjabmailusa,http://punjabmailusa.com/,general,ind
punjabnewsline,http://www.punjabnewsline.ca/,general,ind
punjabpost,http://punjabpost.in/,general,ind
punjabstar,http://punjabstar.com/pb,general,ind
punjabtepunjabiyat,http://www.punjabatepunjabiyat.com/,general,ind
quamiekta,http://www.quamiekta.com/,general,ind
radiopunjabtoday,https://radiopunjabtoday.com,general,ind
raisingvoice,https://raisingvoice.com/,general,ind
rakhprabh,http://rakhaprabh.in/,general,ind
rakshaknews,https://www.rakshaknews.in/pa/,general,ind
rojanapunjab,http://www.rojanapunjab.com/,general,ind
rozanakhabarnama,https://www.rozanakhabarnama.com.au/,general,ind
rozanapehredar,http://www.rozanapehredar.com,general,ind
rozanaspokesman,https://www.rozanaspokesman.in,general,ind
sachikalam,http://www.sachikalam.com/,general,ind
