name,homeurl,domain,country
24kurier,https://24kurier.pl/,general,pol
7dnikalisza,http://www.7dnikalisza.com/,general,pol
dkl24,http://dkl24.pl/,general,pol
dziennik,http://dziennik.com/,general,pol
dziennik,https://www.dziennik.pl/,general,pol
dziennikbaltycki,https://dziennikbaltycki.pl/,general,pol
dzienniklodzki,https://dzienniklodzki.pl/,general,pol
dziennikwschodni,https://www.dziennikwschodni.pl/,general,pol
dziennikzachodni,https://dziennikzachodni.pl/,general,pol
echodnia,https://echodnia.eu/,general,pol
expressilustrowany,https://expressilustrowany.pl/,general,pol
fakt,https://www.fakt.pl/,general,pol
gazetabilgoraj,https://gazetabilgoraj.pl/,general,pol
gazetakrakowska,https://gazetakrakowska.pl/,general,pol
gazetalubuska,https://gazetalubuska.pl/,general,pol
gazetaolsztynska,http://gazetaolsztynska.pl/,general,pol
gazetapowiatowa,https://gazetapowiatowa.pl/,general,pol
gliwice,https://www.nowiny.gliwice.pl/,general,pol
gloswielkopolski,https://gloswielkopolski.pl/,general,pol
interia,https://www.interia.pl/,general,pol
jarocinska,http://www.jarocinska.pl/,general,pol
korso,https://www.korso.pl/,general,pol
kuriergmin,https://kuriergmin.pl/,general,pol
kurierlubelski,https://kurierlubelski.pl/,general,pol
naszdziennik,https://naszdziennik.pl/,general,pol
naszemiasto,https://wroclaw.naszemiasto.pl/,general,pol
newsweek,https://www.newsweek.pl/,general,pol
niezalezna,https://niezalezna.pl/,general,pol
noizz,https://noizz.pl/,general,pol
nowagazeta,https://nowagazeta.pl/,general,pol
nowiny24,https://nowiny24.pl/,general,pol
nto,https://nto.pl/,general,pol
onet,https://www.onet.pl/,general,pol
parkiet,https://www.parkiet.com/,general,pol
pb,https://www.pb.pl/,general,pol
polityka,https://www.polityka.pl/TygodnikPolityka,general,pol
pomorska,https://pomorska.pl/,general,pol
poranny,https://poranny.pl/,general,pol
przegladsportowy,https://www.przegladsportowy.pl/,general,pol
rp,https://www.rp.pl/,general,pol
salon24,https://www.salon24.pl/,general,pol
se,https://www.se.pl/,general,pol
supernowosci24,http://supernowosci24.pl/,general,pol
sztafeta,http://www.sztafeta.pl/,general,pol
tuolawa,https://www.tuolawa.pl/,general,pol
tvp,https://www.tvp.info/,general,pol
tygodnikpowszechny,https://www.tygodnikpowszechny.pl/,general,pol
tygodnikzamojski,http://www.tygodnikzamojski.pl/,general,pol
wiadomoscirudzkie,https://wiadomoscirudzkie.pl/,general,pol
wirtualnemedia,https://www.wirtualnemedia.pl/,general,pol
wpolityce,https://wpolityce.pl/,general,pol
wprost,https://www.wprost.pl/,general,pol
ws_24,http://ws-24.pl/,general,pol
wspolczesna,https://wspolczesna.pl/,general,pol
wyborcza,https://wyborcza.pl/,general,pol
wykop,https://www.wykop.pl/,general,pol
zycie,https://www.zycie.pl/,general,pol
