name,homeurl,domain,country
afghansabawoon,http://www.afghansabawoon.com/,general,afg
bbc,https://www.bbc.com/pashto,general,afg
dailyweesa,http://www.dailyweesa.com/,general,afg
mehwar,https://www.mehwar.news/,general,afg
nunn,https://www.nunn.asia/,general,afg
pashtovoa,https://www.pashtovoa.com/,general,afg
rohi,https://rohi.af/,general,afg
sabawoon,http://www.sabawoon.com/,general,afg
shamshadtv,https://shamshadtv.tv/,general,afg
taand,https://www.taand.com/,general,afg
tatobaynews,https://tatobaynews.com/,general,afg
