name,homeurl,domain,country
180graus,https://180graus.com/,general,bra
abola,https://www.abola.pt/,general,prt
acorianooriental,https://www.acorianooriental.pt/,general,prt
agoramt,https://www.agoramt.com.br/,general,bra
alvorada,https://www.alvorada.pt/,general,prt
angola24horas,https://angola24horas.com/,general,ago
angola_online,http://angola-online.net/,general,ago
angop,http://www.angop.ao/,general,ago
anoticiadovale,http://www.anoticiadovale.com/,general,bra
asbeiras,https://www.asbeiras.pt/,general,prt
atosefatos,https://www.atosefatos.jor.br/,general,bra
avante,http://www.avante.pt/,general,prt
barlavento,https://www.barlavento.pt/,general,prt
blitz,https://blitz.pt/,general,prt
blogspot,http://guineendade.blogspot.com/,general,gnb
blogspot,http://faladepapagaio.blogspot.com/,general,gnb
blogspot,http://ditaduraeconsenso.blogspot.com/,general,gnb
blogspot,http://notabanca.blogspot.com/,general,gnb
blogspot,https://bambaramdipadida.blogspot.com/,general,gnb
blogspot,http://dokainternacionaldenunciante.blogspot.com/,general,gnb
blogspot,http://conosaba.blogspot.com/,general,gnb
brasil247,https://www.brasil247.com/,general,bra
brasildefato,https://www.brasildefato.com.br/,general,bra
brasilemfolhas,https://brasilemfolhas.com/,general,bra
brazilianpress,http://www.brazilianpress.com/,general,bra
campograndenews,https://www.campograndenews.com.br/,general,bra
canal,https://canal.co.mz/,general,moz
cartamz,https://cartamz.com/,general,moz
cearaagora,https://www.cearaagora.com.br/,general,bra
centralangola7311,https://centralangola7311.net/,general,ago
club_k,https://www.club-k.net/,general,ago
cmjornal,https://www.cmjornal.pt/,general,prt
comunitaitaliana,https://comunitaitaliana.com/,general,bra
correio24horas,https://www.correio24horas.com.br/,general,bra
correiobraziliense,https://www.correiobraziliense.com.br/,general,bra
correiodeazemeis,https://www.correiodeazemeis.pt/,general,prt
correiodominho,https://www.correiodominho.pt/,general,prt
correiodopovo,https://www.correiodopovo.com.br/,general,bra
correiokianda,https://correiokianda.info/,general,ago
correioweb,https://www.correioweb.com.br/,general,bra
desafio,https://www.desafio.co.mz/,general,moz
destak,http://www.destak.pt/,general,prt
