name,homeurl,domain,country
24,https://24.kz/ru/,general,kaz
actualitati,http://actualitati.md/,general,mda
aif,https://aif.ua/,general,ukr
aif,https://aif.ru/,general,rus
aif,http://www.adigea.aif.ru/,general,rus
aif,http://www.aif.by/,general,blr
altaynews,https://altaynews.kz/ru/,general,kaz
altyn_orda,https://www.altyn-orda.kz/,general,kaz
amic,https://www.amic.ru/,general,rus
angliya,https://angliya.com/,general,rus
ap22,http://www.ap22.ru/,general,rus
aqparat,https://aqparat.info/,general,kaz
ava,https://ava.md/,general,mda
b_g,https://www.b-g.by/,general,blr
babruysk,http://babruysk.by/,general,blr
bdg,http://bdg.by/,general,blr
belapan,https://belapan.by/,general,blr
belchas,http://belchas.by/,general,blr
belgazeta,http://www.belgazeta.by/,general,blr
belmarket,http://www.belmarket.by/,general,blr
belta,https://www.belta.by/,general,blr
bk_brest,http://www.bk-brest.by/,general,blr
bpc,http://www.bpc.by/,general,blr
caravan,https://www.caravan.kz/,general,kaz
censor,https://censor.net.ua/,general,ukr
chita,https://www.chita.ru/,general,rus
comments,https://comments.ua/,general,ukr
delo,https://delo.ua/,general,ukr
delo,http://delo.by/,general,blr
dialog,https://www.dialog.ua/,general,ukr
diapazon,https://diapazon.kz/,general,kaz
dn,https://dn.kz/,general,kaz
dneprovec,http://dneprovec.by/,general,blr
dnews,https://dnews.dn.ua/,general,ukr
dni,https://dni.ru/,general,rus
dp,https://www.dp.ru/,general,rus
dsnews,https://www.dsnews.ua/,general,ukr
e1,https://www.e1.ru/,general,rus
ecopress,http://www.ecopress.by/,general,blr
eg_online,https://www.eg-online.ru/,general,rus
ej,https://ej.by/,general,blr
ekaraganda,http://ekaraganda.kz/,general,kaz
enews,https://enews.md/,general,mda
esp,https://esp.md/,general,mda
express_k,https://express-k.kz/,general,kaz
expressnews,http://www.expressnews.by/,general,blr
facenews,https://www.facenews.ua/,general,ukr
fakty,https://fakty.ua/,general,ukr
focus,https://focus.ua/,general,ukr
gazeta_pravda,https://gazeta-pravda.ru/,general,rus
gazetaby,https://gazetaby.com/,general,blr
gazetanovgorod,https://gazetanovgorod.ru/,general,rus
glavnoe,https://glavnoe.ua/,general,ukr
gordonua,https://gordonua.com/,general,ukr
govorim,https://govorim.by/,general,blr
gp,https://gp.by/,general,blr
gs,http://www.gs.by/,general,blr
gudok,https://www.gudok.ru/,general,rus
infomarket,http://www.infomarket.md/,general,mda
informburo,https://informburo.kz/,general,kaz
inosmi,https://inosmi.ru/,general,rus
interfax,https://interfax.com.ua/,general,ukr
interfax,https://www.interfax.ru/,general,rus
intex_press,https://www.intex-press.by/,general,blr
ivest,http://ivest.kz/,general,kaz
iz,https://iz.ru/,general,rus
kapital,https://kapital.kz/,general,kaz
kazpravda,https://www.kazpravda.kz/,general,kaz
kommersant,https://www.kommersant.ru/,general,rus
komunist,http://www.komunist.com.ua/,general,ukr
kostanai,http://www.kostanai.kz/,general,kaz
kp,https://pda.kp.kz/,general,kaz
kp,https://www.kp.md/,general,mda
kp,https://kp.ua/,general,ukr
kp,https://www.kp.ru/,general,rus
kp,https://www.kp.by/,general,blr
kstnews,https://kstnews.kz/,general,kaz
ktk,https://www.ktk.kz/,general,kaz
kurjer,https://kurjer.info/,general,blr
kv,https://www.kv.com.ua/,general,ukr
lada,https://www.lada.kz/,general,kaz
lenta,https://lenta.ru/,general,rus
lgz,http://www.lgz.ru/,general,rus
liter,https://liter.kz/,general,kaz
m24,https://www.m24.ru/,general,rus
meduza,https://meduza.io/,general,rus
meta,https://news.meta.ua/,general,ukr
metronews,https://www.metronews.ru/,general,rus
mgorod,https://mgorod.kz/,general,kaz
mk,https://www.mk.ru/,general,rus
mkset,https://mkset.ru/,general,rus
mn,http://www.mn.ru/,general,rus
mospravda,http://mospravda.ru/,general,rus
mybusiness,https://mybusiness.md/ru/,general,mda
natali,https://natali.ua/,general,ukr
nb,https://www.nb.by/,general,blr
neg,https://neg.by/,general,blr
newizv,https://newizv.ru/,general,rus
newlookmedia,http://www.newlookmedia.ru/,general,rus
newsru,https://www.newsru.com/,general,rus
ng,http://nvo.ng.ru/,general,rus
ng,http://www.ng.ru/,general,rus
ngs,https://ngs.ru/,general,rus
nnov,http://www.nnews.nnov.ru/,general,rus
novostipmr,https://novostipmr.com/,general,mda
novychas,https://novychas.org/,general,blr
np,https://www.np.kz/,general,kaz
nur,https://www.nur.kz/,general,kaz
nv,http://nv.kz/,general,kaz
nv_online,https://www.nv-online.info/,general,blr
odessa_daily,http://odessa-daily.com.ua/,general,ukr
og,https://og.ru/,general,rus
omg,https://omg.md/,general,mda
otyrar,https://otyrar.kz/,general,kaz
pnp,https://www.pnp.ru/,general,rus
podrobnosti,https://podrobnosti.ua/,general,ukr
point,https://point.md/ru/,general,mda
province,https://www.province.ru/,general,rus
rbc,https://www.rbc.ru/newspaper/,general,rus
regnum,https://regnum.ru/,general,rus
resurs,http://www.resurs.kz/,general,kaz
rg,https://rg.ru/,general,rus
ria,https://ria.ru/,general,rus
rkperiodika,http://kodima.rkperiodika.ru/,general,rus
rosbalt,https://www.rosbalt.ru/,general,rus
sakhalin,https://sakhalin.info/,general,rus
sb,https://www.sb.by/,general,blr
segodnya,https://www.segodnya.ua/,general,ukr
sobitie,https://sobitie.com.ua/,general,ukr
sovsakh,https://sovsakh.ru/,general,rus
sovsport,https://www.sovsport.ru/,general,rus
spbvedomosti,https://spbvedomosti.ru/,general,rus
sport_express,https://www.sport-express.ru/,general,rus
sports,https://www.sports.kz/,general,kaz
sports,https://www.sports.ru/,general,rus
svoboda,https://www.svoboda.org/,general,rus
svpressa,https://svpressa.ru/,general,rus
telegraf,https://telegraf.com.ua/,general,ukr
tengrinews,https://tengrinews.kz/,general,kaz
terra,http://terra.md/,general,mda
time,https://time.kz/,general,kaz
titus,http://titus.kz/,general,kaz
total,https://total.kz/,general,kaz
trud,http://www.trud.ru/,general,rus
tumentoday,https://tumentoday.ru/,general,rus
tverlife,https://tverlife.ru/,general,rus
tvzvezda,https://tvzvezda.ru/,general,rus
udf,https://udf.by/,general,blr
uralskweek,https://www.uralskweek.kz/,general,kaz
utro,https://utro.ru/,general,rus
vb,https://vb.by/,general,blr
vecherniy,https://vecherniy.kharkov.ua/,general,ukr
vechorka,http://vechorka.ru/,general,rus
vedomosti,http://www.vedomosti.md/,general,mda
vedomosti,https://www.vedomosti.ru/,general,rus
versia,https://versia.ru/,general,rus
vesti,https://vesti.kz/,general,kaz
vesti,http://www.vesti.md/,general,mda
vesti,https://vesti.ua/,general,ukr
vesti,http://www.vesti.ru/,general,rus
vgorode,https://kiev.vgorode.ua/news/,general,ukr
vgr,http://vgr.by/,general,blr
vitebsk,https://news.vitebsk.cc/,general,blr
vm,https://vm.ru/,general,rus
vmnews,https://vmnews.ru/,general,rus
vn,https://vn.ru/,general,rus
vremya,http://vremya.ru/,general,rus
vsr,https://vsr.mil.by/,general,blr
vv,http://www.vv.com.ua/,general,ukr
yandex,https://yandex.ua/news/,general,ukr
zakon,https://www.zakon.kz/,general,kaz
zarya,http://www.zarya.by/,general,blr
zn,https://zn.ua/,general,ukr
zonakz,https://zonakz.net/,general,kaz
