name,homeurl,domain,country
3mana,http://3mana.com/,general,lka
ada,http://www.ada.lk/,general,lka
bbc,https://www.bbc.com/sinhala,general,lka
ceylondaily,https://ceylondaily.com/,general,lka
deshaya,http://www.deshaya.lk/,general,lka
dinamina,http://www.dinamina.lk/,general,lka
divaina,https://divaina.com/,general,lka
gossipclanka,https://www.gossipclanka.com/,general,lka
gossiplankanews,https://www.gossiplankanews.com/,general,lka
hirunews,https://www.hirunews.lk/,general,lka
lankacnews,https://lankacnews.com/,general,lka
lankadeepa,http://www.lankadeepa.lk/,general,lka
lankapuvath,http://sinhala.lankapuvath.lk/,general,lka
lankatruth,https://lankatruth.com/si/,general,lka
lankaviews,https://www.lankaviews.com/,general,lka
lankaweb,http://www.lankaweb.com/,general,lka
news,https://sinhala.news.lk/,general,lka
ravaya,https://ravaya.lk/,general,lka
silumina,http://www.silumina.lk/,general,lka
sirasafm,http://sirasafm.lk/,general,lka
