name,homeurl,domain,country
24hod,https://www.24hod.sk/,general,svk
aktuality,https://noizz.aktuality.sk/,general,svk
aktuality,https://sport.aktuality.sk/,general,svk
aktuality,https://www.aktuality.sk/,general,svk
avizo,https://www.avizo.sk/,general,svk
bakurier,https://www.bakurier.sk/,general,svk
birdz,http://birdz.sk/,general,svk
bratislavskenoviny,https://www.bratislavskenoviny.sk/,general,svk
cas,https://www.cas.sk/,general,svk
dnes24,https://www.dnes24.sk/,general,svk
dobrenoviny,https://www.dobrenoviny.sk/,general,svk
euractiv,https://euractiv.sk/,general,svk
hnonline,https://hnonline.sk/,general,svk
mynoviny,http://www.mynoviny.sk/,general,svk
news,https://www.news.sk/,general,svk
noviny_poprad,https://www.noviny-poprad.sk/,general,svk
piestanskydennik,https://www.piestanskydennik.sk/,general,svk
pluska,https://www.pluska.sk/,general,svk
povecernik,https://www.povecernik.sk/,general,svk
pravda,http://www.pravda.sk/,general,svk
profini,http://www.profini.sk/,general,svk
rimava,http://www.rimava.sk/,general,svk
sme,https://korzar.sme.sk/,general,svk
sme,https://www.sme.sk/,general,svk
tasr,https://www.tasr.sk/,general,svk
teraz,https://www.teraz.sk/,general,svk
topky,https://www.topky.sk/,general,svk
topspravy,https://www.topspravy.sk/,general,svk
trnavskyhlas,https://www.trnavskyhlas.sk/,general,svk
tyzden,https://tyzden.sk/,general,svk
webnoviny,https://www.webnoviny.sk/,general,svk
zelpo,https://www.zelpo.sk/,general,svk
zilinskyvecernik,https://www.zilinskyvecernik.sk/,general,svk
zivotpo,https://www.zivotpo.sk/,general,svk
