name,homeurl,domain,country
24ur,https://www.24ur.com/,general,svn
delo,https://www.delo.si/,general,svn
demokracija,http://demokracija.si/,general,svn
dnevnik,https://www.dnevnik.si/,general,svn
dolenjskilist,https://www.dolenjskilist.si/si/,general,svn
druzina,http://www.druzina.si/,general,svn
finance,https://www.finance.si/,general,svn
gorenjskiglas,http://www.gorenjskiglas.si/,general,svn
insajder,https://insajder.com/,general,svn
ljnovice,https://ljnovice.si/,general,svn
lokalno,https://www.lokalno.si/si/,general,svn
mladina,https://www.mladina.si/,general,svn
pomurec,https://www.pomurec.com/,general,svn
pozareport,http://pozareport.si/,general,svn
primorske,https://www.primorske.si/,general,svn
primorski,https://www.primorski.eu/,general,svn
reporter,https://reporter.si/,general,svn
rtvslo,https://www.rtvslo.si/,general,svn
si21,https://www.si21.com/,general,svn
slovenskenovice,https://www.slovenskenovice.si/,general,svn
sobotainfo,https://sobotainfo.com/,general,svn
sta,https://www.sta.si/,general,svn
svet24,https://ekipa.svet24.si/,general,svn
telex,http://telex.si/,general,svn
times,http://www.times.si/,general,svn
vecer,https://www.vecer.com/,general,svn
zurnal24,https://www.zurnal24.si/,general,svn
