name,homeurl,domain,country
24_ore,http://24-ore.com/,general,alb
360grade,https://360grade.al/,general,alb
aktuale,https://www.aktuale.mk/,general,mkd
albeu,http://www.albeu.com/,general,alb
arkivalajmeve,http://www.arkivalajmeve.com/,general,alb
ata,http://ata.gov.al/,general,alb
balkanweb,https://balkanweb.com/,general,alb
bota,http://www.bota.al/,general,alb
cna,https://www.cna.al/,general,alb
epokaere,https://www.epokaere.com/,general,alb
fax,http://fax.al/,general,alb
gazeta_shqip,https://www.gazeta-shqip.com/,general,alb
gazetadita,http://www.gazetadita.al/,general,alb
gazetaekonomia,http://gazetaekonomia.com/,general,alb
gazetamapo,https://gazetamapo.al/,general,alb
gazetatema,http://www.gazetatema.net/,general,alb
ikub,http://www.ikub.al/,general,alb
intervista,https://intervista.al/web/,general,alb
javanews,https://www.javanews.al/,general,alb
joqalbania,https://joqalbania.com/,general,alb
koha,https://www.koha.mk/,general,mkd
kohajone,https://www.kohajone.com/,general,alb
konica,https://konica.al/,general,alb
lajmifundit,https://lajmifundit.al/,general,alb
lapsi,https://lapsi.al/,general,alb
lexo,http://lexo.com.al/,general,alb
newsbomb,http://www.newsbomb.al/,general,alb
opinion,https://opinion.al/,general,alb
oranews,http://www.oranews.tv/,general,alb
panorama,http://www.panorama.com.al/,general,alb
politiko,https://politiko.al/,general,alb
rd,http://www.rd.al/,general,alb
rtsh,https://www.rtsh.al/,general,alb
sarandaweb,https://sarandaweb.net/,general,alb
shekulli,http://shekulli.com.al/,general,alb
shqiperia,https://www.shqiperia.com/,general,alb
shqiptari,https://shqiptari.net/,general,alb
shqiptarja,https://shqiptarja.com/,general,alb
sot,https://sot.com.al/,general,alb
sportekspres,http://sportekspres.com/,general,alb
standard,http://www.standard.al/,general,alb
tiranapost,http://www.tiranapost.al/,general,alb
top_channel,http://top-channel.tv/,general,alb
tvklan,https://tvklan.al/,general,alb
vetevendosje,https://www.vetevendosje.org/,general,alb
vizionplus,https://www.vizionplus.tv/,general,alb
zhurnal,https://zhurnal.mk/,general,mkd
