name,homeurl,domain,country
013info,https://013info.rs/,general,srb
24online,https://www.24online.info/,general,srb
aktuelno,https://aktuelno.net/,general,srb
alo,https://www.alo.rs/,general,srb
b92,https://www.b92.net/,general,srb
becejski_mozaik,https://becejski-mozaik.co.rs/,general,srb
beograd,http://www.beograd.rs/,general,srb
blic,https://www.blic.rs/,general,srb
caglas,https://www.caglas.rs/,general,srb
danas,https://www.danas.rs/,general,srb
dnevnik,https://www.dnevnik.rs/,general,srb
glas_javnosti,https://www.glas-javnosti.rs/,general,srb
glaspodrinja,https://www.glaspodrinja.rs/,general,srb
glassrpske,http://www.glassrpske.com/,general,bih
infolo,http://www.infolo.rs/,general,srb
informer,https://informer.rs/,general,srb
istinomer,https://www.istinomer.rs/,general,srb
jugpress,https://jugpress.com/,general,srb
juznevesti,https://www.juznevesti.com/,general,srb
kikindske,http://kikindske.rs/,general,srb
krstarica,https://www.krstarica.com/,general,srb
krusevacgrad,https://krusevacgrad.rs/,general,srb
kurir,https://www.kurir.rs/,general,srb
loznickenovosti,http://loznickenovosti.com/,general,srb
mondo,https://mondo.rs/,general,srb
nasenovineodzaci,http://www.nasenovineodzaci.rs/,general,srb
naslovi,https://naslovi.net/,general,srb
njuz,https://www.njuz.net/,general,srb
noizz,https://noizz.rs/,general,srb
novosti,https://www.novosti.rs/,general,srb
ozonpress,https://www.ozonpress.net/,general,srb
palelive,http://www.palelive.com/,general,bih
pancevac_online,https://www.pancevac-online.rs/,general,srb
patak,https://patak.co.rs/,general,srb
pecat,http://www.pecat.co.rs/,general,srb
pescanik,https://pescanik.net/,general,srb
politika_ekspres,http://politika-ekspres.net/,general,srb
pravda,https://www.pravda.rs/,general,srb
recnaroda,https://recnaroda.co.rs/,general,srb
sportske,https://www.sportske.net/,general,srb
standard,https://www.standard.rs/,general,srb
studiob,https://studiob.rs/,general,srb
tanjug,http://tanjug.rs/,general,srb
telegraf,https://www.telegraf.rs/,general,srb
time,https://time.rs/,general,srb
uzickanedelja,https://uzickanedelja.rs/,general,srb
vamedia,https://www.vamedia.info/,general,srb
vesti,https://www.vesti.rs/,general,srb
vesti_online,https://www.vesti-online.com/,general,srb
vreme,https://www.vreme.com/,general,srb
zurnal,http://www.zurnal.rs/,general,srb
