name,homeurl,domain,country
8sidor,https://8sidor.se/,general,swe
abcnyheter,https://www.abcnyheter.se/,general,swe
abounderrattelser,https://news.abounderrattelser.fi/,general,fin
aftonbladet,https://www.aftonbladet.se/,general,swe
alandstidningen,https://www.alandstidningen.ax/,general,fin
alekuriren,http://www.alekuriren.se/,general,swe
alingsaskuriren,https://www.alingsaskuriren.se/,general,swe
alingsastidning,https://www.alingsastidning.se/,general,swe
allehanda,https://www.allehanda.se/,general,swe
arbetarbladet,https://www.arbetarbladet.se/,general,swe
arbetaren,https://www.arbetaren.se/,general,swe
avestatidning,https://www.avestatidning.com/,general,swe
barometern,https://www.barometern.se/,general,swe
bblat,https://www.bblat.se/,general,swe
blt,https://www.blt.se/,general,swe
bohuslaningen,https://www.bohuslaningen.se/,general,swe
bt,https://www.bt.se/,general,swe
corren,https://www.corren.se/,general,swe
dagen,https://www.dagen.se/,general,swe
dagenshandel,https://www.dagenshandel.se/,general,swe
dalabygden,http://dalabygden.se/,general,swe
dalademokraten,https://www.dalademokraten.se/,general,swe
di,https://www.di.se/,general,swe
dn,https://www.dn.se/,general,swe
dt,https://www.dt.se/,general,swe
ekuriren,https://www.ekuriren.se/,general,swe
eposten,https://eposten.se/,general,swe
expressen,https://www.expressen.se/,general,swe
fagersta_posten,https://www.fagersta-posten.se/,general,swe
falkopingstidning,https://www.falkopingstidning.se/,general,swe
flamman,http://flamman.se/,general,swe
friatider,https://www.friatider.se/,general,swe
gd,https://www.gd.se/,general,swe
gp,https://www.gp.se/,general,swe
hallandsposten,https://www.hallandsposten.se/,general,swe
hangotidningen,https://www.hangotidningen.fi/,general,fin
hbl,https://www.hbl.fi/,general,fin
hd,https://www.hd.se/,general,swe
helagotland,https://www.helagotland.se/,general,swe
hn,https://www.hn.se/,general,swe
ifokus,https://www.ifokus.se/,general,swe
jnytt,https://www.jnytt.se/,general,swe
jp,https://www.jp.se/,general,swe
karlskogatidning,https://www.karlskogatidning.se/,general,swe
kkuriren,https://www.kkuriren.se/,general,swe
kristianstadsbladet,https://www.kristianstadsbladet.se/,general,swe
kuriren,https://www.kuriren.nu/nyheter/,general,swe
lt,https://www.lt.se/,general,swe
ltz,https://www.ltz.se/,general,swe
lysekilsposten,https://www.lysekilsposten.se/,general,swe
magazin24,https://www.magazin24.se/,general,swe
mariestadstidningen,https://www.mariestadstidningen.se/,general,swe
markbladet,http://markbladet.se/,general,swe
molndalsposten,https://molndalsposten.se/,general,swe
na,https://www.na.se/,general,swe
nlt,https://www.nlt.se/,general,swe
nordsverige,https://www.nordsverige.se/,general,swe
norrahalland,https://norrahalland.se/,general,swe
norran,https://www.norran.se/,general,swe
nsd,https://www.nsd.se/,general,swe
nsk,https://www.nsk.se/,general,swe
nvp,https://www.nvp.se/,general,swe
nwt,https://www.nwt.se/,general,swe
nyan,https://www.nyan.ax/,general,fin
nyheteridag,https://nyheteridag.se/,general,swe
nynashamnsposten,https://www.nynashamnsposten.se/,general,swe
olandsbladet,https://www.olandsbladet.se/,general,swe
omni,https://omni.se/,general,swe
op,https://www.op.se/,general,swe
osterbottenstidning,https://www.osterbottenstidning.fi/,general,fin
ostnyland,https://www.ostnyland.fi/,general,fin
privataaffarer,https://www.privataaffarer.se/,general,swe
proletaren,http://proletaren.se/,general,swe
pt,https://www.pt.se/nyheter/,general,swe
skaraborgslanstidning,https://www.skaraborgslanstidning.se/,general,swe
skovdenyheter,https://www.skovdenyheter.se/,general,swe
sla,https://www.sla.se/,general,swe
smalanningen,https://www.smalanningen.se/,general,swe
smp,https://www.smp.se/,general,swe
smt,https://www.smt.se/,general,swe
sn,https://www.sn.se/,general,swe
st,https://www.st.nu/,general,swe
stromstadstidning,https://www.stromstadstidning.se/,general,swe
svd,https://www.svd.se/,general,swe
sydin,https://www.sydin.fi/,general,fin
sydsvenskan,https://www.sydsvenskan.se/,general,swe
tidningenharjedalen,https://www.tidningenharjedalen.se/,general,swe
tranastidning,https://www.tranastidning.se/,general,swe
trelleborgsallehanda,https://www.trelleborgsallehanda.se/,general,swe
ttela,https://www.ttela.se/,general,swe
unt,https://www.unt.se/nyheter/,general,swe
varldenidag,https://www.varldenidag.se/,general,swe
vasabladet,https://www.vasabladet.fi/,general,fin
vasterbottningen,https://www.vasterbottningen.se/,general,swe
vastgotabladet,https://www.vastgotabladet.se/,general,swe
vastranyland,https://www.vastranyland.fi/,general,fin
vetlandaposten,https://www.vetlandaposten.se/,general,swe
vf,https://www.vf.se/,general,swe
vimmerbytidning,https://www.vimmerbytidning.se/kinda/,general,swe
vlt,https://www.vlt.se/,general,swe
vn,https://www.vn.se/,general,swe
vt,https://www.vt.se/nyheter/,general,swe
ystadsallehanda,https://www.ystadsallehanda.se/,general,swe
