name,homeurl,domain,country
bongo5,http://bongo5.com/,general,tza
dar24,http://www.dar24.com/,general,tza
globalpublishers,https://globalpublishers.co.tz/,general,tza
habarileo,https://habarileo.co.tz/,general,tza
mpekuzihuru,http://www.mpekuzihuru.com/,general,tza
mtanzania,http://mtanzania.co.tz/,general,tza
nation,https://taifaleo.nation.co.ke/,general,ken
startv,http://www.startv.co.tz/,general,tza
tbc,http://tbc.go.tz/,general,tza
zanzibar24,http://zanzibar24.co.tz/,general,tza
zanzinews,http://www.zanzinews.com/,general,tza
