name,homeurl,domain,country
2daycinema,http://www.tamil.2daycinema.com/,general,ind
2tamil,http://2tamil.com/,general,ind
4tamilcinema,https://4tamilcinema.com/,general,ind
4tamilmedia,http://www.4tamilmedia.com/,general,ind
a2ztamilnadu,http://www.a2ztamilnadu.com/,general,ind
aanmeegamalar,http://www.aanmeegamalar.com/,general,ind
aanthaireporter,http://www.aanthaireporter.com/,general,ind
adaderana,http://tamil.adaderana.lk/,general,ind
amuttu,http://amuttu.net/,general,ind
andhimazhai,http://www.andhimazhai.com/,general,ind
appaaltamil,http://www.appaaltamil.com/,general,ind
asianetnews,https://tamil.asianetnews.com/,general,ind
athavannews,http://athavannews.com/,general,ind
athirady,http://www.athirady.com/,general,ind
athirvu,https://athirvu.in/,general,ind
bbc,https://www.bbc.com/tamil,general,ind
behindtalkies,https://tamil.behindtalkies.com/,general,ind
cafekk,https://www.cafekk.com/,general,ind
canadauthayan,http://canadauthayan.ca/,general,ind
capitalnews,http://capitalnews.lk/,general,ind
charuonline,http://charuonline.com/blog/,general,ind
chennaieditor,http://www.chennaieditor.com/,general,ind
chennaionline,http://chennaionline.com/tamil/,general,ind
chennaipatrika,http://www.chennaipatrika.com/,general,ind
chennaitodaynews,http://www.chennaitodaynews.com/,general,ind
cineulagam,https://www.cineulagam.com/,general,ind
cinereporters,https://cinereporters.com/,general,ind
coimbatoreonline,https://news.coimbatoreonline.in/,general,ind
cri,http://tamil.cri.cn/,general,ind
dailythanthi,https://www.dailythanthi.com/,general,ind
dinaanjal,https://dinaanjal.in/,general,ind
dinakaran,http://www.dinakaran.com/,general,ind
dinamalar,https://www.dinamalar.com/,general,ind
dinamani,https://www.dinamani.com/,general,ind
dinapathippu,https://www.dinapathippu.com/,general,ind
dinasudar,http://dinasudar.co.in/,general,ind
eeladhesam,http://eeladhesam.com/,general,ind
epdpnews,http://www.epdpnews.com/,general,ind
filmibeat,https://tamil.filmibeat.com/,general,ind
filmistreet,https://www.filmistreet.com/,general,ind
geotamil,https://www.geotamil.com/,general,ind
globaltamilnews,http://globaltamilnews.net/,general,ind
goldtamil,http://goldtamil.com/,general,ind
goodreturns,https://tamil.goodreturns.in/,general,ind
google,https://news.google.com/?hl=ta&gl=IN&ceid=IN%3Ata,general,ind
gtamilnews,https://gtamilnews.com/,general,ind
hellotamilcinema,http://hellotamilcinema.com/,general,ind
heronewsonline,http://www.heronewsonline.com/category/news/,general,ind
hindutamil,https://www.hindutamil.in/,general,ind
ibctamil,https://www.ibctamil.com/,general,ind
ilankainet,http://www.ilankainet.com/,general,ind
in4net,https://in4net.com/,general,ind
inandoutcinema,http://www.inandoutcinema.com/,general,ind
indianexpress,https://tamil.indianexpress.com/,general,ind
inioru,http://inioru.com/,general,ind
inneram,http://www.inneram.com/,general,ind
jayanewslive,http://www.jayanewslive.in/,general,ind
jeyamohan,https://www.jeyamohan.in/,general,ind
jvpnews,https://www.jvpnews.com/,general,ind
kalakkalcinema,https://kalakkalcinema.com/,general,ind
kalkionline,https://www.kalkionline.com/,general,ind
kathiravan,https://www.kathiravan.com/,general,ind
kayalpatnam,http://kayalpatnam.com/,general,ind
keetru,http://www.keetru.com/,general,ind
kollywoodtoday,http://www.kollywoodtoday.net/news/,general,ind
kumudam,https://www.kumudam.com/,general,ind
lankapuri,http://lankapuri.com/,general,ind
lankasri,https://news.lankasri.com/,general,ind
lotusnews,http://www.lotusnews.tv/,general,ind
maalaimalar,https://www.maalaimalar.com/,general,ind
maalaisudar,http://maalaisudar.com/,general,ind
makkalkural,https://makkalkural.net/news/,general,ind
malaimurasu,https://www.malaimurasu.in/,general,ind
malaysiaindru,https://malaysiaindru.my/,general,ind
manithan,https://www.manithan.com/,general,ind
mediacorp,https://seithi.mediacorp.sg/,general,ind
meenakam,http://meenakam.com/,general,ind
mentamil,http://mentamil.com/,general,ind
metronews,http://metronews.lk/,general,ind
mrpuyal,https://mrpuyal.com/,general,ind
murasoli,http://murasoli.in/,general,ind
mysixer,http://www.mysixer.com/,general,ind
nakkheeran,https://www.nakkheeran.in/,general,ind
nerudal,http://nerudal.com/,general,ind
newindianews,http://www.newindianews.com/,general,ind
news18,https://tamil.news18.com,general,ind
news4tamil,https://www.news4tamil.com/,general,ind
news,https://tamil.news.lk/,general,ind
newsonews,http://www.newsonews.com/,general,ind
newstamilwin,http://www.newstamilwin.com/,general,ind
newtamilcinema,http://newtamilcinema.in/,general,ind
newuthayan,https://newuthayan.com/,general,ind
nikkilcinema,http://www.nikkilcinema.com/,general,ind
nitharsanam,http://www.nitharsanam.net/,general,ind
ntamil,http://www.ntamil.com/,general,ind
oneindia,https://tamil.oneindia.com/,general,ind
paristamil,http://www.paristamil.com/,general,ind
pathivu,https://www.pathivu.com/,general,ind
ponguthamil,http://ponguthamil.com/,general,ind
pudhuvaioli,https://www.pudhuvaioli.com/,general,ind
punnagai,http://www.punnagai.com/,general,ind
puthinamnews,https://www.puthinamnews.com/,general,ind
puthinappalakai,http://www.puthinappalakai.com/,general,ind
puthiyathalaimurai,http://www.puthiyathalaimurai.com/,general,ind
samayam,https://tamil.samayam.com/,general,ind
sankathi24,http://www.sankathi24.com/,general,ind
sankathi,http://sankathi.com/,general,ind
sathiyam,https://www.sathiyam.tv/,general,ind
seithy,https://seithy.com/,general,ind
shobasakthi,http://www.shobasakthi.com/,general,ind
sramakrishnan,http://www.sramakrishnan.com/,general,ind
sumanasa,https://www.sumanasa.com/tamilnews/,general,ind
suratha,http://www.suratha.com/,general,ind
tamil24news,http://tamil24news.com/,general,ind
tamilcinema,https://tamilcinema.com/,general,ind
tamilcinemanet,https://www.tamilcinemanet.com/,general,ind
tamilcinemaz,http://www.tamilcinemaz.com/,general,ind
tamilcnn,https://www.tamilcnn.lk/,general,ind
tamildaily,http://www.tamildaily.com/,general,ind
tamilflashnews,http://www.tamilflashnews.com/,general,ind
tamilkurinji,http://tamilkurinji.com/,general,ind
tamilleader,http://tamilleader.com/,general,ind
tamilminutes,https://www.tamilminutes.com/,general,ind
tamilmirror,http://www.tamilmirror.lk/,general,ind
tamilmithran,https://www.tamilmithran.com/,general,ind
tamilmurasu,https://www.tamilmurasu.com.sg/,general,ind
tamilnadutoday,http://tamilnadutoday.com/,general,ind
tamilnews,http://tamilnews.com/,general,ind
tamilnews_srilanka,http://srilanka.tamilnews.com/,general,ind
tamilnewslatest,http://tamilnewslatest.com/,general,ind
tamiloviam,https://www.tamiloviam.com/,general,ind
tamilpakkam,http://tamilpakkam.com/,general,ind
tamilpriyam,https://www.tamilpriyam.com/,general,ind
tamilsanjikai,http://www.tamilsanjikai.com/,general,ind
tamilscreen,https://tamilscreen.com/,general,ind
tamilsigaram,http://www.tamilsigaram.com/,general,ind
tamilula,http://www.tamilula.com/news/,general,ind
tamilwin,https://www.tamilwin.com/,general,ind
tamizhankural,http://tamizhankural.com/,general,ind
telonews,http://www.telonews.com/,general,ind
thamaraifm,https://thamaraifm.com/,general,ind
thamilkural,http://thamilkural.net/,general,ind
thamillanka,http://www.thamillanka.com/,general,ind
thantitv,https://www.thanthitv.com,general,ind
tharavu,http://www.tharavu.com/,general,ind
theekkathir,http://theekkathir.in/,general,ind
thehindu,http://tamil.thehindu.com/,general,ind
thenee,http://thenee.eu/,general,ind
thenseide,http://tamil.thenseide.com/seide/,general,ind
thinaboomi,http://www.thinaboomi.com/,general,ind
thinakaran_lk,http://www.thinakaran.lk/,general,ind
thinakkathir,http://thinakkathir.com/,general,ind
thinakkural,http://thinakkural.lk/,general,ind
thinnai,http://puthu.thinnai.com/,general,ind
thoothuonline,http://www.thoothuonline.com/,general,ind
timesofadventure,http://www.timesofadventure.com/,general,ind
timestamilnews,https://www.timestamilnews.com/,general,ind
ttnnews,http://www.ttnnews.com/,general,ind
universaltamil,https://universaltamil.com/,general,ind
uyirmmai,https://uyirmmai.com/,general,ind
valampurii,http://www.valampurii.lk/,general,ind
vanakkamlondon,http://www.vanakkamlondon.com/,general,ind
vanakkammalaysia,http://www.vanakkammalaysia.com/,general,ind
viduthalai,http://viduthalai.in/,general,ind
vikatan,https://www.vikatan.com/,general,ind
virakesari,https://www.virakesari.lk/,general,ind
vivegamnews,http://www.vivegamnews.com/,general,ind
webdunia,https://tamil.webdunia.com/,general,ind
yarl,https://yarl.com/,general,ind
