name,homeurl,domain,country
10tv,http://www.10tv.in/,general,ind
123telugu,https://www.123telugu.com/telugu/,general,ind
andhrabhoomi,http://www.andhrabhoomi.net/,general,ind
andhraheadlines,http://www.andhraheadlines.com/,general,ind
andhrajyothy,https://www.andhrajyothy.com/,general,ind
andhravilas,http://www.andhravilas.net/te/,general,ind
andhravoicewebnews,http://www.andhravoicewebnews.com,general,ind
andhrawatch,http://www.andhrawatch.com/,general,ind
ap7am,https://www.ap7am.com/,general,ind
apdunia,http://www.apdunia.com/,general,ind
apherald,https://www.apherald.com/,general,ind
asianetnews,https://telugu.asianetnews.com/,general,ind
atomiyme,https://te.atomiyme.com/,general,ind
bbc,https://www.bbc.com/telugu/,general,ind
birmiss,https://te.birmiss.com/,general,ind
boldsky,https://telugu.boldsky.com/,general,ind
cinejosh,https://www.cinejosh.com/telugu-root.html,general,ind
delachieve,https://te.delachieve.com/,general,ind
desidisa,https://desidisa.com/,general,ind
dishadaily,https://dishadaily.com/,general,ind
drivespark,https://telugu.drivespark.com/,general,ind
eenadu,https://www.eenadu.net/,general,ind
eferrit,https://te.eferrit.com/,general,ind
etv,http://www.etv.co.in/,general,ind
filmibeat,https://telugu.filmibeat.com/,general,ind
goodreturns,https://telugu.goodreturns.in/,general,ind
google,https://news.google.com/?edchanged=1&hl=te&gl=IN&ceid=IN:te,general,ind
greatandhra,https://telugu.greatandhra.com/,general,ind
greattelangaana,https://greattelangaana.com/,general,ind
gulte,https://telugu.gulte.com/,general,ind
hmtvlive,https://www.hmtvlive.com/,general,ind
industryhit,https://telugu.industryhit.com/,general,ind
iranewspaper,https://www.iranewspaper.com/,general,ind
iyyalatelangana,https://iyyalatelangana.com/,general,ind
janamsakshi,http://janamsakshi.org/,general,ind
journalisteye,http://telugu.journalisteye.com/,general,ind
kadapa,http://www.kadapa.info/,general,ind
kolimi,https://kolimi.org/,general,ind
kommineni,http://kommineni.info/,general,ind
korada,http://www.korada.com/telugu/,general,ind
krishnapatrika,http://www.krishnapatrika.com/,general,ind
maabhoominews,http://www.maabhoominews.com/,general,ind
manalokam,https://manalokam.com/,general,ind
manatelangana,https://www.manatelangana.news/,general,ind
mictv,https://mictv.in/,general,ind
momspresso,https://telugu.momspresso.com/,general,ind
muchata,https://muchata.com/,general,ind
mykhel,https://telugu.mykhel.com/,general,ind
namasteandhra,http://www.namasteandhra.com/,general,ind
navatelangana,http://www.navatelangana.com/,general,ind
news18,https://telugu.news18.com/,general,ind
newsmeter,https://telugu.newsmeter.in/,general,ind
newsorbit,https://newsorbit.com/,general,ind
newssting,https://newssting.in/,general,ind
newstime,http://www.newstime.in/,general,ind
newsxpress,https://www.newsxpress.online/,general,ind
nijam,http://nijam.org/,general,ind
nizamabadnews,https://www.nizamabadnews.in/,general,ind
ntnews,https://www.ntnews.com/,general,ind
ntvtelugu,https://www.ntvtelugu.com/,general,ind
oneindia,https://telugu.oneindia.com/,general,ind
peoplepost,http://peoplespost.news/te/,general,ind
podilitimes,https://www.podilitimes.com/,general,ind
prabhanews,http://www.prabhanews.com/,general,ind
prajasakti,http://www.prajasakti.com/,general,ind
profityourtrade,https://www.profityourtrade.in/,general,ind
sakshi,https://www.sakshi.com/,general,ind
samachar,http://telugu.samachar.com/,general,ind
samayam,https://telugu.samayam.com/,general,ind
sanchika,https://sanchika.com/,general,ind
suryaa,http://telugu.suryaa.com/,general,ind
t5news,http://tv5news.in/,general,ind
telugu360,https://www.telugu360.com/te/,general,ind
telugubullet,https://telugu.telugubullet.com/,general,ind
telugudaily24,https://telugudaily24.com/,general,ind
teluguglobal,http://teluguglobal.in/,general,ind
teluguin,https://www.teluguin.com/,general,ind
telugumirchi,http://www.telugumirchi.com/telugu/,general,ind
teluguone,http://teluguone.com/,general,ind
telugupeople,http://www.telugupeople.com/,general,ind
telugupopular,https://www.telugupopular.com/,general,ind
telugupost,https://telugu.telugupost.com/,general,ind
telugurajyam,https://telugurajyam.com/,general,ind
telugustop,https://telugustop.com/,general,ind
telugutimes,http://www.telugutimes.net/,general,ind
the2states,https://www.the2states.com/,general,ind
themanamedia,https://themanamedia.com/,general,ind
thenewstruth,https://www.thenewstruth.com/,general,ind
tnews,https://www.tnews.media/,general,ind
tolivelugu,https://www.tolivelugu.com,general,ind
tollywood,https://www.tollywood.net/telugu/,general,ind
ts29,https://telugu.momspresso.com/,general,ind
tupaki,http://www.tupaki.com/,general,ind
tv9telugu,https://tv9telugu.com/,general,ind
unitinal,https://te.unitinal.com/,general,ind
v6velugu,https://www.v6velugu.com/,general,ind
vaartha,https://www.vaartha.com/,general,ind
vastavam,http://vastavam.net/,general,ind
vasundhara,https://www.vasundhara.net/,general,ind
visalaandhra,http://visalaandhra.com/,general,ind
webdunia,http://telugu.webdunia.com/,general,ind
ysrcongress,https://www.ysrcongress.com/,general,ind
zeenews,https://zeenews.india.com/telugu/,general,ind
