name,homeurl,domain,country
agos,http://www.agos.com.tr/tr/anasayfa,general,tur
aksam,https://www.aksam.com.tr/,general,tur
anadolugazetesi,http://www.anadolugazetesi.com/,general,tur
aydinlik,https://www.aydinlik.com.tr/,general,tur
bolugundem,http://www.bolugundem.com/,general,tur
bolununsesi,https://www.bolununsesi.com/,general,tur
bursadabugun,https://www.bursadabugun.com/,general,tur
cumhuriyet,https://www.cumhuriyet.com.tr/,general,tur
detailhaber,https://www.detailhaber.com/,general,tur
detaykibris,http://www.detaykibris.com/,general,cyp
diken,http://www.diken.com.tr/,general,tur
diyaloggazetesi,https://www.diyaloggazetesi.com/,general,cyp
dunya,https://www.dunya.com/,general,tur
ekohaber,https://www.ekohaber.com.tr/,general,tur
ekonomikibris,http://www.ekonomikibris.com/,general,cyp
elbistaninsesi,http://www.elbistaninsesi.com/,general,tur
ensonhaber,https://www.ensonhaber.com/,general,tur
erzurumgazetesi,http://www.erzurumgazetesi.com.tr/,general,tur
esenlerhaber,http://www.esenlerhaber.com/,general,tur
evrensel,https://www.evrensel.net/,general,tur
gazetekadikoy,http://www.gazetekadikoy.com.tr/,general,tur
gazetesok,https://www.gazetesok.com/,general,tur
gazetevatan,http://www.gazetevatan.com/,general,tur
guncelgazete,http://www.guncelgazete.com/,general,tur
gundemkibris,https://www.gundemkibris.com/,general,cyp
gunes,http://www.gunes.com/,general,tur
haberalkibrisli,http://www.haberalkibrisli.net/,general,cyp
haberantalya,https://www.haberantalya.com/,general,tur
haberekspres,https://www.haberekspres.com.tr/,general,tur
haberler,https://www.haberler.com/,general,tur
haberport,https://haberport.com/,general,tur
haberturk,https://www.haberturk.com/,general,tur
halkinsesikibris,http://www.halkinsesikibris.com/,general,cyp
havadiskibris,https://www.havadiskibris.com/,general,cyp
hedefhalk,https://www.hedefhalk.com/,general,tur
hurriyet,https://www.hurriyet.com.tr/,general,tur
internethaber,https://www.internethaber.com/,general,tur
istiklal,https://www.istiklal.com.tr/,general,tur
izmirsondakika,https://www.izmirsondakika.com/,general,tur
karar,https://www.karar.com/,general,tur
kartal24,https://www.kartal24.com/,general,tur
kayserigundem,http://www.kayserigundem.com.tr/,general,tur
kayserihaber,http://www.kayserihaber.com.tr/,general,tur
kentgazetesi,https://www.kentgazetesi.com/,general,tur
kibrispostasi,https://www.kibrispostasi.com/,general,cyp
malatyahaber,https://malatyahaber.com/,general,tur
merhabahaber,https://www.merhabahaber.com/,general,tur
mersinhaber,https://www.mersinhaber.com/,general,tur
mersinradikal,https://www.mersinradikal.com/,general,tur
milatgazetesi,https://www.milatgazetesi.com/,general,tur
milliyet,https://www.milliyet.com.tr/,general,tur
mynet,https://www.mynet.com/,general,tur
ntv,https://www.ntv.com.tr/,general,tur
ortadogugazetesi,https://www.ortadogugazetesi.com/,general,tur
posta,https://www.posta.com.tr/,general,tur
radikal,http://www.radikal.com.tr/,general,tur
sabah,https://www.sabah.com.tr/,general,tur
sakaryagazetesi,http://www.sakaryagazetesi.com.tr/,general,tur
salom,https://www.salom.com.tr/,general,tur
sozcu,https://www.sozcu.com.tr/,general,tur
star,https://www.star.com.tr/,general,tur
starkibris,http://www.starkibris.net/,general,cyp
takvim,https://www.takvim.com.tr/,general,tur
tarsushaber,https://www.tarsushaber.com/,general,tur
turkiyegazetesi,http://www.turkiyegazetesi.com.tr/,general,tur
urfahaber,https://www.urfahaber.com/,general,tur
yeniakit,https://www.yeniakit.com.tr/,general,tur
yeniasir,https://www.yeniasir.com.tr/,general,tur
yeniasya,https://www.yeniasya.com.tr/,general,tur
yenicaggazetesi,https://www.yenicaggazetesi.com.tr/,general,tur
yeniduzen,http://www.yeniduzen.com/,general,cyp
yenimeram,http://www.yenimeram.com.tr/,general,tur
yenimesaj,https://www.yenimesaj.com.tr/,general,tur
yenisafak,https://www.yenisafak.com/,general,tur
ykp,https://www.ykp.org.cy/,general,cyp
yurtgazetesi,https://www.yurtgazetesi.com.tr/,general,tur
