name,homeurl,domain,country
chas,https://chas.cv.ua/,general,ukr
day,http://day.kyiv.ua/uk,general,ukr
epravda,https://www.epravda.com.ua/,general,ukr
eurointegration,https://www.eurointegration.com.ua/,general,ukr
expres,https://expres.online/,general,ukr
galnet,https://galnet.fm/,general,ukr
gazeta,https://gazeta.ua/,general,ukr
glavcom,https://glavcom.ua/,general,ukr
golos,http://www.golos.com.ua/,general,ukr
lb,https://lb.ua/,general,ukr
lviv,https://lviv.com/,general,ukr
ogo,http://ogo.ua/,general,ukr
podrobnosti,https://podrobnosti.ua/,general,ukr
pravda,https://www.pravda.com.ua/,general,ukr
ukurier,http://ukurier.gov.ua/uk/,general,ukr
umoloda,https://www.umoloda.kiev.ua/,general,ukr
unian,https://www.unian.ua/,general,ukr
vobu,http://vobu.ua/ukr/,general,ukr
wz,https://wz.lviv.ua/,general,ukr
zaxid,https://zaxid.net/,general,ukr
